Id,Name,Portrait,CardYellowBg,Height,Weight,Nationality,Position,AdaptPosition,Number,Quality,Ability,AbilityRatio,ExtraAbility,PositionRatio,PiecesId,PiecesCount,Skills,ExtractWeight,GiftIds,Desc,Param,Power,RecruitWords,IsRetire,PeakYear,PeakLogo,Sale
104011,陶汉林,104011,1,207,129,0,3,[5],20,4,"{""1"":91,""2"":90,""3"":61,""4"":75,""5"":75,""6"":81,""7"":79,""8"":88,""9"":95,""10"":90}","{""1"":118,""2"":117,""3"":79,""4"":97,""5"":97,""6"":105,""7"":102,""8"":114,""9"":123,""10"":117}",5,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304011,50,"[9,37]",5,"[104011110,104011210,104011310,104011410]",司职中锋，身材非常强壮，对抗能力出色，打法非常强硬，在篮下能扣篮绝不上篮，挡拆掩护质量比较高。,53|100|120,107,,0,,,1
104012,孙铭徽,104012,2,186,79,0,1,[1],17,4,"{""1"":87,""2"":68,""3"":95,""4"":87,""5"":87,""6"":84,""7"":68,""8"":74,""9"":81,""10"":82}","{""1"":113,""2"":88,""3"":123,""4"":113,""5"":113,""6"":109,""7"":88,""8"":96,""9"":105,""10"":106}",5,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",304012,50,"[18,5]",5,"[104012110,104012210,104012310,104012410]",司职后卫，身体素质出色，具备较强的爆发力，进攻端能突能投，大局观比较强，传球富有想象力，擅长突破分球。,53|100|120,105,,0,,,1
104013,周鹏,104013,1,206,104,0,2,"[3,4]",11,4,"{""1"":81,""2"":72,""3"":72,""4"":81,""5"":75,""6"":77,""7"":73,""8"":74,""9"":84,""10"":85}","{""1"":105,""2"":93,""3"":93,""4"":105,""5"":97,""6"":100,""7"":94,""8"":96,""9"":109,""10"":110}",13,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",304013,50,"[9,43]",5,"[104013110,104013210,104013310,104013410]",司职小前锋，攻防一体，有身高有速度，锋线防守大闸，进攻端能突能投，拥有一颗大心脏，关键时刻能站出来得分，经验非常丰富。,33|100|120,100,竞技比赛不谈你的困难，而是看你的成绩。,0,,,1
104014,胡明轩,104014,4,191,81,0,1,[2],3,4,"{""1"":81,""2"":68,""3"":79,""4"":86,""5"":67,""6"":69,""7"":68,""8"":75,""9"":80,""10"":83}","{""1"":105,""2"":88,""3"":102,""4"":111,""5"":87,""6"":89,""7"":88,""8"":97,""9"":104,""10"":107}",12,"{""1"":80,""2"":100,""3"":50,""4"":40,""5"":40}",304014,50,"[41,29]",5,"[104014110,104014210,104014310,104014410]",司职后卫，能力非常全面，进攻端能突能投，具备较强的处理球能力，防守端非常积极，甚至可以顶到三号位。,33|100|120,98,,0,,,1
104015,吴冠希,104015,3,211,111,0,3,[5],11,4,"{""1"":92,""2"":84,""3"":65,""4"":75,""5"":60,""6"":81,""7"":88,""8"":81,""9"":85,""10"":91}","{""1"":119,""2"":109,""3"":84,""4"":97,""5"":78,""6"":105,""7"":114,""8"":105,""9"":110,""10"":118}",5,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304015,50,"[41,33]",5,"[104015110,104015210,104015310,104015410]",司职中锋，身体素质在国内内线中非常出色，而他的移动速度在相同身高上也是优势明显，在防守端优势明显。,33|100|120,104,,0,,,1
104016,吴前,104016,4,188,82,0,1,"[2,1]",33,4,"{""1"":90,""2"":67,""3"":85,""4"":84,""5"":71,""6"":68,""7"":60,""8"":74,""9"":82,""10"":81}","{""1"":117,""2"":87,""3"":110,""4"":109,""5"":92,""6"":88,""7"":78,""8"":96,""9"":106,""10"":105}",5,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",304016,50,"[31,12]",5,"[104016110,104016210,104016310,104016410]",司职后卫，无球摆脱防守人的能力比较强，具备较强的三分能力，自信心比较足，敢于出手投篮。,33|100|120,99,凡是没杀死我们的，都将使我们变得更加强大!加油，加油，加油!,0,,,1
104017,林庭谦,104017,3,190,80,0,1,"[2,1]",0,4,"{""1"":86,""2"":70,""3"":80,""4"":85,""5"":88,""6"":88,""7"":76,""8"":63,""9"":80,""10"":83}","{""1"":111,""2"":91,""3"":104,""4"":110,""5"":114,""6"":114,""7"":98,""8"":81,""9"":104,""10"":107}",5,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",304017,50,"[12,20]",5,"[104017110,104017210,104017310,104017410]",司职后卫，作为NCAA体系下出来的球员，高个后卫，具备较强的阅读防守能力，能通过球路的判断做出抢断；投射能力出众，三分命中率高。,33|100|120,103,,0,,,1
104018,陈盈骏,104018,3,182,86,0,1,"[1,2]",9,4,"{""1"":90,""2"":70,""3"":90,""4"":91,""5"":73,""6"":69,""7"":60,""8"":61,""9"":87,""10"":85}","{""1"":117,""2"":91,""3"":117,""4"":118,""5"":94,""6"":89,""7"":78,""8"":79,""9"":113,""10"":110}",5,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",304018,50,"[31,39]",5,"[104018110,104018210,104018310,104018410]",司职控球后卫，非常有灵性，敢打敢拼，传球富有创造性，防守端积极主动凭借自己总结的经验来做到防守，限制对手得分。,73|100|120,101,,0,,,1
104019,葛昭宝,104019,3,212,116,0,3,[5],35,4,"{""1"":87,""2"":81,""3"":72,""4"":75,""5"":80,""6"":80,""7"":72,""8"":69,""9"":87,""10"":87}","{""1"":113,""2"":105,""3"":93,""4"":97,""5"":104,""6"":104,""7"":93,""8"":89,""9"":113,""10"":113}",5,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304019,50,"[29,6]",5,"[104019110,104019210,104019310,104019410]",司职中锋，队内线防守屏障，更是球队进攻端的犀利武器。以投篮能力见长，射程甚至延伸至三分线以外。,73|100|120,102,,0,,,1
104020,赵岩昊,104020,4,195,79,0,1,[2],25,4,"{""1"":87,""2"":67,""3"":74,""4"":86,""5"":84,""6"":83,""7"":71,""8"":79,""9"":78,""10"":83}","{""1"":113,""2"":87,""3"":96,""4"":111,""5"":109,""6"":107,""7"":92,""8"":102,""9"":101,""10"":107}",5,"{""1"":80,""2"":100,""3"":50,""4"":40,""5"":40}",304020,50,"[28,30]",5,"[104020110,104020210,104020310,104020410]",司职后卫，身体素质上的优点，赵岩昊在防守端的态度非常积极，可以缠斗对手。同时有着出色的预判，抢断能力非常突出。,33|100|120,103,,0,,,1
104021,林书豪,104021,3,191,91,0,1,[1],7,4,"{""1"":82,""2"":74,""3"":86,""4"":88,""5"":85,""6"":82,""7"":67,""8"":74,""9"":85,""10"":82}","{""1"":106,""2"":96,""3"":111,""4"":114,""5"":110,""6"":106,""7"":87,""8"":96,""9"":110,""10"":106}",3,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",304021,50,"[35,9]",5,"[104021110,104021210,104021310,104021410]",司职控球后卫。第一步奇快、篮筐周围手感出色、变向惊人、善于选择突破线路、非常善于利用掩护、运球扎实、能突破篮下创造机会、善于打反击、勤奋努力。,33|100|120,104,,0,,,1
104022,范子铭,104022,2,211,118,0,3,"[5,4]",17,4,"{""1"":84,""2"":84,""3"":71,""4"":75,""5"":62,""6"":69,""7"":74,""8"":72,""9"":88,""10"":89}","{""1"":109,""2"":109,""3"":92,""4"":97,""5"":80,""6"":89,""7"":96,""8"":93,""9"":114,""10"":115}",5,"{""1"":40,""2"":40,""3"":70,""4"":90,""5"":100}",304022,50,"[16,36]",5,"[104022110,104022210,104022310,104022410]",司职中锋/大前锋，具备较强的中距离跳投能力，还能够在上线策应队友，篮下进攻非常强硬，防守端无惧身体对抗，打法非常硬朗。,33|100|120,99,珍惜机会!创造属于自己的未来!加油。,0,,,1
104023,姜伟泽,104023,4,181,72,0,1,"[1,2]",11,4,"{""1"":88,""2"":67,""3"":74,""4"":86,""5"":66,""6"":63,""7"":60,""8"":72,""9"":80,""10"":81}","{""1"":114,""2"":87,""3"":96,""4"":111,""5"":85,""6"":81,""7"":78,""8"":93,""9"":104,""10"":105}",5,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",304023,50,"[28,39]",5,"[104023110,104023210,104023310,104023410]",司职后卫，具备较强的三分能力，速度非常快，拥有一颗大心脏，当找到节奏时，具备较强的得分爆发力。,33|100|120,95,,0,,,1
104024,西热力江,104024,2,190,92,0,1,"[2,1]",20,4,"{""1"":88,""2"":72,""3"":88,""4"":85,""5"":77,""6"":74,""7"":62,""8"":61,""9"":86,""10"":78}","{""1"":114,""2"":93,""3"":114,""4"":110,""5"":100,""6"":96,""7"":80,""8"":79,""9"":111,""10"":101}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",304024,50,"[20,31]",5,"[104024110,104024210,104024310,104024410]",司职控球后卫，球风硬朗，防守强悍，而且还具备着不俗的三分球投射能力。,33|100|120,100,命里有时终须有，命里无时莫强求。,0,,,1
104025,高诗岩,104025,1,186,82,0,1,[1],1,4,"{""1"":80,""2"":73,""3"":90,""4"":90,""5"":86,""6"":81,""7"":60,""8"":66,""9"":83,""10"":80}","{""1"":104,""2"":94,""3"":117,""4"":117,""5"":111,""6"":105,""7"":78,""8"":85,""9"":107,""10"":104}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",304025,50,"[26,38]",5,"[104025110,104025210,104025310,104025410]",司职后卫，控球能力突出，速度快，传球视野不错。防守上对对方持球人缠绕防守压迫感十足，可以打乱对方的进攻节奏，甚至直接抢断反击。,66|100|120,102,,0,,,1
104026,邹雨宸,104026,3,206,125,0,3,"[5,4]",10,4,"{""1"":77,""2"":86,""3"":63,""4"":75,""5"":74,""6"":90,""7"":90,""8"":85,""9"":93,""10"":86}","{""1"":100,""2"":111,""3"":81,""4"":97,""5"":96,""6"":117,""7"":117,""8"":110,""9"":120,""10"":111}",0,"{""1"":40,""2"":40,""3"":70,""4"":90,""5"":100}",304026,50,"[16,37]",5,"[104026110,104026210,104026310,104026410]",司职中锋/前锋，身材非常强壮，对抗能力出色，篮下进攻非常强硬，具备较强的中投能力，防守端非常拼命，卡位能力比较强。,37|100|120,106,,0,,,1
104027,贺希宁,104027,2,195,103,0,1,"[2,3]",3,4,"{""1"":85,""2"":74,""3"":74,""4"":86,""5"":84,""6"":79,""7"":60,""8"":76,""9"":89,""10"":84}","{""1"":110,""2"":96,""3"":96,""4"":111,""5"":109,""6"":102,""7"":78,""8"":98,""9"":115,""10"":109}",2,"{""1"":80,""2"":100,""3"":90,""4"":40,""5"":40}",304027,50,"[14,2]",5,"[104027110,104027210,104027310,104027410]",司职后卫，身材比较强壮，对抗能力出色，防守比较强硬，能力全面，进攻端能突能投，拥有一颗大心脏。,37|100|120,102,,0,,,1
104028,顾全,104028,4,201,98,0,2,"[3,4]",12,4,"{""1"":89,""2"":76,""3"":67,""4"":82,""5"":79,""6"":76,""7"":62,""8"":68,""9"":84,""10"":85}","{""1"":115,""2"":98,""3"":87,""4"":106,""5"":102,""6"":98,""7"":80,""8"":88,""9"":109,""10"":110}",1,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",304028,50,"[9,11]",5,"[104028110,104028210,104028310,104028410]",司职前锋，具备较强的三分能力，投篮自信心十足，三分出手速度快，几乎不需要调整，冲抢前场篮板的习惯比较好。,37|113|120,99,,0,,,1
104029,陈林坚,104029,1,197,91,0,2,"[3,2]",15,4,"{""1"":87,""2"":69,""3"":67,""4"":82,""5"":74,""6"":72,""7"":65,""8"":78,""9"":83,""10"":81}","{""1"":113,""2"":89,""3"":87,""4"":106,""5"":96,""6"":93,""7"":84,""8"":101,""9"":107,""10"":105}",2,"{""1"":60,""2"":90,""3"":100,""4"":80,""5"":70}",304029,50,"[22,32]",5,"[104029110,104029210,104029310,104029410]",司职前锋，技术手段多样，是个出色的得分机器。,37|113|120,98,,0,,,1
104030,姜宇星,104030,1,192,94,0,2,"[3,2]",13,4,"{""1"":86,""2"":73,""3"":70,""4"":83,""5"":74,""6"":74,""7"":68,""8"":72,""9"":86,""10"":88}","{""1"":111,""2"":94,""3"":91,""4"":107,""5"":96,""6"":96,""7"":88,""8"":93,""9"":111,""10"":114}",1,"{""1"":60,""2"":90,""3"":100,""4"":80,""5"":70}",304030,50,"[14,32]",5,"[104030110,104030210,104030310,104030410]",司职小前锋，锋卫摇摆人，身体素质出众，尤其擅长突破，另外防守也很积极。,73|113|120,100,,0,,,1
104031,崔永熙,104031,2,199,93,0,2,[3],8,4,"{""1"":95,""2"":79,""3"":73,""4"":81,""5"":71,""6"":76,""7"":75,""8"":79,""9"":83,""10"":85}","{""1"":123,""2"":102,""3"":94,""4"":105,""5"":92,""6"":98,""7"":97,""8"":102,""9"":107,""10"":110}",2,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",304031,50,"[18,11]",5,"[104031110,104031210,104031310,104031410]",司职小前锋，CBA联赛中最好的外线防守人之一。,37|100|120,102,,0,,,1
104032,曾凡博,104032,4,208,96,0,2,[3],1,4,"{""1"":83,""2"":73,""3"":64,""4"":81,""5"":80,""6"":77,""7"":65,""8"":95,""9"":84,""10"":82}","{""1"":107,""2"":94,""3"":83,""4"":105,""5"":104,""6"":100,""7"":84,""8"":123,""9"":109,""10"":106}",1,"{""1"":60,""2"":90,""3"":100,""4"":80,""5"":70}",304032,50,"[10,26]",5,"[104032110,104032210,104032310,104032410]",司职前锋，作为一名攻守兼备的锋线球员，有着优异的身体素质、良好的防守意识和出色的投射能力。,37|113|120,99,即使摔的再重，球迷也能让我感觉不到疼痛,0,,,1
104033,林葳,104033,1,191,85,0,1,[2],23,4,"{""1"":87,""2"":67,""3"":74,""4"":86,""5"":84,""6"":83,""7"":71,""8"":79,""9"":78,""10"":83}","{""1"":113,""2"":87,""3"":96,""4"":111,""5"":109,""6"":107,""7"":92,""8"":102,""9"":101,""10"":107}",2,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",304033,50,"[31,12]",5,"[104033110,104033210,104033310,104033410]",司职控球后卫/得分后卫，控运能力突出，有很好的得分能力，冲击力极强。,37|113|120,98,,0,,,1
104034,程帅澎,104034,1,191,90,0,1,[2],6,4,"{""1"":88,""2"":72,""3"":88,""4"":85,""5"":77,""6"":74,""7"":62,""8"":61,""9"":86,""10"":78}","{""1"":114,""2"":93,""3"":114,""4"":110,""5"":100,""6"":96,""7"":80,""8"":79,""9"":111,""10"":101}",1,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",304034,50,"[12,20]",5,"[104034110,104034210,104034310,104034410]",司职后卫，属于攻守平衡的球员，防守也比较出色。,73|113|120,100,,0,,,1
104035,周琦,104035,1,217,113,0,3,[5],15,4,"{""1"":92,""2"":90,""3"":60,""4"":70,""5"":70,""6"":87,""7"":92,""8"":78,""9"":88,""10"":70}","{""1"":119,""2"":117,""3"":78,""4"":91,""5"":91,""6"":113,""7"":119,""8"":101,""9"":114,""10"":91}",13,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304035,50,"[16,36]",5,"[104035110,104035210,104035310,104035410]",司职中锋，拥有亚洲球员史诗级天赋和较高的球商。,35|122|120,100,,0,,,1
104036,陈国豪,104036,4,202,105,0,2,[4],23,4,"{""1"":83,""2"":93,""3"":60,""4"":73,""5"":68,""6"":73,""7"":75,""8"":75,""9"":90,""10"":81}","{""1"":108,""2"":103,""3"":89,""4"":98,""5"":89,""6"":96,""7"":99,""8"":100,""9"":110,""10"":105}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",304036,50,"[10,26]",5,"[104036110,104036210,104036310,104036410]",,,100,,1,,,1
104037,邹阳,104037,4,199,85,0,2,[3],6,4,"{""1"":89,""2"":76,""3"":68,""4"":80,""5"":75,""6"":76,""7"":70,""8"":87,""9"":83,""10"":83}","{""1"":118,""2"":98,""3"":85,""4"":100,""5"":98,""6"":99,""7"":90,""8"":109,""9"":106,""10"":106}",0,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",304037,50,"[18,11]",5,"[104037110,104037210,104037310,104037410]",,,100,,0,,,1
104038,杨瀚森,104038,4,218,113,0,3,[5],77,4,"{""1"":93,""2"":90,""3"":63,""4"":68,""5"":70,""6"":85,""7"":90,""8"":80,""9"":88,""10"":73}","{""1"":120,""2"":115,""3"":80,""4"":90,""5"":90,""6"":111,""7"":120,""8"":103,""9"":115,""10"":93}",1,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",304038,50,"[16,36]",5,"[104038110,104038210,104038310,104038410]",,,100,,0,,,1
104039,李晓旭,104039,4,207,105,0,2,"[4,5]",22,4,"{""1"":93,""2"":98,""3"":67,""4"":80,""5"":85,""6"":80,""7"":98,""8"":88,""9"":90,""10"":88}","{""1"":120,""2"":127,""3"":87,""4"":104,""5"":110,""6"":104,""7"":127,""8"":114,""9"":117,""10"":114}",0,"{""1"":40,""2"":40,""3"":80,""4"":110,""5"":90}",304039,50,"[21,24]",5,"[104039110,104039210,104039310,104039410]",司职中锋/大前锋，技术特点很鲜明，篮板和防守是他的长项!,,100,,0,2012-2013,Peak,1
104040,赵睿,104040,1,195,93,0,1,"[1,2]",10,4,"{""1"":110,""2"":78,""3"":115,""4"":88,""5"":88,""6"":85,""7"":66,""8"":76,""9"":88,""10"":88}","{""1"":127,""2"":98,""3"":107,""4"":150,""5"":121,""6"":125,""7"":88,""8"":100,""9"":115,""10"":115}",100,"{""1"":105,""2"":90,""3"":50,""4"":40,""5"":40}",304040,50,"[31,39]",5,"[104040110,104040210,104040310,104040410]",司职后卫，身材强壮，对抗出色，进攻端能突能投，防守能力也非常强，堪称外线防守大闸，还具备较强的组织能力，能力非常全面，攻防一体。,,100,,0,全明星,AllStar,1
104041,胡明轩,104041,4,191,81,0,1,[2],3,4,"{""1"":115,""2"":69,""3"":110,""4"":88,""5"":68,""6"":85,""7"":88,""8"":83,""9"":88,""10"":88}","{""1"":150,""2"":98,""3"":125,""4"":127,""5"":121,""6"":107,""7"":93,""8"":95,""9"":115,""10"":115}",100,"{""1"":80,""2"":105,""3"":50,""4"":40,""5"":40}",304041,50,"[41,29]",5,"[104041110,104041210,104041310,104041410]",司职后卫，能力非常全面，进攻端能突能投，具备较强的处理球能力，防守端非常积极，甚至可以顶到三号位。,,100,,0,全明星,AllStar,1
104042,张镇麟,104042,3,205,102,0,2,[3],7,4,"{""1"":95,""2"":81,""3"":71,""4"":93,""5"":88,""6"":88,""7"":72,""8"":110,""9"":93,""10"":91}","{""1"":120,""2"":106,""3"":93,""4"":118,""5"":117,""6"":113,""7"":95,""8"":142,""9"":123,""10"":120}",100,"{""1"":60,""2"":70,""3"":105,""4"":85,""5"":70}",304042,50,"[18,11]",5,"[104042110,104042210,104042310,104042410]",,,100,,0,全明星,AllStar,1
104043,崔永熙,104043,2,199,93,0,2,[3],8,4,"{""1"":99,""2"":87,""3"":81,""4"":88,""5"":80,""6"":81,""7"":83,""8"":87,""9"":90,""10"":95}","{""1"":142,""2"":115,""3"":93,""4"":118,""5"":95,""6"":109,""7"":117,""8"":115,""9"":120,""10"":123}",100,"{""1"":60,""2"":70,""3"":105,""4"":95,""5"":70}",304043,50,"[18,11]",5,"[104043110,104043210,104043310,104043410]",,,100,,0,全明星,AllStar,1
104044,阿不都沙拉木,104044,4,203,98,0,2,[4],23,4,"{""1"":93,""2"":88,""3"":90,""4"":80,""5"":85,""6"":84,""7"":86,""8"":95,""9"":82,""10"":100}","{""1"":102,""2"":130,""3"":130,""4"":108,""5"":98,""6"":111,""7"":102,""8"":111,""9"":120,""10"":135}",100,"{""1"":40,""2"":40,""3"":95,""4"":105,""5"":80}",304044,50,"[10,26]",5,"[104044110,104044210,104044310,104044410]",,,100,,0,全明星,AllStar,1
104045,胡金秋,104045,2,211,111,0,2,[4],21,4,"{""1"":90,""2"":89,""3"":90,""4"":80,""5"":85,""6"":84,""7"":86,""8"":93,""9"":85,""10"":101}","{""1"":130,""2"":130,""3"":102,""4"":111,""5"":106,""6"":102,""7"":111,""8"":102,""9"":118,""10"":135}",100,"{""1"":40,""2"":40,""3"":80,""4"":105,""5"":95}",304045,50,"[16,37]",5,"[104045110,104045210,104045310,104045410]",,,100,,0,全明星,AllStar,1
104046,赵继伟,104046,2,183,79,0,1,[1],3,4,"{""1"":84,""2"":90,""3"":94,""4"":89,""5"":92,""6"":85,""7"":89,""8"":88,""9"":85,""10"":85}","{""1"":108,""2"":126,""3"":121,""4"":115,""5"":119,""6"":111,""7"":112,""8"":119,""9"":108,""10"":108}",100,"{""1"":105,""2"":80,""3"":50,""4"":40,""5"":40}",304046,50,"[33,1]",5,"[104046110,104046210,104046310,104046410]",,,100,,0,全明星,AllStar,1
104047,孙铭徽,104047,2,186,79,0,1,[1],17,4,"{""1"":88,""2"":90,""3"":96,""4"":88,""5"":88,""6"":85,""7"":84,""8"":95,""9"":83,""10"":84}","{""1"":114,""2"":125,""3"":124,""4"":114,""5"":114,""6"":110,""7"":118,""8"":115,""9"":107,""10"":106}",100,"{""1"":105,""2"":80,""3"":50,""4"":40,""5"":40}",304047,50,"[18,5]",5,"[104047110,104047210,104047310,104047410]",,,100,,0,全明星,AllStar,1
