Id,PoolInfo,Desc,Operator,Operand,PoolId,Nxtinfo
90,9,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
91,9,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
92,9,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
93,9,普通抽卡,ignore,0,90,
100,10,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
101,10,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
102,10,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
103,10,普通抽卡,ignore,0,100,
110,11,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
111,11,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
112,11,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
113,11,普通抽卡,ignore,0,20,
120,12,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
121,12,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
122,12,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
123,12,普通抽卡,ignore,0,30,
130,13,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
131,13,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
132,13,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
133,13,普通抽卡,ignore,0,40,
140,14,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
141,14,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
142,14,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
143,14,普通抽卡,ignore,0,50,
150,15,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
151,15,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
152,15,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
153,15,普通抽卡,ignore,0,60,
160,16,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
161,16,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
162,16,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
163,16,普通抽卡,ignore,0,70,
170,17,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
171,17,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
172,17,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
173,17,普通抽卡,ignore,0,80,
180,18,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
181,18,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
182,18,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
183,18,普通抽卡,ignore,0,90,
190,19,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
191,19,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
192,19,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
193,19,普通抽卡,ignore,0,100,
200,20,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
201,20,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
202,20,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
203,20,普通抽卡,ignore,0,20,
210,21,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
211,21,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
212,21,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
213,21,普通抽卡,ignore,0,30,
220,22,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
221,22,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
222,22,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
223,22,普通抽卡,ignore,0,40,
230,23,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
231,23,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
232,23,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
233,23,普通抽卡,ignore,0,50,
240,24,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
241,24,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
242,24,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
243,24,普通抽卡,ignore,0,60,
250,25,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
251,25,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
252,25,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
253,25,普通抽卡,ignore,0,70,
260,26,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
261,26,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
262,26,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
263,26,普通抽卡,ignore,0,80,
270,27,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
271,27,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
272,27,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
273,27,普通抽卡,ignore,0,90,
280,28,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
281,28,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
282,28,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
283,28,普通抽卡,ignore,0,100,
290,29,橙卡池,eq,50,293,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
291,29,橙卡池,every,50,292,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
292,29,紫卡池,every,25,291,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
293,29,普通抽卡,ignore,0,290,
300,30,橙卡池,eq,50,303,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
301,30,橙卡池,every,50,302,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
302,30,紫卡池,every,25,301,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
303,30,普通抽卡,ignore,0,300,
310,31,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
311,31,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
312,31,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
313,31,普通抽卡,ignore,0,20,
320,32,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
321,32,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
322,32,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
323,32,普通抽卡,ignore,0,30,
330,33,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
331,33,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
332,33,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
333,33,普通抽卡,ignore,0,40,
340,34,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
341,34,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
342,34,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
343,34,普通抽卡,ignore,0,50,
350,35,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
351,35,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
352,35,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
353,35,普通抽卡,ignore,0,60,
360,36,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
361,36,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
362,36,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
363,36,普通抽卡,ignore,0,70,
370,37,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
371,37,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
372,37,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
373,37,普通抽卡,ignore,0,80,
380,38,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
381,38,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
382,38,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
383,38,普通抽卡,ignore,0,90,
390,39,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
391,39,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
392,39,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
393,39,普通抽卡,ignore,0,100,
400,40,橙卡池,eq,50,403,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
401,40,橙卡池,every,50,402,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
402,40,紫卡池,every,25,401,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
403,40,普通抽卡,ignore,0,400,
410,41,橙卡池,eq,50,413,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
411,41,橙卡池,every,50,412,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
412,41,紫卡池,every,25,411,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
413,41,普通抽卡,ignore,0,410,
420,42,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
421,42,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
422,42,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
423,42,普通抽卡,ignore,0,20,
430,43,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
431,43,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
432,43,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
433,43,普通抽卡,ignore,0,30,
440,44,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
441,44,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
442,44,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
443,44,普通抽卡,ignore,0,40,
450,45,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
451,45,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
452,45,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
453,45,普通抽卡,ignore,0,50,
460,46,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
461,46,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
462,46,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
463,46,普通抽卡,ignore,0,60,
470,47,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
471,47,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
472,47,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
473,47,普通抽卡,ignore,0,70,
480,48,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
481,48,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
482,48,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
483,48,普通抽卡,ignore,0,80,
490,49,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
491,49,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
492,49,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
493,49,普通抽卡,ignore,0,90,
500,50,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
501,50,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
502,50,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
503,50,普通抽卡,ignore,0,100,
510,51,橙卡池,eq,50,513,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
511,51,橙卡池,every,50,512,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
512,51,紫卡池,every,25,511,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
513,51,普通抽卡,ignore,0,510,
520,52,橙卡池,eq,50,523,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
521,52,橙卡池,every,50,522,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
522,52,紫卡池,every,25,521,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
523,52,普通抽卡,ignore,0,520,
530,53,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
531,53,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
532,53,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
533,53,普通抽卡,ignore,0,20,
540,54,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
541,54,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
542,54,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
543,54,普通抽卡,ignore,0,30,
550,55,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
551,55,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
552,55,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
553,55,普通抽卡,ignore,0,40,
560,56,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
561,56,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
562,56,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
563,56,普通抽卡,ignore,0,50,
570,57,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
571,57,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
572,57,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
573,57,普通抽卡,ignore,0,60,
580,58,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
581,58,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
582,58,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
583,58,普通抽卡,ignore,0,70,
590,59,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
591,59,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
592,59,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
593,59,普通抽卡,ignore,0,80,
600,60,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
601,60,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
602,60,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
603,60,普通抽卡,ignore,0,90,
610,61,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
611,61,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
612,61,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
613,61,普通抽卡,ignore,0,100,
620,62,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
621,62,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
622,62,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
623,62,普通抽卡,ignore,0,20,
630,63,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
631,63,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
632,63,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
633,63,普通抽卡,ignore,0,30,
640,64,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
641,64,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
642,64,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
643,64,普通抽卡,ignore,0,40,
650,65,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
651,65,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
652,65,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
653,65,普通抽卡,ignore,0,50,
660,66,橙卡池,eq,50,63,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
661,66,橙卡池,every,50,62,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
662,66,紫卡池,every,25,61,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
663,66,普通抽卡,ignore,0,60,
670,67,橙卡池,eq,50,73,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
671,67,橙卡池,every,50,72,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
672,67,紫卡池,every,25,71,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
673,67,普通抽卡,ignore,0,70,
680,68,橙卡池,eq,50,83,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
681,68,橙卡池,every,50,82,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
682,68,紫卡池,every,25,81,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
683,68,普通抽卡,ignore,0,80,
690,69,橙卡池,eq,50,93,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
691,69,橙卡池,every,50,92,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
692,69,紫卡池,every,25,91,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
693,69,普通抽卡,ignore,0,90,
700,70,橙卡池,eq,50,103,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
701,70,橙卡池,every,50,102,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
702,70,紫卡池,every,25,101,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
703,70,普通抽卡,ignore,0,100,
710,71,橙卡池,eq,50,23,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
711,71,橙卡池,every,50,22,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
712,71,紫卡池,every,25,21,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
713,71,普通抽卡,ignore,0,20,
720,72,橙卡池,eq,50,33,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
721,72,橙卡池,every,50,32,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
722,72,紫卡池,every,25,31,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
723,72,普通抽卡,ignore,0,30,
730,73,橙卡池,eq,50,43,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
731,73,橙卡池,every,50,42,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
732,73,紫卡池,every,25,41,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
733,73,普通抽卡,ignore,0,40,
740,74,橙卡池,eq,50,53,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
741,74,橙卡池,every,50,52,再招募<color=#0EDE35>{0}</color>次必得<color=#EA8519>橙色球员</color>
742,74,紫卡池,every,25,51,再招募<color=#0EDE35>{0}</color>次必得<color=#D258FF>紫色球员</color>
