Id,Name,Hero,Star,Prev,Des,Number,Star1,Reward1,Star2,Reward2,Star3,Reward3,Showrewards
1041010,篮球世家,101001,0,0,拥有[张祖铭]开启,5,5,2:301001:10,10,2:301001:10|2:400201:1,15,2:301001:10|2:400201:1,2:301001:1
1040090,篮球世家,104009,0,0,拥有[沈梓捷]开启,5,5,2:304009:5,10,2:304009:10|2:400201:1,15,2:304009:10|2:400201:1,2:304009:1
1040100,NCAA篇,104010,0,0,拥有[张镇麟]开启,5,5,2:304010:5,10,2:304010:10|2:400201:1,15,2:304010:10|2:400201:1,2:304010:1
1040110,仁川亚运会,104011,0,0,拥有[陶汉林]开启,5,5,2:304011:5,10,2:304011:10|2:400201:1,15,2:304011:10|2:400201:1,2:304011:1
1040120,亚青赛,104012,0,0,拥有[孙铭徽]开启,5,5,2:304012:5,10,2:304012:10|2:400201:1,15,2:304012:10|2:400201:1,2:304012:1
1040130,广州亚运会,104013,0,0,拥有[周鹏]开启,5,5,2:304013:5,10,2:304013:10|2:400201:1,15,2:304013:10|2:400201:1,2:304013:1
1040140,小飞虎训练营,104014,0,0,拥有[胡明轩]开启,5,5,2:304014:5,10,2:304014:10|2:400201:1,15,2:304014:10|2:400201:1,2:304014:1
1040150,国青队,104015,0,0,拥有[吴冠希]开启,5,5,2:304015:5,10,2:304015:10|2:400201:1,15,2:304015:10|2:400201:1,2:304015:1
1040160,省体工队篇,104016,0,0,拥有[吴前]开启,5,5,2:304016:5,10,2:304016:10|2:400201:1,15,2:304016:10|2:400201:1,2:304016:1
1040170,篮球世家,104017,0,0,拥有[林庭谦]开启,5,5,2:304017:5,10,2:304017:10|2:400201:1,15,2:304017:10|2:400201:1,2:304017:1
1040180,NCAA篇,104018,0,0,拥有[陈盈骏]开启,5,5,2:304018:5,10,2:304018:10|2:400201:1,15,2:304018:10|2:400201:1,2:304018:1
1040190,中宇青年队,104019,0,0,拥有[葛昭宝]开启,5,5,2:304019:5,10,2:304019:10|2:400201:1,15,2:304019:10|2:400201:1,2:304019:1
1040200,广厦青年队,104020,0,0,拥有[赵岩昊]开启,5,5,2:304020:5,10,2:304020:10|2:400201:1,15,2:304020:10|2:400201:1,2:304020:1
1040220,佛山青年队,104022,0,0,拥有[范子铭]开启,5,5,2:304022:5,10,2:304022:10|2:400201:1,15,2:304022:10|2:400201:1,2:304022:1
1040230,亚青赛,104023,0,0,拥有[姜伟泽]开启,5,5,2:304023:5,10,2:304023:10|2:400201:1,15,2:304023:10|2:400201:1,2:304023:1
1040240,亚锦赛,104024,0,0,拥有[西热力江]开启,5,5,2:304024:5,10,2:304024:10|2:400201:1,15,2:304024:10|2:400201:1,2:304024:1
1040250,国青赛,104025,0,0,拥有[高诗岩]开启,5,5,2:304025:5,10,2:304025:10|2:400201:1,15,2:304025:10|2:400201:1,2:304025:1
1040260,深圳大学队,104026,0,0,拥有[邹雨宸]开启,5,5,2:304026:5,10,2:304026:10|2:400201:1,15,2:304026:10|2:400201:1,2:304026:1
1040270,全运会,104027,0,0,拥有[贺希宁]开启,5,5,2:304027:5,10,2:304027:10|2:400201:1,15,2:304027:10|2:400201:1,2:304027:1
1040280,全运会,104028,0,0,拥有[顾全]开启,5,5,2:304028:5,10,2:304028:10|2:400201:1,15,2:304028:10|2:400201:1,2:304028:1
1040290,福建省青年队,104029,0,0,拥有[陈林坚]开启,5,5,2:304029:5,10,2:304029:10|2:400201:1,15,2:304029:10|2:400201:1,2:304029:1
1040300,体校集训赛,104030,0,0,拥有[姜宇星]开启,5,5,2:304030:5,10,2:304030:10|2:400201:1,15,2:304030:10|2:400201:1,2:304030:1
1040310,东莞篮球学校,104031,0,0,拥有[崔永熙]开启,5,5,2:304031:5,10,2:304031:10|2:400201:1,15,2:304031:10|2:400201:1,2:304031:1
1040320,首钢三队,104032,0,0,拥有[曾凡博]开启,5,5,2:304032:5,10,2:304032:10|2:400201:1,15,2:304032:10|2:400201:1,2:304032:1
1040330,集美区少体校,104033,0,0,拥有[林葳]开启,5,5,2:304033:5,10,2:304033:10|2:400201:1,15,2:304033:10|2:400201:1,2:304033:1
1040340,U18男篮,104034,0,0,拥有[程帅澎]开启,5,5,2:304034:5,10,2:304034:10|2:400201:1,15,2:304034:10|2:400201:1,2:304034:1
1040350,辽宁三队,104035,0,0,拥有[周琦]开启,5,5,2:304035:5,10,2:304035:10|2:400201:1,15,2:304035:10|2:400201:1,2:304035:1
1040360,征战CBA,104036,0,0,拥有[陈国豪]开启,5,5,2:304036:5,10,2:304036:10|2:400201:1,15,2:304036:10|2:400201:1,2:304036:1
1040370,征战CBA,104037,0,0,拥有[邹阳]开启,5,5,2:304037:5,10,2:304037:10|2:400201:1,15,2:304037:10|2:400201:1,2:304037:1
1040380,征战CBA,104038,0,0,拥有[杨瀚森]开启,5,5,2:304038:5,10,2:304038:10|2:400201:1,15,2:304038:10|2:400201:1,2:304038:1
1040390,亚青赛,104039,0,0,拥有[巅峰·李晓旭]开启,5,5,2:304039:5,10,2:304039:10|2:400201:1,15,2:304039:10|2:400201:1,2:304039:1
1040400,大庆训练营,104040,0,0,拥有[全明星·赵睿]开启,5,5,2:304040:5,10,2:304040:10|2:400201:1,15,2:304040:10|2:400201:1,2:304040:1
1040410,小飞虎训练营,104041,0,0,拥有[全明星·胡明轩]开启,5,5,2:304041:5,10,2:304041:10|2:400201:1,15,2:304041:10|2:400201:1,2:304041:1
1040420,NCAA篇,104042,0,0,拥有[全明星·张镇麟]开启,5,5,2:304042:5,10,2:304042:10|2:400201:1,15,2:304042:10|2:400201:1,2:304042:1
1040430,东莞篮球学校,104043,0,0,拥有[全明星·崔永熙]开启,5,5,2:304043:5,10,2:304043:10|2:400201:1,15,2:304043:10|2:400201:1,2:304043:1
1040440,征战CBA,104044,0,0,拥有[全明星·阿不都沙拉木]开启,5,5,2:304044:5,10,2:304044:10|2:400201:1,15,2:304044:10|2:400201:1,2:304044:1
1040450,FIBA篇,104045,0,0,拥有[全明星·胡金秋]开启,5,5,2:304045:5,10,2:304045:10|2:400201:1,15,2:304045:10|2:400201:1,2:304045:1
1040460,亚青赛,104046,0,0,拥有[全明星·赵继伟]开启,5,5,2:304046:5,10,2:304046:10|2:400201:1,15,2:304046:10|2:400201:1,2:304046:1
1040470,亚青赛,104047,0,0,拥有[全明星·孙铭徽]开启,5,5,2:304047:5,10,2:304047:10|2:400201:1,15,2:304047:10|2:400201:1,2:304047:1
1040011,NBA篇,104001,1,1040010,拥有1星[易建联]开启,10,10,2:304001:5,20,2:304001:10|2:400201:1,30,2:304001:10|2:400201:1,2:304001:1
1040021,斯坦科维奇杯,104002,1,1040020,拥有1星[郭艾伦]开启,10,10,2:304002:5,20,2:304002:10|2:400201:1,30,2:304002:10|2:400201:1,2:304002:1
1040031,国青赛,104003,1,1040030,拥有1星[阿不都沙拉木]开启,10,10,2:304003:5,20,2:304003:10|2:400201:1,30,2:304003:10|2:400201:1,2:304003:1
1040041,世青赛,104004,1,1040040,拥有1星[赵继伟]开启,10,10,2:304004:5,20,2:304004:10|2:400201:1,30,2:304004:10|2:400201:1,2:304004:1
1040051,全运会,104005,1,1040050,拥有1星[韩德君]开启,10,10,2:304005:5,20,2:304005:10|2:400201:1,30,2:304005:10|2:400201:1,2:304005:1
1040061,柏宁俱乐部,104006,1,1040060,拥有1星[赵睿]开启,10,10,2:304006:5,20,2:304006:10|2:400201:1,30,2:304006:10|2:400201:1,2:304006:1
1040071,世青赛,104007,1,1040070,拥有1星[胡金秋]开启,10,10,2:304007:5,20,2:304007:10|2:400201:1,30,2:304007:10|2:400201:1,2:304007:1
1040081,上海久事,104008,1,1040080,拥有1星[王哲林]开启,10,10,2:304008:5,20,2:304008:10|2:400201:1,30,2:304008:10|2:400201:1,2:304008:1
1040091,深圳青年队,104009,1,1040090,拥有1星[沈梓捷]开启,10,10,2:304009:5,20,2:304009:10|2:400201:1,30,2:304009:10|2:400201:1,2:304009:1
1040101,辽宁队,104010,1,1040100,拥有1星[张镇麟]开启,10,10,2:304010:5,20,2:304010:10|2:400201:1,30,2:304010:10|2:400201:1,2:304010:1
1040111,斯坦科维奇杯,104011,1,1040110,拥有1星[陶汉林]开启,10,10,2:304011:5,20,2:304011:10|2:400201:1,30,2:304011:10|2:400201:1,2:304011:1
1040121,世青赛,104012,1,1040120,拥有1星[孙铭徽]开启,10,10,2:304012:5,20,2:304012:10|2:400201:1,30,2:304012:10|2:400201:1,2:304012:1
1040131,伦敦奥运会,104013,1,1040130,拥有1星[周鹏]开启,10,10,2:304013:5,20,2:304013:10|2:400201:1,30,2:304013:10|2:400201:1,2:304013:1
1040141,杜锋篮球训练营,104014,1,1040140,拥有1星[胡明轩]开启,10,10,2:304014:5,20,2:304014:10|2:400201:1,30,2:304014:10|2:400201:1,2:304014:1
1040151,上海大鲨鱼,104015,1,1040150,拥有1星[吴冠希]开启,10,10,2:304015:5,20,2:304015:10|2:400201:1,30,2:304015:10|2:400201:1,2:304015:1
1040161,FIBA篇,104016,1,1040160,拥有1星[吴前]开启,10,10,2:304016:5,20,2:304016:10|2:400201:1,30,2:304016:10|2:400201:1,2:304016:1
1040171,NCAA篇,104017,1,1040170,拥有1星[林庭谦]开启,10,10,2:304017:5,20,2:304017:10|2:400201:1,30,2:304017:10|2:400201:1,2:304017:1
1040181,世青赛,104018,1,1040180,拥有1星[陈盈骏]开启,10,10,2:304018:5,20,2:304018:10|2:400201:1,30,2:304018:10|2:400201:1,2:304018:1
1040191,山西汾酒,104019,1,1040190,拥有1星[葛昭宝]开启,10,10,2:304019:5,20,2:304019:10|2:400201:1,30,2:304019:10|2:400201:1,2:304019:1
1040201,亚青赛,104020,1,1040200,拥有1星[赵岩昊]开启,10,10,2:304020:5,20,2:304020:10|2:400201:1,30,2:304020:10|2:400201:1,2:304020:1
1040221,世青赛,104022,1,1040220,拥有1星[范子铭]开启,10,10,2:304022:5,20,2:304022:10|2:400201:1,30,2:304022:10|2:400201:1,2:304022:1
1040231,征战CBA,104023,1,1040230,拥有1星[姜伟泽]开启,10,10,2:304023:5,20,2:304023:10|2:400201:1,30,2:304023:10|2:400201:1,2:304023:1
1040241,仁川亚运会,104024,1,1040240,拥有1星[西热力江]开启,10,10,2:304024:5,20,2:304024:10|2:400201:1,30,2:304024:10|2:400201:1,2:304024:1
1040251,世青赛,104025,1,1040250,拥有1星[高诗岩]开启,10,10,2:304025:5,20,2:304025:10|2:400201:1,30,2:304025:10|2:400201:1,2:304025:1
1040261,亚青赛,104026,1,1040260,拥有1星[邹雨宸]开启,10,10,2:304026:5,20,2:304026:10|2:400201:1,30,2:304026:10|2:400201:1,2:304026:1
1040271,世青赛,104027,1,1040270,拥有1星[贺希宁]开启,10,10,2:304027:5,20,2:304027:10|2:400201:1,30,2:304027:10|2:400201:1,2:304027:1
1040281,曼海姆邀请赛,104028,1,1040280,拥有1星[顾全]开启,10,10,2:304028:5,20,2:304028:10|2:400201:1,30,2:304028:10|2:400201:1,2:304028:1
1040291,征战CBA,104029,1,1040290,拥有1星[陈林坚]开启,10,10,2:304029:5,20,2:304029:10|2:400201:1,30,2:304029:10|2:400201:1,2:304029:1
1040301,征战CBA,104030,1,1040300,拥有1星[姜宇星]开启,10,10,2:304030:5,20,2:304030:10|2:400201:1,30,2:304030:10|2:400201:1,2:304030:1
1040311,香港金通杯,104031,1,1040310,拥有1星[崔永熙]开启,10,10,2:304031:5,20,2:304031:10|2:400201:1,30,2:304031:10|2:400201:1,2:304031:1
1040321,温德米尔高中,104032,1,1040320,拥有1星[曾凡博]开启,10,10,2:304032:5,20,2:304032:10|2:400201:1,30,2:304032:10|2:400201:1,2:304032:1
1040331,全运会1,104033,1,1040330,拥有1星[林葳]开启,10,10,2:304033:5,20,2:304033:10|2:400201:1,30,2:304033:10|2:400201:1,2:304033:1
1040341,中国男篮集训,104034,1,1040340,拥有1星[程帅澎]开启,10,10,2:304034:5,20,2:304034:10|2:400201:1,30,2:304034:10|2:400201:1,2:304034:1
1040351,U16邀请赛,104035,1,1040350,拥有1星[周琦]开启,10,10,2:304035:5,20,2:304035:10|2:400201:1,30,2:304035:10|2:400201:1,2:304035:1
1040361,征战CBA,104036,1,1040360,拥有1星[陈国豪]开启,10,10,2:304036:5,20,2:304036:10|2:400201:1,30,2:304036:10|2:400201:1,2:304036:1
1040371,征战CBA,104037,1,1040370,拥有1星[邹阳]开启,10,10,2:304037:5,20,2:304037:10|2:400201:1,30,2:304037:10|2:400201:1,2:304037:1
1040381,征战CBA,104038,1,1040380,拥有1星[杨瀚森]开启,10,10,2:304038:5,20,2:304038:10|2:400201:1,30,2:304038:10|2:400201:1,2:304038:1
1040391,亚青赛,104039,1,1040390,拥有1星[巅峰·李晓旭]开启,10,10,2:304039:5,20,2:304039:10|2:400201:1,30,2:304039:10|2:400201:1,2:304039:1
1040401,大庆训练营,104040,1,1040400,拥有1星[全明星·赵睿]开启,10,10,2:304040:5,20,2:304040:10|2:400201:1,30,2:304040:10|2:400201:1,2:304040:1
1040411,小飞虎训练营,104041,1,1040410,拥有1星[全明星·胡明轩]开启,10,10,2:304041:5,20,2:304041:10|2:400201:1,30,2:304041:10|2:400201:1,2:304041:1
1040421,辽宁队,104042,1,1040420,拥有1星[全明星·张镇麟]开启,10,10,2:304042:5,20,2:304042:10|2:400201:1,30,2:304042:10|2:400201:1,2:304042:1
1040431,香港金通杯,104043,1,1040430,拥有1星[全明星·崔永熙]开启,10,10,2:304043:5,20,2:304043:10|2:400201:1,30,2:304043:10|2:400201:1,2:304043:1
1040441,征战CBA,104044,1,1040440,拥有1星[全明星·阿不都沙拉木]开启,10,10,2:304044:5,20,2:304044:10|2:400201:1,30,2:304044:10|2:400201:1,2:304044:1
1040451,FIBA篇,104045,1,1040450,拥有1星[全明星·胡金秋]开启,10,10,2:304045:5,20,2:304045:10|2:400201:1,30,2:304045:10|2:400201:1,2:304045:1
1040461,世青赛,104046,1,1040460,拥有1星[全明星·赵继伟]开启,10,10,2:304046:5,20,2:304046:10|2:400201:1,30,2:304046:10|2:400201:1,2:304046:1
1040471,世青赛,104047,1,1040470,拥有1星[全明星·孙铭徽]开启,10,10,2:304047:5,20,2:304047:10|2:400201:1,30,2:304047:10|2:400201:1,2:304047:1
1040013,重回CBA,104001,3,1040011,拥有3星[易建联]开启,10,10,2:304001:5,20,2:304001:10|2:400201:1,30,2:304001:10|2:400201:1,2:304001:1
1040023,亚洲杯,104002,3,1040021,拥有3星[郭艾伦]开启,10,10,2:304002:5,20,2:304002:10|2:400201:1,30,2:304002:10|2:400201:1,2:304002:1
1040033,征战CBA,104003,3,1040031,拥有3星[阿不都沙拉木]开启,10,10,2:304003:5,20,2:304003:10|2:400201:1,30,2:304003:10|2:400201:1,2:304003:1
1040043,征战CBA,104004,3,1040041,拥有3星[赵继伟]开启,10,10,2:304004:5,20,2:304004:10|2:400201:1,30,2:304004:10|2:400201:1,2:304004:1
1040053,FIBA篇,104005,3,1040051,拥有3星[韩德君]开启,10,10,2:304005:5,20,2:304005:10|2:400201:1,30,2:304005:10|2:400201:1,2:304005:1
1040063,广东宏远篇,104006,3,1040061,拥有3星[赵睿]开启,10,10,2:304006:5,20,2:304006:10|2:400201:1,30,2:304006:10|2:400201:1,2:304006:1
1040073,FIBA篇,104007,3,1040071,拥有3星[胡金秋]开启,10,10,2:304007:5,20,2:304007:10|2:400201:1,30,2:304007:10|2:400201:1,2:304007:1
1040083,亚锦赛,104008,3,1040081,拥有3星[王哲林]开启,10,10,2:304008:5,20,2:304008:10|2:400201:1,30,2:304008:10|2:400201:1,2:304008:1
1040093,深圳烈豹,104009,3,1040091,拥有3星[沈梓捷]开启,10,10,2:304009:5,20,2:304009:10|2:400201:1,30,2:304009:10|2:400201:1,2:304009:1
1040103,太阳队篇,104010,3,1040101,拥有3星[张镇麟]开启,10,10,2:304010:5,20,2:304010:10|2:400201:1,30,2:304010:10|2:400201:1,2:304010:1
1040113,里约奥运会,104011,3,1040111,拥有3星[陶汉林]开启,10,10,2:304011:5,20,2:304011:10|2:400201:1,30,2:304011:10|2:400201:1,2:304011:1
1040123,FIBA篇,104012,3,1040121,拥有3星[孙铭徽]开启,10,10,2:304012:5,20,2:304012:10|2:400201:1,30,2:304012:10|2:400201:1,2:304012:1
1040133,仁川亚运会,104013,3,1040131,拥有3星[周鹏]开启,10,10,2:304013:5,20,2:304013:10|2:400201:1,30,2:304013:10|2:400201:1,2:304013:1
1040143,广东宏远篇,104014,3,1040141,拥有3星[胡明轩]开启,10,10,2:304014:5,20,2:304014:10|2:400201:1,30,2:304014:10|2:400201:1,2:304014:1
1040153,江苏肯帝亚,104015,3,1040151,拥有3星[吴冠希]开启,10,10,2:304015:5,20,2:304015:10|2:400201:1,30,2:304015:10|2:400201:1,2:304015:1
1040163,男篮亚洲杯,104016,3,1040161,拥有3星[吴前]开启,10,10,2:304016:5,20,2:304016:10|2:400201:1,30,2:304016:10|2:400201:1,2:304016:1
1040173,亚青赛篇,104017,3,1040171,拥有3星[林庭谦]开启,10,10,2:304017:5,20,2:304017:10|2:400201:1,30,2:304017:10|2:400201:1,2:304017:1
1040183,亚洲杯,104018,3,1040181,拥有3星[陈盈骏]开启,10,10,2:304018:5,20,2:304018:10|2:400201:1,30,2:304018:10|2:400201:1,2:304018:1
1040193,山西国投,104019,3,1040191,拥有3星[葛昭宝]开启,10,10,2:304019:5,20,2:304019:10|2:400201:1,30,2:304019:10|2:400201:1,2:304019:1
1040203,世青赛,104020,3,1040201,拥有3星[赵岩昊]开启,10,10,2:304020:5,20,2:304020:10|2:400201:1,30,2:304020:10|2:400201:1,2:304020:1
1040223,亚青赛,104022,3,1040221,拥有3星[范子铭]开启,10,10,2:304022:5,20,2:304022:10|2:400201:1,30,2:304022:10|2:400201:1,2:304022:1
1040233,亚洲杯,104023,3,1040231,拥有3星[姜伟泽]开启,10,10,2:304023:5,20,2:304023:10|2:400201:1,30,2:304023:10|2:400201:1,2:304023:1
1040243,新疆广汇,104024,3,1040241,拥有3星[西热力江]开启,10,10,2:304024:5,20,2:304024:10|2:400201:1,30,2:304024:10|2:400201:1,2:304024:1
1040253,亚洲杯,104025,3,1040251,拥有3星[高诗岩]开启,10,10,2:304025:5,20,2:304025:10|2:400201:1,30,2:304025:10|2:400201:1,2:304025:1
1040263,斯坦科维奇杯,104026,3,1040261,拥有3星[邹雨宸]开启,10,10,2:304026:5,20,2:304026:10|2:400201:1,30,2:304026:10|2:400201:1,2:304026:1
1040273,亚洲杯,104027,3,1040271,拥有3星[贺希宁]开启,10,10,2:304027:5,20,2:304027:10|2:400201:1,30,2:304027:10|2:400201:1,2:304027:1
1040283,亚洲杯,104028,3,1040281,拥有3星[顾全]开启,10,10,2:304028:5,20,2:304028:10|2:400201:1,30,2:304028:10|2:400201:1,2:304028:1
1040293,全运会,104029,3,1040291,拥有3星[陈林坚]开启,10,10,2:304029:5,20,2:304029:10|2:400201:1,30,2:304029:10|2:400201:1,2:304029:1
1040303,全运会,104030,3,1040301,拥有3星[姜宇星]开启,10,10,2:304030:5,20,2:304030:10|2:400201:1,30,2:304030:10|2:400201:1,2:304030:1
1040313,U15男篮,104031,3,1040311,拥有3星[崔永熙]开启,10,10,2:304031:5,20,2:304031:10|2:400201:1,30,2:304031:10|2:400201:1,2:304031:1
1040323,冈萨加大学,104032,3,1040321,拥有3星[曾凡博]开启,10,10,2:304032:5,20,2:304032:10|2:400201:1,30,2:304032:10|2:400201:1,2:304032:1
1040333,全运会2,104033,3,1040331,拥有3星[林葳]开启,10,10,2:304033:5,20,2:304033:10|2:400201:1,30,2:304033:10|2:400201:1,2:304033:1
1040343,世界杯亚洲区1,104034,3,1040341,拥有3星[程帅澎]开启,10,10,2:304034:5,20,2:304034:10|2:400201:1,30,2:304034:10|2:400201:1,2:304034:1
1040353,仁川奥运会,104035,3,1040351,拥有3星[周琦]开启,10,10,2:304035:5,20,2:304035:10|2:400201:1,30,2:304035:10|2:400201:1,2:304035:1
1040363,征战CBA,104036,3,1040361,拥有3星[陈国豪]开启,10,10,2:304036:5,20,2:304036:10|2:400201:1,30,2:304036:10|2:400201:1,2:304036:1
1040373,征战CBA,104037,3,1040371,拥有3星[邹阳]开启,10,10,2:304037:5,20,2:304037:10|2:400201:1,30,2:304037:10|2:400201:1,2:304037:1
1040383,征战CBA,104038,3,1040381,拥有3星[杨瀚森]开启,10,10,2:304038:5,20,2:304038:10|2:400201:1,30,2:304038:10|2:400201:1,2:304038:1
1040393,亚青赛,104039,3,1040391,拥有3星[巅峰·李晓旭]开启,10,10,2:304039:5,20,2:304039:10|2:400201:1,30,2:304039:10|2:400201:1,2:304039:1
1040403,大庆训练营,104040,3,1040401,拥有3星[全明星·赵睿]开启,10,10,2:304040:5,20,2:304040:10|2:400201:1,30,2:304040:10|2:400201:1,2:304040:1
1040413,小飞虎训练营,104041,3,1040411,拥有3星[全明星·胡明轩]开启,10,10,2:304041:5,20,2:304041:10|2:400201:1,30,2:304041:10|2:400201:1,2:304041:1
1040423,辽宁队,104042,3,1040421,拥有3星[全明星·张镇麟]开启,10,10,2:304042:5,20,2:304042:10|2:400201:1,30,2:304042:10|2:400201:1,2:304042:1
1040433,香港金通杯,104043,3,1040431,拥有3星[全明星·崔永熙]开启,10,10,2:304043:5,20,2:304043:10|2:400201:1,30,2:304043:10|2:400201:1,2:304043:1
1040443,征战CBA,104044,3,1040441,拥有3星[全明星·阿不都沙拉木]开启,10,10,2:304044:5,20,2:304044:10|2:400201:1,30,2:304044:10|2:400201:1,2:304044:1
1040453,FIBA篇,104045,3,1040451,拥有3星[全明星·胡金秋]开启,10,10,2:304045:5,20,2:304045:10|2:400201:1,30,2:304045:10|2:400201:1,2:304045:1
1040463,征战CBA,104046,3,1040461,拥有3星[全明星·赵继伟]开启,10,10,2:304046:5,20,2:304046:10|2:400201:1,30,2:304046:10|2:400201:1,2:304046:1
1040473,FIBA篇,104047,3,1040471,拥有3星[全明星·孙铭徽]开启,10,10,2:304047:5,20,2:304047:10|2:400201:1,30,2:304047:10|2:400201:1,2:304047:1
1040015,重回CBA,104001,5,1040011,拥有5星[易建联]开启,10,10,2:304001:5,20,2:304001:10|2:400201:1,30,2:304001:10|2:400201:1,2:304001:1
1040025,亚洲杯,104002,5,1040023,拥有5星[郭艾伦]开启,10,10,2:304002:5,20,2:304002:10|2:400201:1,30,2:304002:10|2:400201:1,2:304002:1
1040035,亚运会,104003,5,1040033,拥有5星[阿不都沙拉木]开启,10,10,2:304003:5,20,2:304003:10|2:400201:1,30,2:304003:10|2:400201:1,2:304003:1
1040045,FIBA篇,104004,5,1040043,拥有5星[赵继伟]开启,10,10,2:304004:5,20,2:304004:10|2:400201:1,30,2:304004:10|2:400201:1,2:304004:1
1040055,巴黎奥运会,104005,5,1040053,拥有5星[韩德君]开启,10,10,2:304005:5,20,2:304005:10|2:400201:1,30,2:304005:10|2:400201:1,2:304005:1
1040065,FIBA篇,104006,5,1040063,拥有5星[赵睿]开启,10,10,2:304006:5,20,2:304006:10|2:400201:1,30,2:304006:10|2:400201:1,2:304006:1
1040075,奥运篇,104007,5,1040073,拥有5星[胡金秋]开启,10,10,2:304007:5,20,2:304007:10|2:400201:1,30,2:304007:10|2:400201:1,2:304007:1
1040085,FIBA篇,104008,5,1040083,拥有5星[王哲林]开启,10,10,2:304008:5,20,2:304008:10|2:400201:1,30,2:304008:10|2:400201:1,2:304008:1
1040095,征战奥运,104009,5,1040093,拥有5星[沈梓捷]开启,10,10,2:304009:5,20,2:304009:10|2:400201:1,30,2:304009:10|2:400201:1,2:304009:1
1040105,FIBA篇,104010,5,1040103,拥有5星[张镇麟]开启,10,10,2:304010:5,20,2:304010:10|2:400201:1,30,2:304010:10|2:400201:1,2:304010:1
1040115,巴黎奥运会,104011,5,1040113,拥有5星[陶汉林]开启,10,10,2:304011:5,20,2:304011:10|2:400201:1,30,2:304011:10|2:400201:1,2:304011:1
1040125,男篮亚洲杯,104012,5,1040123,拥有5星[孙铭徽]开启,10,10,2:304012:5,20,2:304012:10|2:400201:1,30,2:304012:10|2:400201:1,2:304012:1
1040135,里约奥运会,104013,5,1040133,拥有5星[周鹏]开启,10,10,2:304013:5,20,2:304013:10|2:400201:1,30,2:304013:10|2:400201:1,2:304013:1
1040145,FIBA篇,104014,5,1040143,拥有5星[胡明轩]开启,10,10,2:304014:5,20,2:304014:10|2:400201:1,30,2:304014:10|2:400201:1,2:304014:1
1040155,世界杯预选赛,104015,5,1040153,拥有5星[吴冠希]开启,10,10,2:304015:5,20,2:304015:10|2:400201:1,30,2:304015:10|2:400201:1,2:304015:1
1040165,巴黎奥运会,104016,5,1040163,拥有5星[吴前]开启,10,10,2:304016:5,20,2:304016:10|2:400201:1,30,2:304016:10|2:400201:1,2:304016:1
1040175,天津先行者,104017,5,1040173,拥有5星[林庭谦]开启,10,10,2:304017:5,20,2:304017:10|2:400201:1,30,2:304017:10|2:400201:1,2:304017:1
1040185,广州龙狮队,104018,5,1040183,拥有5星[陈盈骏]开启,10,10,2:304018:5,20,2:304018:10|2:400201:1,30,2:304018:10|2:400201:1,2:304018:1
1040195,国奥队,104019,5,1040193,拥有5星[葛昭宝]开启,10,10,2:304019:5,20,2:304019:10|2:400201:1,30,2:304019:10|2:400201:1,2:304019:1
1040205,浙江广厦队,104020,5,1040203,拥有5星[赵岩昊]开启,10,10,2:304020:5,20,2:304020:10|2:400201:1,30,2:304020:10|2:400201:1,2:304020:1
1040225,FIBA篇,104022,5,1040223,拥有5星[范子铭]开启,10,10,2:304022:5,20,2:304022:10|2:400201:1,30,2:304022:10|2:400201:1,2:304022:1
1040235,奥运篇,104023,5,1040233,拥有5星[姜伟泽]开启,10,10,2:304023:5,20,2:304023:10|2:400201:1,30,2:304023:10|2:400201:1,2:304023:1
