Id,Level,Rank,Reward
96,5,16,1:2:7500
97,5,17,1:2:7500
98,5,18,1:2:7500
99,5,19,1:2:7500
100,5,20,1:2:7500
101,6,1,1:2:175000|2:200104:20|3:104010:1
102,6,2,1:2:122500|2:200104:15
103,6,3,1:2:105000|2:200104:11
104,6,4,1:2:87500|2:200104:8
105,6,5,1:2:70000|2:200104:5
106,6,6,1:2:63000|2:200104:3
107,6,7,1:2:56000|2:200104:3
108,6,8,1:2:49000|2:200104:3
109,6,9,1:2:42000|2:200104:3
110,6,10,1:2:35000|2:200104:3
111,6,11,1:2:17500|2:200104:1
112,6,12,1:2:17500|2:200104:1
113,6,13,1:2:17500|2:200104:1
114,6,14,1:2:17500|2:200104:1
115,6,15,1:2:17500|2:200104:1
116,6,16,1:2:8750
117,6,17,1:2:8750
118,6,18,1:2:8750
119,6,19,1:2:8750
120,6,20,1:2:8750
121,7,1,1:2:200000|2:200104:20|3:104010:1
122,7,2,1:2:140000|2:200104:15
123,7,3,1:2:120000|2:200104:11
124,7,4,1:2:100000|2:200104:8
125,7,5,1:2:80000|2:200104:5
126,7,6,1:2:72000|2:200104:3
127,7,7,1:2:64000|2:200104:3
128,7,8,1:2:56000|2:200104:3
129,7,9,1:2:48000|2:200104:3
130,7,10,1:2:40000|2:200104:3
131,7,11,1:2:20000|2:200104:1
132,7,12,1:2:20000|2:200104:1
133,7,13,1:2:20000|2:200104:1
134,7,14,1:2:20000|2:200104:1
135,7,15,1:2:20000|2:200104:1
136,7,16,1:2:10000
137,7,17,1:2:10000
138,7,18,1:2:10000
139,7,19,1:2:10000
140,7,20,1:2:10000
141,8,1,1:2:225000|2:200104:20|3:104010:1
142,8,2,1:2:157500|2:200104:15
143,8,3,1:2:135000|2:200104:11
144,8,4,1:2:112500|2:200104:8
145,8,5,1:2:90000|2:200104:5
146,8,6,1:2:81000|2:200104:3
147,8,7,1:2:72000|2:200104:3
148,8,8,1:2:63000|2:200104:3
149,8,9,1:2:54000|2:200104:3
150,8,10,1:2:45000|2:200104:3
151,8,11,1:2:22500|2:200104:1
152,8,12,1:2:22500|2:200104:1
153,8,13,1:2:22500|2:200104:1
154,8,14,1:2:22500|2:200104:1
155,8,15,1:2:22500|2:200104:1
156,8,16,1:2:11250
157,8,17,1:2:11250
158,8,18,1:2:11250
159,8,19,1:2:11250
160,8,20,1:2:11250
161,9,1,1:2:250000|2:200104:20|3:104010:1
162,9,2,1:2:175000|2:200104:15
163,9,3,1:2:150000|2:200104:11
164,9,4,1:2:125000|2:200104:8
165,9,5,1:2:100000|2:200104:5
166,9,6,1:2:90000|2:200104:3
167,9,7,1:2:80000|2:200104:3
168,9,8,1:2:70000|2:200104:3
169,9,9,1:2:60000|2:200104:3
170,9,10,1:2:50000|2:200104:3
171,9,11,1:2:25000|2:200104:1
172,9,12,1:2:25000|2:200104:1
173,9,13,1:2:25000|2:200104:1
174,9,14,1:2:25000|2:200104:1
175,9,15,1:2:25000|2:200104:1
176,9,16,1:2:12500
177,9,17,1:2:12500
178,9,18,1:2:12500
179,9,19,1:2:12500
180,9,20,1:2:12500
181,10,1,1:2:275000|2:200104:20|3:104010:1
182,10,2,1:2:192500|2:200104:15
183,10,3,1:2:165000|2:200104:11
184,10,4,1:2:137500|2:200104:8
185,10,5,1:2:110000|2:200104:5
186,10,6,1:2:99000|2:200104:3
187,10,7,1:2:88000|2:200104:3
188,10,8,1:2:77000|2:200104:3
189,10,9,1:2:66000|2:200104:3
190,10,10,1:2:55000|2:200104:3
191,10,11,1:2:27500|2:200104:1
192,10,12,1:2:27500|2:200104:1
193,10,13,1:2:27500|2:200104:1
194,10,14,1:2:27500|2:200104:1
195,10,15,1:2:27500|2:200104:1
196,10,16,1:2:13750
197,10,17,1:2:13750
198,10,18,1:2:13750
199,10,19,1:2:13750
200,10,20,1:2:13750
201,11,1,1:2:300000|2:200104:20|3:104010:1
202,11,2,1:2:210000|2:200104:15
203,11,3,1:2:180000|2:200104:11
204,11,4,1:2:150000|2:200104:8
205,11,5,1:2:120000|2:200104:5
206,11,6,1:2:108000|2:200104:3
207,11,7,1:2:96000|2:200104:3
208,11,8,1:2:84000|2:200104:3
209,11,9,1:2:72000|2:200104:3
210,11,10,1:2:60000|2:200104:3
211,11,11,1:2:30000|2:200104:1
212,11,12,1:2:30000|2:200104:1
213,11,13,1:2:30000|2:200104:1
214,11,14,1:2:30000|2:200104:1
215,11,15,1:2:30000|2:200104:1
216,11,16,1:2:15000
217,11,17,1:2:15000
218,11,18,1:2:15000
219,11,19,1:2:15000
220,11,20,1:2:15000
221,12,1,1:2:325000|2:200104:20|3:104010:1
222,12,2,1:2:227500|2:200104:15
223,12,3,1:2:195000|2:200104:11
224,12,4,1:2:162500|2:200104:8
225,12,5,1:2:130000|2:200104:5
226,12,6,1:2:117000|2:200104:3
227,12,7,1:2:104000|2:200104:3
228,12,8,1:2:91000|2:200104:3
229,12,9,1:2:78000|2:200104:3
230,12,10,1:2:65000|2:200104:3
231,12,11,1:2:32500|2:200104:1
232,12,12,1:2:32500|2:200104:1
233,12,13,1:2:32500|2:200104:1
234,12,14,1:2:32500|2:200104:1
235,12,15,1:2:32500|2:200104:1
236,12,16,1:2:16250
237,12,17,1:2:16250
238,12,18,1:2:16250
239,12,19,1:2:16250
240,12,20,1:2:16250
241,13,1,1:2:350000|2:200104:20|3:104010:1
242,13,2,1:2:245000|2:200104:15
243,13,3,1:2:210000|2:200104:11
244,13,4,1:2:175000|2:200104:8
245,13,5,1:2:140000|2:200104:5
246,13,6,1:2:126000|2:200104:3
247,13,7,1:2:112000|2:200104:3
248,13,8,1:2:98000|2:200104:3
249,13,9,1:2:84000|2:200104:3
250,13,10,1:2:70000|2:200104:3
251,13,11,1:2:35000|2:200104:1
252,13,12,1:2:35000|2:200104:1
253,13,13,1:2:35000|2:200104:1
254,13,14,1:2:35000|2:200104:1
255,13,15,1:2:35000|2:200104:1
256,13,16,1:2:17500
257,13,17,1:2:17500
258,13,18,1:2:17500
259,13,19,1:2:17500
260,13,20,1:2:17500
261,14,1,1:2:375000|2:200104:20|3:104010:1
262,14,2,1:2:262500|2:200104:15
263,14,3,1:2:225000|2:200104:11
264,14,4,1:2:187500|2:200104:8
265,14,5,1:2:150000|2:200104:5
266,14,6,1:2:135000|2:200104:3
267,14,7,1:2:120000|2:200104:3
268,14,8,1:2:105000|2:200104:3
269,14,9,1:2:90000|2:200104:3
270,14,10,1:2:75000|2:200104:3
271,14,11,1:2:37500|2:200104:1
272,14,12,1:2:37500|2:200104:1
273,14,13,1:2:37500|2:200104:1
274,14,14,1:2:37500|2:200104:1
275,14,15,1:2:37500|2:200104:1
276,14,16,1:2:18750
277,14,17,1:2:18750
278,14,18,1:2:18750
279,14,19,1:2:18750
280,14,20,1:2:18750
281,15,1,1:2:400000|2:200104:20|3:104010:1
282,15,2,1:2:280000|2:200104:15
283,15,3,1:2:240000|2:200104:11
284,15,4,1:2:200000|2:200104:8
285,15,5,1:2:160000|2:200104:5
286,15,6,1:2:144000|2:200104:3
287,15,7,1:2:128000|2:200104:3
288,15,8,1:2:112000|2:200104:3
289,15,9,1:2:96000|2:200104:3
290,15,10,1:2:80000|2:200104:3
291,15,11,1:2:40000|2:200104:1
292,15,12,1:2:40000|2:200104:1
293,15,13,1:2:40000|2:200104:1
294,15,14,1:2:40000|2:200104:1
295,15,15,1:2:40000|2:200104:1
296,15,16,1:2:20000
297,15,17,1:2:20000
298,15,18,1:2:20000
299,15,19,1:2:20000
300,15,20,1:2:20000
301,16,1,1:2:400000|2:200104:20|3:104010:1
302,16,2,1:2:280000|2:200104:15
303,16,3,1:2:240000|2:200104:11
304,16,4,1:2:200000|2:200104:8
305,16,5,1:2:160000|2:200104:5
306,16,6,1:2:144000|2:200104:3
307,16,7,1:2:128000|2:200104:3
308,16,8,1:2:112000|2:200104:3
309,16,9,1:2:96000|2:200104:3
310,16,10,1:2:80000|2:200104:3
311,16,11,1:2:40000|2:200104:1
312,16,12,1:2:40000|2:200104:1
313,16,13,1:2:40000|2:200104:1
314,16,14,1:2:40000|2:200104:1
315,16,15,1:2:40000|2:200104:1
316,16,16,1:2:20000
317,16,17,1:2:20000
318,16,18,1:2:20000
319,16,19,1:2:20000
320,16,20,1:2:20000
321,17,1,1:2:400000|2:200104:20|3:104010:1
322,17,2,1:2:280000|2:200104:15
323,17,3,1:2:240000|2:200104:11
324,17,4,1:2:200000|2:200104:8
325,17,5,1:2:160000|2:200104:5
326,17,6,1:2:144000|2:200104:3
327,17,7,1:2:128000|2:200104:3
328,17,8,1:2:112000|2:200104:3
329,17,9,1:2:96000|2:200104:3
330,17,10,1:2:80000|2:200104:3
331,17,11,1:2:40000|2:200104:1
332,17,12,1:2:40000|2:200104:1
333,17,13,1:2:40000|2:200104:1
334,17,14,1:2:40000|2:200104:1
335,17,15,1:2:40000|2:200104:1
336,17,16,1:2:20000
337,17,17,1:2:20000
338,17,18,1:2:20000
339,17,19,1:2:20000
340,17,20,1:2:20000
341,18,1,1:2:400000|2:200104:20|3:104010:1
342,18,2,1:2:280000|2:200104:15
343,18,3,1:2:240000|2:200104:11
344,18,4,1:2:200000|2:200104:8
345,18,5,1:2:160000|2:200104:5
346,18,6,1:2:144000|2:200104:3
347,18,7,1:2:128000|2:200104:3
348,18,8,1:2:112000|2:200104:3
349,18,9,1:2:96000|2:200104:3
350,18,10,1:2:80000|2:200104:3
351,18,11,1:2:40000|2:200104:1
352,18,12,1:2:40000|2:200104:1
353,18,13,1:2:40000|2:200104:1
354,18,14,1:2:40000|2:200104:1
355,18,15,1:2:40000|2:200104:1
356,18,16,1:2:20000
357,18,17,1:2:20000
358,18,18,1:2:20000
359,18,19,1:2:20000
360,18,20,1:2:20000
361,19,1,1:2:400000|2:200104:20|3:104010:1
362,19,2,1:2:280000|2:200104:15
363,19,3,1:2:240000|2:200104:11
364,19,4,1:2:200000|2:200104:8
365,19,5,1:2:160000|2:200104:5
366,19,6,1:2:144000|2:200104:3
367,19,7,1:2:128000|2:200104:3
368,19,8,1:2:112000|2:200104:3
369,19,9,1:2:96000|2:200104:3
370,19,10,1:2:80000|2:200104:3
371,19,11,1:2:40000|2:200104:1
372,19,12,1:2:40000|2:200104:1
373,19,13,1:2:40000|2:200104:1
374,19,14,1:2:40000|2:200104:1
375,19,15,1:2:40000|2:200104:1
376,19,16,1:2:20000
377,19,17,1:2:20000
378,19,18,1:2:20000
379,19,19,1:2:20000
380,19,20,1:2:20000
381,20,1,1:2:400000|2:200104:20|3:104010:1
382,20,2,1:2:280000|2:200104:15
383,20,3,1:2:240000|2:200104:11
384,20,4,1:2:200000|2:200104:8
385,20,5,1:2:160000|2:200104:5
386,20,6,1:2:144000|2:200104:3
387,20,7,1:2:128000|2:200104:3
388,20,8,1:2:112000|2:200104:3
389,20,9,1:2:96000|2:200104:3
390,20,10,1:2:80000|2:200104:3
391,20,11,1:2:40000|2:200104:1
392,20,12,1:2:40000|2:200104:1
393,20,13,1:2:40000|2:200104:1
394,20,14,1:2:40000|2:200104:1
395,20,15,1:2:40000|2:200104:1
396,20,16,1:2:20000
397,20,17,1:2:20000
398,20,18,1:2:20000
399,20,19,1:2:20000
400,20,20,1:2:20000
401,21,1,1:2:400000|2:200104:20|3:104010:1
402,21,2,1:2:280000|2:200104:15
403,21,3,1:2:240000|2:200104:11
404,21,4,1:2:200000|2:200104:8
405,21,5,1:2:160000|2:200104:5
406,21,6,1:2:144000|2:200104:3
407,21,7,1:2:128000|2:200104:3
408,21,8,1:2:112000|2:200104:3
409,21,9,1:2:96000|2:200104:3
410,21,10,1:2:80000|2:200104:3
411,21,11,1:2:40000|2:200104:1
412,21,12,1:2:40000|2:200104:1
413,21,13,1:2:40000|2:200104:1
414,21,14,1:2:40000|2:200104:1
415,21,15,1:2:40000|2:200104:1
416,21,16,1:2:20000
417,21,17,1:2:20000
418,21,18,1:2:20000
419,21,19,1:2:20000
420,21,20,1:2:20000
421,22,1,1:2:400000|2:200104:20|3:104010:1
422,22,2,1:2:280000|2:200104:15
423,22,3,1:2:240000|2:200104:11
424,22,4,1:2:200000|2:200104:8
425,22,5,1:2:160000|2:200104:5
426,22,6,1:2:144000|2:200104:3
427,22,7,1:2:128000|2:200104:3
428,22,8,1:2:112000|2:200104:3
429,22,9,1:2:96000|2:200104:3
430,22,10,1:2:80000|2:200104:3
431,22,11,1:2:40000|2:200104:1
432,22,12,1:2:40000|2:200104:1
433,22,13,1:2:40000|2:200104:1
434,22,14,1:2:40000|2:200104:1
435,22,15,1:2:40000|2:200104:1
436,22,16,1:2:20000
437,22,17,1:2:20000
438,22,18,1:2:20000
439,22,19,1:2:20000
440,22,20,1:2:20000
441,23,1,1:2:400000|2:200104:20|3:104010:1
442,23,2,1:2:280000|2:200104:15
443,23,3,1:2:240000|2:200104:11
444,23,4,1:2:200000|2:200104:8
445,23,5,1:2:160000|2:200104:5
446,23,6,1:2:144000|2:200104:3
447,23,7,1:2:128000|2:200104:3
448,23,8,1:2:112000|2:200104:3
449,23,9,1:2:96000|2:200104:3
450,23,10,1:2:80000|2:200104:3
451,23,11,1:2:40000|2:200104:1
452,23,12,1:2:40000|2:200104:1
453,23,13,1:2:40000|2:200104:1
454,23,14,1:2:40000|2:200104:1
455,23,15,1:2:40000|2:200104:1
456,23,16,1:2:20000
457,23,17,1:2:20000
458,23,18,1:2:20000
459,23,19,1:2:20000
460,23,20,1:2:20000
461,24,1,1:2:400000|2:200104:20|3:104010:1
462,24,2,1:2:280000|2:200104:15
463,24,3,1:2:240000|2:200104:11
464,24,4,1:2:200000|2:200104:8
465,24,5,1:2:160000|2:200104:5
466,24,6,1:2:144000|2:200104:3
467,24,7,1:2:128000|2:200104:3
468,24,8,1:2:112000|2:200104:3
469,24,9,1:2:96000|2:200104:3
470,24,10,1:2:80000|2:200104:3
471,24,11,1:2:40000|2:200104:1
472,24,12,1:2:40000|2:200104:1
473,24,13,1:2:40000|2:200104:1
474,24,14,1:2:40000|2:200104:1
475,24,15,1:2:40000|2:200104:1
476,24,16,1:2:20000
477,24,17,1:2:20000
478,24,18,1:2:20000
479,24,19,1:2:20000
480,24,20,1:2:20000
481,25,1,1:2:400000|2:200104:20|3:104010:1
482,25,2,1:2:280000|2:200104:15
483,25,3,1:2:240000|2:200104:11
484,25,4,1:2:200000|2:200104:8
485,25,5,1:2:160000|2:200104:5
486,25,6,1:2:144000|2:200104:3
487,25,7,1:2:128000|2:200104:3
488,25,8,1:2:112000|2:200104:3
489,25,9,1:2:96000|2:200104:3
490,25,10,1:2:80000|2:200104:3
491,25,11,1:2:40000|2:200104:1
492,25,12,1:2:40000|2:200104:1
493,25,13,1:2:40000|2:200104:1
494,25,14,1:2:40000|2:200104:1
495,25,15,1:2:40000|2:200104:1
496,25,16,1:2:20000
497,25,17,1:2:20000
498,25,18,1:2:20000
499,25,19,1:2:20000
500,25,20,1:2:20000
501,26,1,1:2:400000|2:200104:20|3:104010:1
502,26,2,1:2:280000|2:200104:15
503,26,3,1:2:240000|2:200104:11
504,26,4,1:2:200000|2:200104:8
505,26,5,1:2:160000|2:200104:5
506,26,6,1:2:144000|2:200104:3
507,26,7,1:2:128000|2:200104:3
508,26,8,1:2:112000|2:200104:3
509,26,9,1:2:96000|2:200104:3
510,26,10,1:2:80000|2:200104:3
511,26,11,1:2:40000|2:200104:1
512,26,12,1:2:40000|2:200104:1
513,26,13,1:2:40000|2:200104:1
514,26,14,1:2:40000|2:200104:1
515,26,15,1:2:40000|2:200104:1
516,26,16,1:2:20000
517,26,17,1:2:20000
518,26,18,1:2:20000
519,26,19,1:2:20000
520,26,20,1:2:20000
521,27,1,1:2:400000|2:200104:20|3:104010:1
522,27,2,1:2:280000|2:200104:15
523,27,3,1:2:240000|2:200104:11
524,27,4,1:2:200000|2:200104:8
525,27,5,1:2:160000|2:200104:5
526,27,6,1:2:144000|2:200104:3
527,27,7,1:2:128000|2:200104:3
528,27,8,1:2:112000|2:200104:3
529,27,9,1:2:96000|2:200104:3
530,27,10,1:2:80000|2:200104:3
531,27,11,1:2:40000|2:200104:1
532,27,12,1:2:40000|2:200104:1
533,27,13,1:2:40000|2:200104:1
534,27,14,1:2:40000|2:200104:1
535,27,15,1:2:40000|2:200104:1
536,27,16,1:2:20000
537,27,17,1:2:20000
538,27,18,1:2:20000
539,27,19,1:2:20000
540,27,20,1:2:20000
541,28,1,1:2:400000|2:200104:20|3:104010:1
542,28,2,1:2:280000|2:200104:15
543,28,3,1:2:240000|2:200104:11
544,28,4,1:2:200000|2:200104:8
545,28,5,1:2:160000|2:200104:5
546,28,6,1:2:144000|2:200104:3
547,28,7,1:2:128000|2:200104:3
548,28,8,1:2:112000|2:200104:3
549,28,9,1:2:96000|2:200104:3
550,28,10,1:2:80000|2:200104:3
551,28,11,1:2:40000|2:200104:1
552,28,12,1:2:40000|2:200104:1
553,28,13,1:2:40000|2:200104:1
554,28,14,1:2:40000|2:200104:1
555,28,15,1:2:40000|2:200104:1
556,28,16,1:2:20000
557,28,17,1:2:20000
558,28,18,1:2:20000
559,28,19,1:2:20000
560,28,20,1:2:20000
561,29,1,1:2:400000|2:200104:20|3:104010:1
562,29,2,1:2:280000|2:200104:15
563,29,3,1:2:240000|2:200104:11
564,29,4,1:2:200000|2:200104:8
565,29,5,1:2:160000|2:200104:5
566,29,6,1:2:144000|2:200104:3
567,29,7,1:2:128000|2:200104:3
568,29,8,1:2:112000|2:200104:3
569,29,9,1:2:96000|2:200104:3
570,29,10,1:2:80000|2:200104:3
571,29,11,1:2:40000|2:200104:1
572,29,12,1:2:40000|2:200104:1
573,29,13,1:2:40000|2:200104:1
574,29,14,1:2:40000|2:200104:1
575,29,15,1:2:40000|2:200104:1
576,29,16,1:2:20000
577,29,17,1:2:20000
578,29,18,1:2:20000
579,29,19,1:2:20000
580,29,20,1:2:20000
581,30,1,1:2:400000|2:200104:20|3:104010:1
582,30,2,1:2:280000|2:200104:15
583,30,3,1:2:240000|2:200104:11
584,30,4,1:2:200000|2:200104:8
585,30,5,1:2:160000|2:200104:5
586,30,6,1:2:144000|2:200104:3
587,30,7,1:2:128000|2:200104:3
588,30,8,1:2:112000|2:200104:3
589,30,9,1:2:96000|2:200104:3
590,30,10,1:2:80000|2:200104:3
591,30,11,1:2:40000|2:200104:1
592,30,12,1:2:40000|2:200104:1
593,30,13,1:2:40000|2:200104:1
594,30,14,1:2:40000|2:200104:1
595,30,15,1:2:40000|2:200104:1
596,30,16,1:2:20000
597,30,17,1:2:20000
598,30,18,1:2:20000
599,30,19,1:2:20000
600,30,20,1:2:20000
601,31,1,1:2:400000|2:200104:20|3:104010:1
602,31,2,1:2:280000|2:200104:15
603,31,3,1:2:240000|2:200104:11
604,31,4,1:2:200000|2:200104:8
605,31,5,1:2:160000|2:200104:5
606,31,6,1:2:144000|2:200104:3
607,31,7,1:2:128000|2:200104:3
608,31,8,1:2:112000|2:200104:3
609,31,9,1:2:96000|2:200104:3
610,31,10,1:2:80000|2:200104:3
611,31,11,1:2:40000|2:200104:1
612,31,12,1:2:40000|2:200104:1
613,31,13,1:2:40000|2:200104:1
614,31,14,1:2:40000|2:200104:1
615,31,15,1:2:40000|2:200104:1
616,31,16,1:2:20000
617,31,17,1:2:20000
618,31,18,1:2:20000
619,31,19,1:2:20000
620,31,20,1:2:20000
621,32,1,1:2:400000|2:200104:20|3:104010:1
622,32,2,1:2:280000|2:200104:15
623,32,3,1:2:240000|2:200104:11
624,32,4,1:2:200000|2:200104:8
625,32,5,1:2:160000|2:200104:5
626,32,6,1:2:144000|2:200104:3
627,32,7,1:2:128000|2:200104:3
628,32,8,1:2:112000|2:200104:3
629,32,9,1:2:96000|2:200104:3
630,32,10,1:2:80000|2:200104:3
631,32,11,1:2:40000|2:200104:1
632,32,12,1:2:40000|2:200104:1
633,32,13,1:2:40000|2:200104:1
634,32,14,1:2:40000|2:200104:1
635,32,15,1:2:40000|2:200104:1
636,32,16,1:2:20000
637,32,17,1:2:20000
638,32,18,1:2:20000
639,32,19,1:2:20000
640,32,20,1:2:20000
641,33,1,1:2:400000|2:200104:20|3:104010:1
642,33,2,1:2:280000|2:200104:15
643,33,3,1:2:240000|2:200104:11
644,33,4,1:2:200000|2:200104:8
645,33,5,1:2:160000|2:200104:5
646,33,6,1:2:144000|2:200104:3
647,33,7,1:2:128000|2:200104:3
648,33,8,1:2:112000|2:200104:3
649,33,9,1:2:96000|2:200104:3
650,33,10,1:2:80000|2:200104:3
651,33,11,1:2:40000|2:200104:1
652,33,12,1:2:40000|2:200104:1
653,33,13,1:2:40000|2:200104:1
654,33,14,1:2:40000|2:200104:1
655,33,15,1:2:40000|2:200104:1
656,33,16,1:2:20000
657,33,17,1:2:20000
658,33,18,1:2:20000
659,33,19,1:2:20000
660,33,20,1:2:20000
661,34,1,1:2:400000|2:200104:20|3:104010:1
662,34,2,1:2:280000|2:200104:15
663,34,3,1:2:240000|2:200104:11
664,34,4,1:2:200000|2:200104:8
665,34,5,1:2:160000|2:200104:5
666,34,6,1:2:144000|2:200104:3
667,34,7,1:2:128000|2:200104:3
668,34,8,1:2:112000|2:200104:3
669,34,9,1:2:96000|2:200104:3
670,34,10,1:2:80000|2:200104:3
671,34,11,1:2:40000|2:200104:1
672,34,12,1:2:40000|2:200104:1
673,34,13,1:2:40000|2:200104:1
674,34,14,1:2:40000|2:200104:1
675,34,15,1:2:40000|2:200104:1
676,34,16,1:2:20000
677,34,17,1:2:20000
678,34,18,1:2:20000
679,34,19,1:2:20000
680,34,20,1:2:20000
681,35,1,1:2:400000|2:200104:20|3:104010:1
682,35,2,1:2:280000|2:200104:15
683,35,3,1:2:240000|2:200104:11
684,35,4,1:2:200000|2:200104:8
685,35,5,1:2:160000|2:200104:5
686,35,6,1:2:144000|2:200104:3
687,35,7,1:2:128000|2:200104:3
688,35,8,1:2:112000|2:200104:3
689,35,9,1:2:96000|2:200104:3
690,35,10,1:2:80000|2:200104:3
691,35,11,1:2:40000|2:200104:1
692,35,12,1:2:40000|2:200104:1
693,35,13,1:2:40000|2:200104:1
694,35,14,1:2:40000|2:200104:1
695,35,15,1:2:40000|2:200104:1
696,35,16,1:2:20000
697,35,17,1:2:20000
698,35,18,1:2:20000
699,35,19,1:2:20000
700,35,20,1:2:20000
