Id,ActivityId,Group,Name,TriggerId,Target,Way,Reward,ModuleId
1500225,15002,25,活动期间，任意品质球员累计升阶<color=#0F7F28>{0}</color>/{1}次,20027,2,0,2:400103:10|2:400102:5|2:100108:2,2101
1500226,15002,26,活动期间，任意品质球员累计升阶<color=#0F7F28>{0}</color>/{1}次,20027,3,0,2:400103:10|2:400102:10|2:100108:2,2101
1500301,15003,1,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,800,0,1:1:50|2:400103:5|2:700002:1,-1
1500302,15003,2,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,2400,0,1:1:100|2:400103:5|2:700002:1,-1
1500303,15003,3,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}体力,20034,4000,0,1:1:200|2:400103:5|2:400102:5|2:700002:1,-1
1500304,15003,4,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,1000,0,2:400103:10|2:400102:5|2:700002:1,-1
1500305,15003,5,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,4000,0,2:400103:15|2:400102:5|2:700002:1,-1
1500306,15003,6,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}钻石,20021,8800,0,2:200259:5|2:400103:20|2:400102:10|2:700002:1,-1
1500307,15003,7,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,75000,0,2:400103:10|2:400102:5|2:700002:1,-1
1500308,15003,8,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,150000,0,2:400103:15|2:400102:5|2:700002:1,-1
1500309,15003,9,活动期间内，累计消耗<color=#0F7F28>{0}</color>/{1}金币,20038,300000,0,2:200259:5|2:400103:20|2:400102:10|2:700002:1,-1
1500310,15003,10,活动期间，报名<color=#0F7F28>{0}</color>/{1}次百分大战,20039,1,0,1:1:100|2:200259:5,3001
1500311,15003,11,活动期间，参加与百分大战并入围淘汰赛<color=#0F7F28>{0}</color>/{1}次,20040,1,0,1:1:100|1:2:10000|2:200259:5|2:304039:3,-1
1500312,15003,12,活动期间，参与报名<color=#0F7F28>{0}</color>/{1}次联赛,20045,1,0,2:200259:3|2:304039:3,-1
1500313,15003,13,活动期间，联赛累计胜利<color=#0F7F28>{0}</color>/{1}场,20023,6,0,2:200259:3|2:304039:3|2:700002:5,-1
1500314,15003,14,活动期间，联赛累计胜利<color=#0F7F28>{0}</color>/{1}场,20023,12,0,2:200259:3|2:304039:5|2:700002:5,-1
1500315,15003,15,活动期间，排位赛累计胜利<color=#0F7F28>{0}</color>/{1}场,20029,3,0,1:1:100|1:2:10000|2:200259:5|2:700002:2,1300
1500316,15003,16,活动期间，排位赛累计胜利<color=#0F7F28>{0}</color>/{1}场,20029,10,0,1:1:150|1:2:20000|2:200259:5|2:700002:3,1300
1500317,15003,17,活动期间，排位赛累计胜利<color=#0F7F28>{0}</color>/{1}场,20029,20,0,1:1:300|1:2:80000|2:200259:5|2:700002:5,1300
1500318,15003,18,活动期间，投篮大赛中累计得分<color=#0F7F28>{0}</color>/{1},20041,666,0,1:1:100|1:2:10000|2:400102:5,1801
1500319,15003,19,活动期间，投篮大赛中累计得分<color=#0F7F28>{0}</color>/{1},20041,1288,0,1:1:100|1:2:50000|2:400102:5|2:700002:5,1801
1500320,15003,20,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,1688,0,1:1:100|2:200259:3|2:304039:3,1402
1500321,15003,21,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,5088,0,1:1:150|2:200259:3|2:304039:3,1402
1500322,15003,22,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#0F7F28>{0}</color>/{1},20042,9088,0,1:1:200|2:200259:3|2:304039:3|2:700002:5,1402
1500323,15003,23,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,102888,0,2:200259:3|2:400102:5|2:304039:3|2:700002:1,2101
1500324,15003,24,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,550888,0,2:200259:3|2:400102:5|2:304039:3|2:700002:3,2101
1500325,15003,25,活动期间，通过经验书消耗<color=#0F7F28>{0}</color>/{1}点经验,20043,1358888,0,2:200259:3|2:400102:5|2:304039:3|2:700002:5,2101
1500326,15003,26,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,1,0,1:1:150|2:200259:3|2:304039:3|2:700002:1,2101
1500327,15003,27,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,3,0,1:1:300|2:200259:3|2:304039:3|2:700002:3,2101
1500328,15003,28,活动期间，对紫色以上品质球员累计升星<color=#0F7F28>{0}</color>/{1}次,20044,5,0,1:1:500|2:200259:3|2:304039:3|2:700002:5,2101
1500329,15003,29,活动期间，任意品质球员累计升品<color=#0F7F28>{0}</color>/{1}次,20027,1,0,1:2:10000|2:200259:3|2:304039:3|2:700002:1,2101
1500330,15003,30,活动期间，任意品质球员累计升品<color=#0F7F28>{0}</color>/{1}次,20027,2,0,1:2:50000|2:200259:3|2:304039:3|2:700002:3,2101
1500331,15003,31,活动期间，任意品质球员累计升品<color=#0F7F28>{0}</color>/{1}次,20027,3,0,1:2:80000|2:200259:3|2:304039:3|2:700002:5,2101
1500332,15004,1,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,500,0,2:400201:1|1:1:50|1:2:5000,-1
1500333,15004,2,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,1000,0,2:400201:1|1:1:100|1:2:10000,-1
1500334,15004,3,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,2000,0,2:400201:1|1:1:300|1:2:15000,-1
1500335,15004,4,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}钻石,20021,3000,0,2:200259:3|2:400103:3|2:400102:2,-1
1500336,15004,5,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}钻石,20021,6000,0,2:200259:5|2:400103:6|2:400102:3,-1
1500337,15004,6,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}钻石,20021,9000,0,2:200259:8|2:400103:10|2:400102:5,-1
1500338,15004,7,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,80000,0,2:200259:3|2:400103:3|2:400102:2,-1
1500339,15004,8,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,160000,0,2:200259:5|2:400103:6|2:400102:3,-1
1500340,15004,9,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,250000,0,2:200259:8|2:400103:10|2:400102:5,-1
1500341,15004,10,活动期间，报名<color=#0F7F28>{0}</color>/{1}次百分大战,20039,1,0,1:1:50|1:2:10000|2:200259:1,-1
1500342,15004,11,活动期间，参与报名<color=#FFF600>{0}</color>/{1}次联赛,20045,1,0,1:1:50|1:2:10000|2:200259:1,-1
1500343,15004,12,活动期间，联赛累计胜利<color=#FFF600>{0}</color>/{1}场,20023,6,0,2:200259:3|2:400103:2|2:400102:2,-1
1500344,15004,13,活动期间，联赛累计胜利<color=#FFF600>{0}</color>/{1}场,20023,12,0,2:200259:5|2:400103:3|2:400102:3,-1
1500345,15004,14,活动期间，联赛累计胜利<color=#FFF600>{0}</color>/{1}场,20023,20,0,2:200259:8|2:400103:5|2:400102:5,-1
1500346,15004,15,活动期间，投篮大赛中累计得分<color=#FFF600>{0}</color>/{1},20041,666,0,1:1:50|1:2:5000|2:200259:5,1801
1500347,15004,16,活动期间，投篮大赛中累计得分<color=#FFF600>{0}</color>/{1},20041,1088,0,1:1:150|1:2:15000|2:200259:10,1801
1500348,15004,17,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#FFF600>{0}</color>/{1},20042,1288,0,2:400201:1|2:400102:2|1:1:50,1402
1500349,15004,18,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#FFF600>{0}</color>/{1},20042,2088,0,2:400201:1|2:400102:3|1:1:100,1402
1500350,15004,19,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#FFF600>{0}</color>/{1},20042,6088,0,2:400210:1|2:400102:5|1:1:300,1402
1500351,15004,20,活动期间，通过经验书消耗<color=#FFF600>{0}</color>/{1}点经验,20043,10000,0,2:400201:1|2:400103:3|1:2:10000,2101
1500352,15004,21,活动期间，通过经验书消耗<color=#FFF600>{0}</color>/{1}点经验,20043,30000,0,2:400201:1|2:400103:5|1:2:30000,2101
1500353,15004,22,活动期间，通过经验书消耗<color=#FFF600>{0}</color>/{1}点经验,20043,50000,0,2:400210:1|2:400103:8|1:2:50000,2101
1500354,15004,23,活动期间，对紫色以上品质球员累计升星<color=#FFF600>{0}</color>/{1}次,20044,1,0,2:400201:1|2:400102:2|1:2:10000,2101
1500355,15004,24,活动期间，对紫色以上品质球员累计升星<color=#FFF600>{0}</color>/{1}次,20044,2,0,2:400210:1|2:400102:3|1:2:30000,2101
1500356,15004,25,活动期间，对紫色以上品质球员累计升星<color=#FFF600>{0}</color>/{1}次,20044,3,0,2:400210:1|2:400102:5|1:2:50000,2101
1500357,15004,26,活动期间，任意品质球员累计升品<color=#FFF600>{0}</color>/{1}次,20027,1,0,2:400201:1|2:400103:3|1:1:100,2101
1500358,15004,27,活动期间，任意品质球员累计升品<color=#FFF600>{0}</color>/{1}次,20027,2,0,2:400210:1|2:400103:5|1:1:200,2101
1500359,15004,28,活动期间，任意品质球员累计升品<color=#FFF600>{0}</color>/{1}次,20027,3,0,2:400210:1|2:400103:8|1:1:300,2101
1500501,15005,1,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,500,0,2:700003:3,-1
1500502,15005,2,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,1288,0,2:700003:3,-1
1500503,15005,3,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}钻石,20021,8888,0,2:700003:3,-1
1500504,15005,4,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,150000,0,2:700003:3,-1
1500505,15005,5,活动期间内，累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,500000,0,2:700003:3,-1
1500506,15005,6,活动期间，报名<color=#FFF600>{0}</color>/{1}次百分大战,20039,1,0,2:700003:2,-1
1500507,15005,7,活动期间，参与报名<color=#FFF600>{0}</color>/{1}次联赛,20045,1,0,2:700003:2,-1
1500508,15005,8,活动期间，投篮大赛中累计得分<color=#FFF600>{0}</color>/{1},20041,888,0,2:700003:8,1801
1500509,15005,9,活动期间，经典赛、排位赛等玩法中，全队累计得分到达<color=#FFF600>{0}</color>/{1},20042,6666,0,2:700003:6,1402
1500510,15005,10,活动期间，通过经验书消耗<color=#FFF600>{0}</color>/{1}点经验,20043,51000,0,2:700003:6,2101
1500511,15005,11,活动期间，对紫色以上品质球员累计升星<color=#FFF600>{0}</color>/{1}次,20044,2,0,2:700003:5,2101
1500512,15005,12,活动期间，任意品质球员累计升品<color=#FFF600>{0}</color>/{1}次,20027,2,0,2:700003:6,2101
1500601,15006,1,今日在投篮大赛中累计得分<color=#FFF600>{0}</color>/{1},20041,60,0,2:700004:2|1:2:5000,1801
1500602,15006,1,今日累计消耗<color=#FFF600>{0}</color>/{1}体力,20034,100,0,2:700004:2|1:2:5000,-1
1500603,15006,1,今日完成<color=#FFF600>{0}</color>/{1}次邀请赛,20014,2,0,2:700004:2|1:2:5000,1503
1500604,15006,2,今日进行<color=#FFF600>{0}</color>/{1}次排位赛挑战,20029,3,0,2:700004:3|1:1:15,1300
1500605,15006,2,今日通过经验书消耗<color=#FFF600>{0}</color>/{1}点经验,20043,3000,0,2:700004:3|1:1:15,-1
1500606,15006,2,今日累计消耗<color=#FFF600>{0}</color>/{1}金币,20038,10000,0,2:700004:3|1:1:15,-1
1500607,15006,3,每日任务中的活跃到达100点,20026,100,0,2:700004:5|1:1:25,-1
1500608,15006,3,今日完成<color=#FFF600>{0}</color>/{1}次悬赏任务,20032,3,0,2:700004:5|1:1:25,1703
1500609,15006,3,今日招募<color=#FFF600>{0}</color>/{1}次,20016,1,0,2:700004:5|1:1:25,2200
1500610,15006,3,完成<color=#FFF600>{0}</color>/{1}次篮球小游戏,20036,3,0,2:700004:5|1:1:25,1801
