Id,Name,Icon,Chapter,Tactics,TacticsLevels,Star3,Buff,FirstReward,Reward,Lv,NextId
5000206,第6关,900116,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000207
5000207,第7关,900117,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000208
5000208,第8关,900118,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000209
5000209,第9关,900119,20102,"[101,201]","[1,1]","[1001,1002]",4:2:10:4|4:2:15:8|4:2:20:12,2:100109:10,2:100109:30|1:2:200,0,5000210
5000210,第10关,900120,20102,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000301
5000301,第1关,900101,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000302
5000302,第2关,900102,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000303
5000303,第3关,900103,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000304
5000304,第4关,900104,20103,"[101,201]","[1,1]","[1001,1002]",5:2:10:4|5:2:15:8|5:2:20:12,2:100109:10,2:100109:30|1:2:200,0,5000305
5000305,第5关,900105,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000306
5000306,第6关,900106,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000307
5000307,第7关,900107,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000308
5000308,第8关,900108,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000309
5000309,第9关,900109,20103,"[101,201]","[1,1]","[1001,1002]",1:4:10:4|1:4:15:8|1:4:20:12,2:100109:10,2:100109:30|1:2:200,0,5000310
5000310,第10关,900110,20103,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000401
5000401,第1关,900111,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000402
5000402,第2关,900112,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000403
5000403,第3关,900113,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000404
5000404,第4关,900114,20104,"[101,201]","[1,1]","[1001,1002]",2:3:10:4|2:3:15:8|2:3:20:12,2:100109:10,2:100109:30|1:2:200,0,5000405
5000405,第5关,900115,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000406
5000406,第6关,900116,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000407
5000407,第7关,900117,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000408
5000408,第8关,900118,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000409
5000409,第9关,900119,20104,"[101,201]","[1,1]","[1001,1002]",3:8:10:4|3:8:15:8|3:8:20:12,2:100109:10,2:100109:30|1:2:200,0,5000410
5000410,第10关,900120,20104,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000501
5000501,第1关,900101,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000502
5000502,第2关,900102,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000503
5000503,第3关,900103,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000504
5000504,第4关,900104,20105,"[101,201]","[1,1]","[1001,1002]",4:9:10:4|4:9:15:8|4:9:20:12,2:100109:10,2:100109:30|1:2:200,0,5000505
5000505,第5关,900105,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000506
5000506,第6关,900106,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000507
5000507,第7关,900107,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000508
5000508,第8关,900108,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000509
5000509,第9关,900109,20105,"[101,201]","[1,1]","[1001,1002]",5:7:10:4|5:7:15:8|5:7:20:12,2:100109:10,2:100109:30|1:2:200,0,5000510
5000510,第10关,900110,20105,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,0,5000601
5000601,第1关,900111,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000602
5000602,第2关,900112,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000603
5000603,第3关,900113,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000604
5000604,第4关,900114,20106,"[101,201]","[1,1]","[1001,1002]",1:5:10:4|1:5:15:8|1:5:20:12,2:100109:10,2:100109:30|1:2:200,3,5000605
5000605,第5关,900115,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000606
5000606,第6关,900116,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000607
5000607,第7关,900117,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000608
5000608,第8关,900118,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000609
5000609,第9关,900119,20106,"[101,201]","[1,1]","[1001,1002]",2:4:10:4|2:4:15:8|2:4:20:12,2:100109:10,2:100109:30|1:2:200,3,5000610
5000610,第10关,900120,20106,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,3,5000701
5000701,第1关,900101,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000702
5000702,第2关,900102,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000703
5000703,第3关,900103,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000704
5000704,第4关,900104,20107,"[101,201]","[1,1]","[1001,1002]",3:5:10:4|3:5:15:8|3:5:20:12,2:100109:10,2:100109:30|1:2:200,6,5000705
5000705,第5关,900105,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000706
5000706,第6关,900106,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000707
5000707,第7关,900107,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000708
5000708,第8关,900108,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000709
5000709,第9关,900109,20107,"[101,201]","[1,1]","[1001,1002]",4:8:10:4|4:8:15:8|4:8:20:12,2:100109:10,2:100109:30|1:2:200,6,5000710
5000710,第10关,900110,20107,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,6,5000801
5000801,第1关,900111,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000802
5000802,第2关,900112,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000803
5000803,第3关,900113,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000804
5000804,第4关,900114,20108,"[101,201]","[1,1]","[1001,1002]",5:1:10:4|5:1:15:8|5:1:20:12,2:100109:10,2:100109:30|1:2:200,8,5000805
5000805,第5关,900115,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000806
5000806,第6关,900116,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000807
5000807,第7关,900117,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000808
5000808,第8关,900118,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000809
5000809,第9关,900119,20108,"[101,201]","[1,1]","[1001,1002]",1:1:10:4|1:1:15:8|1:1:20:12,2:100109:10,2:100109:30|1:2:200,8,5000810
5000810,第10关,900120,20108,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,8,5000901
5000901,第1关,900101,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000902
5000902,第2关,900102,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000903
5000903,第3关,900103,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000904
5000904,第4关,900104,20109,"[101,201]","[1,1]","[1001,1002]",2:5:10:4|2:5:15:8|2:5:20:12,2:100109:10,2:100109:30|1:2:200,10,5000905
5000905,第5关,900105,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000906
5000906,第6关,900106,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000907
5000907,第7关,900107,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000908
5000908,第8关,900108,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5000909
5000909,第9关,900109,20109,"[101,201]","[1,1]","[1001,1002]",3:9:10:4|3:9:15:8|3:9:20:12,2:100109:10,2:100109:30|1:2:200,10,5000910
5000910,第10关,900110,20109,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,10,5001001
5001001,第1关,900111,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001002
5001002,第2关,900112,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001003
5001003,第3关,900113,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001004
5001004,第4关,900114,20110,"[101,201]","[1,1]","[1001,1002]",4:10:10:4|4:10:15:8|4:10:20:12,2:100109:10,2:100109:30|1:2:200,14,5001005
5001005,第5关,900115,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001006
5001006,第6关,900116,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001007
5001007,第7关,900117,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001008
5001008,第8关,900118,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001009
5001009,第9关,900119,20110,"[101,201]","[1,1]","[1001,1002]",5:8:10:4|5:8:15:8|5:8:20:12,2:100109:10,2:100109:30|1:2:200,14,5001010
5001010,第10关,900120,20110,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,14,5001101
5001101,第1关,900101,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001102
5001102,第2关,900102,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001103
5001103,第3关,900103,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001104
5001104,第4关,900104,20111,"[101,201]","[1,1]","[1001,1002]",1:10:10:4|1:10:15:8|1:10:20:12,2:100109:10,2:100109:30|1:2:200,18,5001105
5001105,第5关,900105,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001106
5001106,第6关,900106,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001107
5001107,第7关,900107,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001108
5001108,第8关,900108,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001109
5001109,第9关,900109,20111,"[101,201]","[1,1]","[1001,1002]",2:6:10:4|2:6:15:8|2:6:20:12,2:100109:10,2:100109:30|1:2:200,18,5001110
5001110,第10关,900110,20111,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,18,5001201
5001201,第1关,900111,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001202
5001202,第2关,900112,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001203
5001203,第3关,900113,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001204
5001204,第4关,900114,20112,"[101,201]","[1,1]","[1001,1002]",3:10:10:4|3:10:15:8|3:10:20:12,2:100109:10,2:100109:30|1:2:200,22,5001205
5001205,第5关,900115,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001206
5001206,第6关,900116,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001207
5001207,第7关,900117,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001208
5001208,第8关,900118,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001209
5001209,第9关,900119,20112,"[101,201]","[1,1]","[1001,1002]",4:1:10:4|4:1:15:8|4:1:20:12,2:100109:10,2:100109:30|1:2:200,22,5001210
5001210,第10关,900120,20112,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,22,5001301
5001301,第1关,900101,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001302
5001302,第2关,900102,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001303
5001303,第3关,900103,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001304
5001304,第4关,900104,20113,"[101,201]","[1,1]","[1001,1002]",5:9:10:4|5:9:15:8|5:9:20:12,2:100109:10,2:100109:30|1:2:200,25,5001305
5001305,第5关,900105,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001306
5001306,第6关,900106,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001307
5001307,第7关,900107,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001308
5001308,第8关,900108,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001309
5001309,第9关,900109,20113,"[101,201]","[1,1]","[1001,1002]",1:2:10:4|1:2:15:8|1:2:20:12,2:100109:10,2:100109:30|1:2:200,25,5001310
5001310,第10关,900110,20113,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,25,5001401
5001401,第1关,900111,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001402
5001402,第2关,900112,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001403
5001403,第3关,900113,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001404
5001404,第4关,900114,20114,"[101,201]","[1,1]","[1001,1002]",2:9:10:4|2:9:15:8|2:9:20:12,2:100109:10,2:100109:30|1:2:200,27,5001405
5001405,第5关,900115,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001406
5001406,第6关,900116,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001407
5001407,第7关,900117,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001408
5001408,第8关,900118,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001409
5001409,第9关,900119,20114,"[101,201]","[1,1]","[1001,1002]",3:4:10:4|3:4:15:8|3:4:20:12,2:100109:10,2:100109:30|1:2:200,27,5001410
5001410,第10关,900120,20114,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,27,5001501
5001501,第1关,900101,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001502
5001502,第2关,900102,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001503
5001503,第3关,900103,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001504
5001504,第4关,900104,20115,"[101,201]","[1,1]","[1001,1002]",4:3:10:4|4:3:15:8|4:3:20:12,2:100109:10,2:100109:30|1:2:200,28,5001505
5001505,第5关,900105,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001506
5001506,第6关,900106,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001507
5001507,第7关,900107,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001508
5001508,第8关,900108,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001509
5001509,第9关,900109,20115,"[101,201]","[1,1]","[1001,1002]",5:5:10:4|5:5:15:8|5:5:20:12,2:100109:10,2:100109:30|1:2:200,28,5001510
5001510,第10关,900110,20115,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,28,5001601
5001601,第1关,900111,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001602
5001602,第2关,900112,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001603
5001603,第3关,900113,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001604
5001604,第4关,900114,20116,"[101,201]","[1,1]","[1001,1002]",1:8:10:4|1:8:15:8|1:8:20:12,2:100109:10,2:100109:30|1:2:200,29,5001605
5001605,第5关,900115,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001606
5001606,第6关,900116,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001607
5001607,第7关,900117,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001608
5001608,第8关,900118,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001609
5001609,第9关,900119,20116,"[101,201]","[1,1]","[1001,1002]",2:8:10:4|2:8:15:8|2:8:20:12,2:100109:10,2:100109:30|1:2:200,29,5001610
5001610,第10关,900120,20116,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,29,5001701
5001701,第1关,900101,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001702
5001702,第2关,900102,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001703
5001703,第3关,900103,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001704
5001704,第4关,900104,20117,"[101,201]","[1,1]","[1001,1002]",3:3:10:4|3:3:15:8|3:3:20:12,2:100109:10,2:100109:30|1:2:200,30,5001705
5001705,第5关,900105,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001706
5001706,第6关,900106,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001707
5001707,第7关,900107,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001708
5001708,第8关,900108,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001709
5001709,第9关,900109,20117,"[101,201]","[1,1]","[1001,1002]",4:5:10:4|4:5:15:8|4:5:20:12,2:100109:10,2:100109:30|1:2:200,30,5001710
5001710,第10关,900110,20117,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,30,5001801
5001801,第1关,900111,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001802
5001802,第2关,900112,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001803
5001803,第3关,900113,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001804
5001804,第4关,900114,20118,"[101,201]","[1,1]","[1001,1002]",5:4:10:4|5:4:15:8|5:4:20:12,2:100109:10,2:100109:30|1:2:200,31,5001805
5001805,第5关,900115,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001806
5001806,第6关,900116,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001807
5001807,第7关,900117,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001808
5001808,第8关,900118,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001809
5001809,第9关,900119,20118,"[101,201]","[1,1]","[1001,1002]",1:7:10:4|1:7:15:8|1:7:20:12,2:100109:10,2:100109:30|1:2:200,31,5001810
5001810,第10关,900120,20118,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,31,5001901
5001901,第1关,900101,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001902
5001902,第2关,900102,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001903
5001903,第3关,900103,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001904
5001904,第4关,900104,20119,"[101,201]","[1,1]","[1001,1002]",2:7:10:4|2:7:15:8|2:7:20:12,2:100109:10,2:100109:30|1:2:200,32,5001905
5001905,第5关,900105,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001906
5001906,第6关,900106,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001907
5001907,第7关,900107,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001908
5001908,第8关,900108,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5001909
5001909,第9关,900109,20119,"[101,201]","[1,1]","[1001,1002]",3:7:10:4|3:7:15:8|3:7:20:12,2:100109:10,2:100109:30|1:2:200,32,5001910
5001910,第10关,900110,20119,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,32,5002001
5002001,第1关,900111,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002002
5002002,第2关,900112,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002003
5002003,第3关,900113,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002004
5002004,第4关,900114,20120,"[101,201]","[1,1]","[1001,1002]",4:4:10:4|4:4:15:8|4:4:20:12,2:100109:10,2:100109:30|1:2:200,33,5002005
5002005,第5关,900115,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002006
5002006,第6关,900116,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002007
5002007,第7关,900117,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002008
5002008,第8关,900118,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002009
5002009,第9关,900119,20120,"[101,201]","[1,1]","[1001,1002]",5:3:10:4|5:3:15:8|5:3:20:12,2:100109:10,2:100109:30|1:2:200,33,5002010
5002010,第10关,900120,20120,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,33,5002101
5002101,第1关,900101,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002102
5002102,第2关,900102,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002103
5002103,第3关,900103,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002104
5002104,第4关,900104,20121,"[101,201]","[1,1]","[1001,1002]",1:6:10:4|1:6:15:8|1:6:20:12,2:100109:10,2:100109:30|1:2:200,34,5002105
5002105,第5关,900105,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002106
5002106,第6关,900106,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002107
5002107,第7关,900107,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002108
5002108,第8关,900108,20121,"[101,201]","[1,1]","[1001,1002]",,2:100109:10,2:100109:30|1:2:200,34,5002109
