Id,Name,Icon,Country,Tactics,TacticsLevels,FirstReward,Reward,Count,Star3
1010504,Ban Bueng魔鬼鱼,100112,10105,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600203:5|2:600204:5,1:4:100|2:100105:5|2:600203:2|2:600204:2,40,"[1001,1002]"
1010505,ZNO老鹰,100113,10105,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010506,爱国勇士,100114,10105,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600205:5|2:600206:5,1:4:100|2:100105:5|2:600205:2|2:600206:2,40,"[1001,1002]"
1010507,文莱飞马,100101,10105,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010508,琅勃拉邦,100102,10105,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600207:5|2:600208:5,1:4:100|2:100105:5|2:600207:2|2:600208:2,40,"[1001,1002]"
1010509,SWU篮球俱乐部,100103,10105,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010510,NS矩阵,100104,10105,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600209:5|2:600210:5,1:4:100|2:100105:5|2:600209:2|2:600210:2,40,"[1001,1002]"
1010601,孟买城,100105,10106,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010602,海德拉巴,100106,10106,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600201:5|2:600202:5,1:4:100|2:100105:5|2:600201:2|2:600202:2,99,"[1001,1002]"
1010603,喀啦啦爆破手,100107,10106,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,40,"[1001,1002]"
1010604,班加罗尔,100108,10106,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600203:5|2:600204:5,1:4:100|2:100105:5|2:600203:2|2:600204:2,99,"[1001,1002]"
1010605,果阿,100109,10106,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010606,奥里萨,100110,10106,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600205:5|2:600206:5,1:4:100|2:100105:5|2:600205:2|2:600206:2,40,"[1001,1002]"
1010607,金奈,100111,10106,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010608,东孟加拉,100112,10106,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600207:5|2:600208:5,1:4:100|2:100105:5|2:600207:2|2:600208:2,99,"[1001,1002]"
1010609,贾姆谢德布尔,100113,10106,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,40,"[1001,1002]"
1010610,东北联,100114,10106,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600209:5|2:600210:5,1:4:100|2:100105:5|2:600209:2|2:600210:2,40,"[1001,1002]"
1010701,戈尔甘,100101,10107,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010702,扎巴汉,100102,10107,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600201:5|2:600202:5,1:4:100|2:100105:5|2:600201:2|2:600202:2,99,"[1001,1002]"
1010703,迈斯科曼,100103,10107,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,40,"[1001,1002]"
1010704,锡尔詹,100104,10107,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600203:5|2:600204:5,1:4:100|2:100105:5|2:600203:2|2:600204:2,99,"[1001,1002]"
1010705,阿莫尔,100105,10107,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010706,阿巴丹,100106,10107,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600205:5|2:600206:5,1:4:100|2:100105:5|2:600205:2|2:600206:2,40,"[1001,1002]"
1010707,马赫拉姆,100107,10107,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1010708,马什哈德,100108,10107,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600207:5|2:600208:5,1:4:100|2:100105:5|2:600207:2|2:600208:2,99,"[1001,1002]"
1010709,迪兹富勒,100109,10107,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,40,"[1001,1002]"
1010710,德黑兰Exxon,100110,10107,"[101,201]","[1,1]",1:4:100|2:100105:10|2:600209:5|2:600210:5,1:4:100|2:100105:5|2:600209:2|2:600210:2,40,"[1001,1002]"
1020101,国家青年队1,100111,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020102,国家青年队2,100112,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020103,国家青年队3,100113,10201,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600301:5,1:4:100|2:100105:5|2:600301:2,40,"[1001,1002]"
1020104,国家青年队4,100114,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020105,国家青年队5,100101,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020106,国家青年队6,100102,10201,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600302:5,1:4:100|2:100105:5|2:600302:2,40,"[1001,1002]"
1020107,国家青年队7,100103,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020108,国家青年队8,100104,10201,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020109,国家青年队9,100105,10201,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600303:5,1:4:100|2:100105:5|2:600303:2,40,"[1001,1002]"
1020110,国家青年队10,100106,10201,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600304:5,1:4:100|2:100105:5|2:600304:2,40,"[1001,1002]"
1020201,国家青年队1,100107,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020202,国家青年队2,100108,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020203,国家青年队3,100109,10202,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600305:5,1:4:100|2:100105:5|2:600305:2,40,"[1001,1002]"
1020204,国家青年队4,100110,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020205,国家青年队5,100111,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020206,国家青年队6,100112,10202,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600306:5,1:4:100|2:100105:5|2:600306:2,40,"[1001,1002]"
1020207,国家青年队7,100113,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020208,国家青年队8,100114,10202,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020209,国家青年队9,100101,10202,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600307:5,1:4:100|2:100105:5|2:600307:2,40,"[1001,1002]"
1020210,国家青年队10,100102,10202,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600308:5,1:4:100|2:100105:5|2:600308:2,40,"[1001,1002]"
1020301,国家青年队1,100103,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020302,国家青年队2,100104,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020303,国家青年队3,100105,10203,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600309:5,1:4:100|2:100105:5|2:600309:2,40,"[1001,1002]"
1020304,国家青年队4,100106,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020305,国家青年队5,100107,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020306,国家青年队6,100108,10203,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600310:5,1:4:100|2:100105:5|2:600310:2,40,"[1001,1002]"
1020307,国家青年队7,100109,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020308,国家青年队8,100110,10203,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020309,国家青年队9,100111,10203,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600301:5,1:4:100|2:100105:5|2:600301:2,40,"[1001,1002]"
1020310,国家青年队10,100112,10203,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600302:5,1:4:100|2:100105:5|2:600302:2,40,"[1001,1002]"
1020401,国家青年队1,100113,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020402,国家青年队2,100114,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020403,国家青年队3,100101,10204,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600303:5,1:4:100|2:100105:5|2:600303:2,40,"[1001,1002]"
1020404,国家青年队4,100102,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020405,国家青年队5,100103,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020406,国家青年队6,100104,10204,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600304:5,1:4:100|2:100105:5|2:600304:2,40,"[1001,1002]"
1020407,国家青年队7,100105,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020408,国家青年队8,100106,10204,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020409,国家青年队9,100107,10204,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600305:5,1:4:100|2:100105:5|2:600305:2,40,"[1001,1002]"
1020410,国家青年队10,100108,10204,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600306:5,1:4:100|2:100105:5|2:600306:2,40,"[1001,1002]"
1020501,埃及奥林匹克,100109,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020502,赫里奥波里斯,100110,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020503,亚历山大港,100111,10205,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600307:5,1:4:100|2:100105:5|2:600307:2,40,"[1001,1002]"
1020504,埃及艾查捷拉,100112,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020505,史莫哈,100113,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020506,埃及竞技,100114,10205,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600308:5,1:4:100|2:100105:5|2:600308:2,40,"[1001,1002]"
1020507,阿尔佐奥尔,100101,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020508,埃及保险,100102,10205,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020509,埃及开罗国民,100103,10205,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600309:5,1:4:100|2:100105:5|2:600309:2,40,"[1001,1002]"
1020510,海亚阿尔卡纳,100104,10205,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600310:5,1:4:100|2:100105:5|2:600310:2,40,"[1001,1002]"
1020601,火鸟,100105,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020602,杜阿拉大学,100106,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020603,BEAC,100107,10206,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600301:5,1:4:100|2:100105:5|2:600301:2,40,"[1001,1002]"
1020604,Le恩坎篮球,100108,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020605,FAP Yaounde,100109,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020606,布埃亚火山勇士,100110,10206,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600302:5,1:4:100|2:100105:5|2:600302:2,40,"[1001,1002]"
1020607,Nzui Manto BGTE,100111,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020608,Condor Yaounde,100112,10206,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020609,Ecole de Basket DLA,100113,10206,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600303:5,1:4:100|2:100105:5|2:600303:2,40,"[1001,1002]"
1020610,布埃亚火山勇士,100114,10206,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600304:5,1:4:100|2:100105:5|2:600304:2,40,"[1001,1002]"
1020701,国家青年队1,100101,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020702,国家青年队2,100102,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020703,国家青年队3,100103,10207,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600305:5,1:4:100|2:100105:5|2:600305:2,40,"[1001,1002]"
1020704,国家青年队4,100104,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020705,国家青年队5,100105,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020706,国家青年队6,100106,10207,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600306:5,1:4:100|2:100105:5|2:600306:2,40,"[1001,1002]"
1020707,国家青年队7,100107,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020708,国家青年队8,100108,10207,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020709,国家青年队9,100109,10207,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600307:5,1:4:100|2:100105:5|2:600307:2,40,"[1001,1002]"
1020710,国家青年队10,100110,10207,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600308:5,1:4:100|2:100105:5|2:600308:2,40,"[1001,1002]"
1020801,国家青年队1,100111,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020802,国家青年队2,100112,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020803,国家青年队3,100113,10208,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600309:5,1:4:100|2:100105:5|2:600309:2,40,"[1001,1002]"
1020804,国家青年队4,100114,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020805,国家青年队5,100101,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020806,国家青年队6,100102,10208,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600310:5,1:4:100|2:100105:5|2:600310:2,40,"[1001,1002]"
1020807,国家青年队7,100103,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020808,国家青年队8,100104,10208,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020809,国家青年队9,100105,10208,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600301:5,1:4:100|2:100105:5|2:600301:2,40,"[1001,1002]"
1020810,国家青年队10,100106,10208,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600302:5,1:4:100|2:100105:5|2:600302:2,40,"[1001,1002]"
1020901,国家青年队1,100107,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020902,国家青年队2,100108,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020903,国家青年队3,100109,10209,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600303:5,1:4:100|2:100105:5|2:600303:2,40,"[1001,1002]"
1020904,国家青年队4,100110,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020905,国家青年队5,100111,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020906,国家青年队6,100112,10209,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600304:5,1:4:100|2:100105:5|2:600304:2,40,"[1001,1002]"
1020907,国家青年队7,100113,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020908,国家青年队8,100114,10209,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1020909,国家青年队9,100101,10209,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600305:5,1:4:100|2:100105:5|2:600305:2,40,"[1001,1002]"
1020910,国家青年队10,100102,10209,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600306:5,1:4:100|2:100105:5|2:600306:2,40,"[1001,1002]"
1021001,国家青年队1,100103,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021002,国家青年队2,100104,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021003,国家青年队3,100105,10210,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600307:5,1:4:100|2:100105:5|2:600307:2,40,"[1001,1002]"
1021004,国家青年队4,100106,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021005,国家青年队5,100107,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021006,国家青年队6,100108,10210,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600308:5,1:4:100|2:100105:5|2:600308:2,40,"[1001,1002]"
1021007,国家青年队7,100109,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021008,国家青年队8,100110,10210,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1021009,国家青年队9,100111,10210,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600309:5,1:4:100|2:100105:5|2:600309:2,40,"[1001,1002]"
1021010,国家青年队10,100112,10210,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600310:5,1:4:100|2:100105:5|2:600310:2,40,"[1001,1002]"
1030101,宾厄姆顿大学熊猫队,100113,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030102,布莱恩特大学斗牛犬队,100114,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030103,缅因大学黑熊队,100101,10301,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600301:5,1:4:100|2:100105:5|2:600301:2,40,"[1001,1002]"
1030104,马里兰大学寻回犬队,100102,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030105,马萨诸塞大学河鹰队,100103,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030106,新罕布什尔大学野猫队,100104,10301,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600302:5,1:4:100|2:100105:5|2:600302:2,40,"[1001,1002]"
1030107,新泽西理工学院高地人队,100105,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030108,佛蒙特大学目录队,100106,10301,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030109,中佛罗里达大学骑士队,100107,10301,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600303:5,1:4:100|2:100105:5|2:600303:2,40,"[1001,1002]"
1030110,N步行者,100108,10301,"[101,201]","[1,1]",1:4:100|2:200255:2|2:100105:10|2:600304:5,1:4:100|2:100105:5|2:600304:2,40,"[1001,1002]"
1030201,东卡罗来纳大学海盗队,100109,10302,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
1030202,休斯顿大学美洲狮队,100110,10302,"[101,201]","[1,1]",1:4:100|2:200255:1|2:100105:10,1:4:100|2:100105:5,99,"[1001,1002]"
