Id,CostNum,CostUnit,BuffType,BuffValue,BuffValueShow
10182,10.0,24,6,3.0,3
10183,100.0,24,7,3.0,3
10184,450.0,24,303,0.9999979734420776,99.9998%
10185,1.0,25,0,13.0,13
10186,9.0,25,0,2.0,2
10187,10.0,25,8,3.0,3
10188,45.0,25,100,0.10000000149011612,10%
10189,100.0,25,9,3.0,3
10190,1.0,26,0,15.0,15
10191,4.5,26,0,2.0,2
10192,100.0,26,2,3.0,3
10193,9.0,27,0,2.0,2
10194,45.0,27,0,3.0,3
10195,1.0,28,0,3.0,3
10196,9.0,28,0,2.0,2
10197,712.0,28,3,2.0,2
10198,3.0,29,0,3.0,3
10199,1.0,30,1,3.0,3
10200,3.0,30,303,0.9999899864196777,99.999%
10201,4.5,30,0,5.0,5
10202,5.0,30,3,3.0,3
10203,9.0,30,0,2.0,2
10204,25.0,30,4,3.0,3
10205,50.0,30,5,3.0,3
10206,100.0,30,6,3.0,3
10207,250.0,30,7,3.0,3
10208,500.0,30,8,3.0,3
10209,9.0,31,0,4.0,4
10210,10.0,31,2,3.0,3
10211,45.0,31,0,5.0,5
10212,118.0,31,5,2.0,2
10213,180.0,31,301,0.9990800023078918,99.908%
10214,500.0,31,0,2.0,2
10215,2.0,32,1,2.0,2
10216,11.0,32,3,2.0,2
10217,66.0,32,4,2.0,2
10218,230.0,32,5,2.0,2
10219,400.0,32,6,2.0,2
10220,700.0,32,7,2.0,2
10221,4.0,33,8,2.0,2
10222,9.0,33,0,2.0,2
10223,10.0,33,0,3.0,3
10224,20.0,33,0,6.0,6
10225,29.0,33,9,2.0,2
10226,300.0,33,2,2.0,2
10227,500.0,33,0,2.0,2
10228,1.0,34,0,5.0,5
10229,5.0,34,3,3.0,3
10230,10.0,34,301,0.9999899864196777,99.999%
10231,150.0,34,3,3.0,3
10232,400.0,34,3,3.0,3
10233,444.0,34,3,2.0,2
10234,900.0,34,4,3.0,3
10235,1.7999999523162842,35,4,6.0,6
10236,6.0,35,4,3.0,3
10237,9.0,35,0,2.0,2
10238,15.0,35,4,3.0,3
10239,22.0,35,5,3.0,3
10240,60.0,35,5,2.0,2
10241,75.0,35,307,0.9999899864196777,99.999%
10242,180.0,35,6,3.0,3
10243,185.0,35,5,3.0,3
10244,500.0,35,5,3.0,3
10245,600.0,35,0,1.5,1.5
10246,750.0,35,6,2.0,2
10247,5.0,36,6,3.0,3
10248,9.0,36,0,3.0,3
10249,28.0,36,7,3.0,3
10250,45.0,36,6,3.0,3
10251,125.0,36,7,3.0,3
10252,250.0,36,308,0.9999899864196777,99.999%
10253,300.0,36,7,3.0,3
10254,900.0,36,7,3.0,3
10255,1.0,37,0,3.0,3
10256,5.0,37,8,2.0,2
10257,10.0,37,8,3.0,3
10258,70.0,37,8,3.0,3
10259,100.0,37,304,0.9999899864196777,99.999%
10260,250.0,37,8,3.0,3
10261,900.0,37,9,3.0,3
10262,3.0,38,9,3.0,3
10263,9.0,38,0,2.0,2
10264,50.0,38,309,0.9999899864196777,99.999%
10265,280.0,38,10,3.0,3
10266,450.0,38,0,15.0,15
10267,551.0,38,6,2.0,2
10268,750.0,38,2,3.0,3
10269,2.0,39,1,3.0,3
10270,3.0,39,305,0.9999899864196777,99.999%
10271,4.0,39,1,3.0,3
10272,9.0,39,0,2.0,2
10273,10.0,39,100,0.10000000149011612,10%
10274,20.0,39,1,3.0,3
10275,45.0,39,1,3.0,3
10276,150.0,39,1,3.0,3
10277,350.0,39,0,5.0,5
10278,500.0,39,0,3.0,3
10279,700.0,39,1,3.0,3
10280,700.0,39,3,3.0,3
10281,750.0,39,306,0.9999899864196777,99.999%
10282,950.0,39,3,3.0,3
10283,3.5999999046325684,40,4,3.0,3
10284,4.0,40,4,3.0,3
10285,9.0,40,5,3.0,3
10286,24.0,40,6,3.0,3
10287,28.0,40,5,3.0,3
10288,41.0,40,8,2.0,2
10289,111.0,40,7,3.0,3
10290,222.0,40,8,3.0,3
10291,250.0,40,6,3.0,3
10292,333.0,40,9,3.0,3
10293,444.0,40,10,3.0,3
10294,555.0,40,2,3.0,3
10295,666.0,40,0,6.659999847412109,6.66
10296,1.0,41,0,3.0,3
10297,1.399999976158142,41,7,3.0,3
10298,3.0,41,1,3.0,3
10299,6.0,41,3,3.0,3
10300,9.0,41,0,2.0,2
10301,12.0,41,4,3.0,3
10302,24.0,41,5,3.0,3
10303,33.0,41,310,0.9999899864196777,99.999%
10304,45.0,41,2,3.0,3
10305,48.0,41,6,3.0,3
10306,96.0,41,7,3.0,3
10307,192.0,41,8,3.0,3
10308,384.0,41,9,3.0,3
10309,768.0,41,10,3.0,3
10310,1.0,42,2,3.0,3
10311,9.0,42,302,0.9999899864196777,99.999%
10312,10.0,42,0,5.0,5
10313,2.0,43,3,3.0,3
10314,5.0,43,8,3.0,3
10315,9.0,43,0,2.0,2
10316,13.0,43,4,3.0,3
10317,71.0,43,2,3.0,3
10318,177.0,43,7,3.0,3
10319,250.0,43,1,3.0,3
10320,555.0,43,5,3.0,3
10321,736.0,43,6,1.5,1.5
10322,900.0,43,0,2.0,2
10323,5.0,44,1,2.0,2
10324,9.0,44,0,2.0,2
10325,26.0,44,9,2.0,2
10326,40.0,44,301,0.9848999977111816,98.49%
10327,40.0,44,303,0.980400025844574,98.04%
10328,40.0,44,304,0.974399983882904,97.44%
10329,40.0,44,305,0.9666000008583069,96.66%
10330,40.0,44,306,0.9563000202178955,95.63%
10331,95.0,44,3,2.0,2
10332,213.0,44,4,2.0,2
10333,400.0,44,5,2.0,2
10334,444.0,44,0,5.0,5
10335,985.0,44,6,2.0,2
10336,8.0,45,7,2.0,2
10337,180.0,45,1,3.0,3
10338,180.0,45,2,3.0,3
10339,180.0,45,3,3.0,3
10340,180.0,45,4,3.0,3
10341,180.0,45,5,3.0,3
10342,180.0,45,6,3.0,3
10343,180.0,45,8,3.0,3
10344,180.0,45,9,3.0,3
10345,500.0,45,10,2.0,2
10346,900.0,45,2,2.0,2
10347,5.0,46,0,3.0,3
10348,9.0,46,0,2.0,2
10349,136.0,46,1,3.0,3
10350,400.0,46,0,3.5,3.5
10351,700.0,46,3,3.0,3
10352,925.0,46,4,3.0,3
10353,3.0,47,0,3.0,3
10354,9.0,47,0,4.0,4
10355,21.0,47,5,3.0,3
10356,45.0,47,1,3.0,3
10357,55.0,47,6,3.0,3
10358,100.0,47,0,2.0,2
10359,111.0,47,7,3.0,3
10360,223.0,47,8,1.5,1.5
10361,393.0,47,9,3.0,3
10362,700.0,47,3,3.0,3
10363,799.0,47,2,3.0,3
10364,2.0,48,0,3.0,3
10365,2.200000047683716,48,1,2.0,2
10366,3.0,48,1,3.0,3
10367,6.0,48,3,3.0,3
10368,7.5,48,4,3.0,3
10369,9.0,48,4,3.0,3
10370,18.0,48,5,3.0,3
10371,21.0,48,5,3.0,3
10372,38.0,48,6,3.0,3
10373,44.0,48,6,3.0,3
10374,64.0,48,7,3.0,3
10375,89.0,48,7,3.0,3
10376,129.0,48,8,3.0,3
10377,200.0,48,9,3.0,3
10378,210.0,48,10,3.0,3
10379,300.0,48,2,3.0,3
10380,450.0,48,0,3.0,3
10381,700.0,48,301,0.9990800023078918,99.908%
10382,5.0,49,6,5.0,5
10383,9.0,49,0,2.0,2
10384,27.0,49,0,3.8499999046325684,3.85
10385,30.0,49,1,5.0,5
10386,180.0,49,3,5.0,5
10387,1.0,50,301,0.7528200149536133,75.282%
10388,1.0,50,302,0.4916499853134155,49.165%
10389,1.0,50,303,0.7302600145339966,73.026%
10390,1.0,50,304,0.7054100036621094,70.541%
10391,1.0,50,305,0.6780300140380859,67.803%
10392,1.2000000476837158,50,306,0.647819995880127,64.782%
10393,1.2000000476837158,50,307,0.6144599914550781,61.446%
10394,1.2000000476837158,50,308,0.5775899887084961,57.759%
10395,1.2000000476837158,50,309,0.5368099808692932,53.681%
10396,1.2000000476837158,50,310,0.4916499853134155,49.165%
10397,5.0,50,4,5.0,5
10398,9.0,50,0,2.0,2
10399,20.0,50,10,5.0,5
10400,78.0,50,0,2.0,2
10401,80.0,50,5,5.0,5
10402,240.0,50,2,5.0,5
10403,720.0,50,7,5.0,5
10404,21.0,51,8,5.0,5
10405,45.0,51,1,3.0,3
10406,500.0,51,0,4.400000095367432,4.4
10407,777.0,51,6,2.0,2
10408,888.0,51,1,2.0,2
10409,999.0,51,3,2.0,2
10410,1.1100000143051147,52,3,3.0,3
10411,2.0,52,9,2.0,2
10412,4.0,52,4,2.0,2
10413,9.0,52,0,2.0,2
10414,16.0,52,5,2.0,2
10415,21.5,52,4,3.0,3
10416,32.0,52,2,2.0,2
10417,64.0,52,7,2.0,2
10418,86.0,52,5,3.0,3
10419,128.0,52,8,2.0,2
10420,514.0,52,0,3.0,3
10421,1.0,53,6,3.0,3
10422,2.200000047683716,53,7,3.0,3
10423,5.5,53,6,3.0,3
10424,10.0,53,1,3.0,3
10425,20.0,53,2,3.0,3
10426,25.0,53,3,3.0,3
10427,50.0,53,9,3.0,3
10428,75.0,53,4,3.0,3
10429,100.0,53,10,3.0,3
10430,150.0,53,5,3.0,3
10431,200.0,53,2,3.0,3
10432,400.0,53,8,3.0,3
10433,900.0,53,0,2.3499999046325684,2.35
10434,1.0,54,8,24.0,24
10435,9.0,54,0,2.0,2
10436,28.0,54,301,0.9696199893951416,96.962%
10437,28.0,54,302,0.815750002861023,81.575%
10438,28.0,54,303,0.9622099995613098,96.221%
10439,28.0,54,304,0.9528999924659729,95.29%
10440,28.0,54,305,0.9411799907684326,94.118%
10441,28.0,54,306,0.9263899922370911,92.639%
10442,28.0,54,307,0.9077000021934509,90.77%
10443,28.0,54,308,0.8840299844741821,88.403%
10444,28.0,54,309,0.8539800047874451,85.398%
10445,28.0,54,310,0.815750002861023,81.575%
10446,250.0,54,0,2.0,2
10447,500.0,54,1,22.0,22
10448,750.0,54,0,2.0,2
10449,1.0,55,3,20.0,20
10450,9.0,55,0,2.0,2
10451,29.0,55,10,2.0,2
10452,250.0,55,0,2.0,2
10453,500.0,55,9,18.0,18
10454,700.0,55,4,3.0,3
10455,750.0,55,0,2.0,2
10456,1.0,56,6,16.0,16
10457,5.400000095367432,56,1,3.0,3
10458,32.400001525878906,56,3,3.0,3
10459,250.0,56,0,2.0,2
10460,330.0,56,5,3.0,3
10461,500.0,56,7,14.0,14
10462,750.0,56,0,4.0,4
10463,1.0,57,10,12.0,12
10464,1.600000023841858,57,6,3.0,3
10465,4.5,57,7,3.0,3
10466,9.0,57,0,6.0,6
10467,11.0,57,8,3.0,3
10468,16.0,57,9,3.0,3
10469,23.0,57,10,3.0,3
10470,250.0,57,0,2.0,2
10471,500.0,57,2,10.0,10
10472,750.0,57,0,2.0,2
10473,1.0,58,4,8.0,8
10474,9.0,58,0,2.0,2
10475,250.0,58,0,4.0,4
10476,500.0,58,5,4.0,4
10477,1.0,59,0,9.0,9
10478,400.0,59,0,13.0,13
10479,9.0,60,0,2.0,2
10480,47.0,60,6,2.0,2
10481,5.0,61,0,10.0,10
10482,6.400000095367432,62,0,5.0,5
10483,9.0,62,0,2.0,2
10484,5.0,63,0,5.0,5
10485,9.0,63,0,4.0,4
10486,400.0,63,0,6.0,6
10487,27.0,64,0,3.0,3
10488,9.0,65,0,2.0,2
10489,13.0,65,0,4.0,4
10490,2.0,66,0,10.0,10
10491,7.5,66,0,5.0,5
10492,9.0,66,0,2.0,2
10493,1.0,67,2,3.0,3
10494,14.0,67,1,3.0,3
10495,37.0,67,0,2.0,2
10496,96.0,67,3,3.0,3
10497,198.0,67,4,3.0,3
10498,322.0,67,5,3.0,3
10499,679.0,67,6,3.0,3
10500,888.0,67,7,3.0,3
10501,9.0,68,0,2.0,2
10502,19.0,68,8,3.0,3
10503,25.600000381469727,68,0,10.0,10
10504,81.0,68,9,3.0,3
10505,233.0,68,2,3.0,3
10506,421.0,68,1,3.0,3
10507,607.0,68,3,3.0,3
10508,777.0,68,4,3.0,3
10509,910.0,68,5,3.0,3
10510,1.0,69,100,0.020999999716877937,2.1%
10511,2.0,69,6,3.0,3
10512,9.0,69,7,3.0,3
10513,200.0,69,9,3.0,3
10514,328.0,69,10,3.0,3
10515,600.0,69,0,20.0,20
10516,9.0,70,0,2.0,2
10517,1.0,71,100,0.014999999664723873,1.5%
10518,9.0,71,0,4.0,4
10519,10.0,71,1,11.0,11
10520,10.0,71,2,11.0,11
10521,10.0,71,3,11.0,11
10522,10.0,71,4,11.0,11
10523,10.0,71,5,11.0,11
10524,10.0,71,6,11.0,11
10525,10.0,71,7,11.0,11
10526,10.0,71,8,11.0,11
10527,10.0,71,9,11.0,11
10528,10.0,71,10,11.0,11
10529,45.0,71,301,0.9696199893951416,96.962%
10530,45.0,71,302,0.815750002861023,81.575%
10531,45.0,71,303,0.9622099995613098,96.221%
10532,45.0,71,304,0.9528999924659729,95.29%
10533,45.0,71,305,0.9411799907684326,94.118%
10534,45.0,71,306,0.9263899922370911,92.639%
10535,45.0,71,307,0.9077000021934509,90.77%
10536,45.0,71,308,0.8840299844741821,88.403%
10537,45.0,71,309,0.8539800047874451,85.398%
10538,45.0,71,310,0.815750002861023,81.575%
10539,166.0,71,1,3.0,3
10540,193.0,71,3,3.0,3
10541,410.0,71,4,1.5,1.5
10542,900.0,71,6,3.0,3
10543,1.0,72,100,0.009999999776482582,1%
10544,67.0,72,8,3.0,3
10545,214.0,72,9,2.0,2
10546,321.0,72,10,3.0,3
10547,555.0,72,0,5.0,5
10548,800.0,72,1,3.0,3
10549,800.0,72,3,3.0,3
10550,900.0,72,4,3.0,3
10551,1.0,73,100,0.019999999552965164,2%
10552,3.0,73,5,3.0,3
10553,4.0,73,6,3.0,3
10554,5.0,73,7,3.0,3
10555,6.0,73,8,3.0,3
10556,9.0,73,0,2.0,2
10557,300.0,73,9,3.0,3
10558,600.0,73,2,3.0,3
10559,789.0,73,1,3.0,3
10560,845.0,73,3,3.0,3
10561,1.0,74,100,0.004999999888241291,0.5%
10562,2.0,74,4,3.0,3
10563,5.0,74,5,3.0,3
10564,9.0,74,0,2.0,2
10565,14.0,74,6,3.0,3
10566,54.0,74,7,3.0,3
10567,108.0,74,8,3.0,3
10568,219.0,74,9,3.0,3
10569,468.0,74,10,3.0,3
10570,1.0,75,100,0.019999999552965164,2%
10571,10.0,75,1,7.0,7
10572,10.0,75,2,7.0,7
10573,10.0,75,3,7.0,7
10574,52.0,75,4,2.0,2
10575,100.0,75,4,7.0,7
10576,100.0,75,5,7.0,7
10577,100.0,75,6,7.0,7
10578,1.0,76,0,3.0,3
10579,1.0,76,6,7.0,7
10580,1.0,76,7,7.0,7
10581,1.0,76,8,7.0,7
10582,1.0,76,100,0.012000000104308128,1.2%
10583,9.0,76,0,2.0,2
10584,100.0,76,0,5.0,5
10585,1.0,77,100,0.013000000268220901,1.3%
10586,3.0,77,2,3.0,3
10587,5.0,77,6,3.0,3
10588,8.0,77,1,3.0,3
10589,9.0,77,0,2.0,2
10590,10.0,77,100,0.007000000216066837,0.7%
10591,30.0,77,3,3.0,3
10592,50.0,77,0,3.0,3
10593,188.0,77,2,3.0,3
10594,239.0,77,5,3.0,3
10595,411.0,77,6,5.0,5
10596,700.0,77,7,5.0,5
10597,912.0,77,8,5.0,5
10598,2.0,78,0,3.0,3
10599,4.0,78,1,3.0,3
10600,8.0,78,2,3.0,3
10601,19.0,78,10,5.0,5
10602,69.0,78,9,5.0,5
10603,166.0,78,0,3.0,3
10604,300.0,78,5,3.0,3
10605,700.0,78,6,3.0,3
10606,900.0,78,7,3.0,3
10607,1.0,79,100,0.019999999552965164,2%
10608,7.0,79,1,4.0,4
10609,9.0,79,0,2.0,2
10610,12.0,79,8,3.0,3
10611,25.0,79,9,3.0,3
10612,45.0,79,1,3.0,3
10613,300.0,79,0,3.0,3
10614,1.0,80,0,3.0,3
10615,5.0,80,1,2.0,2
10616,9.0,80,3,2.0,2
10617,10.0,80,2,3.0,3
10618,18.0,80,3,3.0,3
10619,21.0,80,4,2.0,2
10620,89.0,80,6,2.0,2
10621,100.0,80,0,3.0,3
10622,153.0,80,7,2.0,2
10623,245.0,80,0,2.0,2
10624,299.0,80,8,2.0,2
10625,450.0,80,5,3.0,3
10626,577.0,80,9,2.0,2
10627,813.0,80,10,2.0,2
10628,1.0,81,100,0.009999999776482582,1%
10629,2.0,81,2,2.0,2
10630,4.0,81,7,3.0,3
10631,7.0,81,8,3.0,3
10632,9.0,81,0,2.0,2
10633,10.0,81,0,3.0,3
10634,44.0,81,3,2.0,2
10635,66.0,81,4,2.0,2
10636,88.0,81,5,2.0,2
10637,111.0,81,6,2.0,2
10638,177.77999877929688,81,2,3.0,3
10639,222.0,81,7,2.0,2
10640,444.0,81,9,2.0,2
10641,555.0,81,10,2.0,2
10642,1.0,82,100,0.014999999664723873,1.5%
10643,9.0,82,0,2.0,2
10644,10.0,82,0,4.0,4
10645,1.0,83,100,0.008999999612569809,0.9%
10646,3.0,83,0,3.5,3.5
10647,100.0,83,0,5.0,5
10648,231.0,83,0,2.0,2
10649,1.0,84,100,0.006000000052154064,0.6%
10650,6.0,84,0,3.0,3
10651,9.0,84,0,2.0,2
10652,10.0,84,1,3.0,3
10653,10.0,84,2,3.0,3
10654,10.0,84,3,3.0,3
10655,10.0,84,4,3.0,3
10656,10.0,84,5,3.0,3
10657,10.0,84,6,3.0,3
10658,10.0,84,7,3.0,3
10659,10.0,84,8,3.0,3
10660,10.0,84,9,3.0,3
10661,10.0,84,10,3.0,3
10662,50.0,84,6,9.0,9
10663,75.0,84,1,9.0,9
10664,125.0,84,9,9.0,9
10665,625.0,84,10,9.0,9
10666,1.0,85,100,0.009999999776482582,1%
10667,3.0,85,5,9.0,9
10668,9.0,85,0,2.0,2
10669,10.0,85,0,3.0,3
10670,15.0,85,6,9.0,9
10671,75.0,85,7,9.0,9
10672,375.0,85,0,5.0,5
10673,800.0,85,10,9.0,9
10674,1.0,86,9,9.0,9
10675,1.0,86,100,0.010999999940395355,1.1%
10676,2.5,86,5,3.0,3
10677,6.400000095367432,86,2,3.0,3
10678,10.0,86,3,3.0,3
10679,12.199999809265137,86,1,3.0,3
10680,233.0,86,0,2.0,2
10681,399.0,86,4,3.0,3
10682,766.0,86,1,5.0,5
10683,1.0,87,6,3.0,3
10684,1.0,87,100,0.008999999612569809,0.9%
10685,9.0,87,0,2.0,2
10686,10.0,87,0,5.0,5
10687,19.0,87,7,3.0,3
10688,98.0,87,8,3.0,3
10689,260.0,87,9,3.0,3
10690,544.0,87,10,3.0,3
10691,700.0,87,2,3.0,3
10692,1.0,88,1,3.0,3
10693,1.0,88,100,0.019999999552965164,2%
10694,10.0,88,9,3.0,3
10695,45.0,88,3,3.0,3
10696,69.0,88,4,3.0,3
10697,89.0,88,0,5.0,5
10698,189.0,88,5,3.0,3
10699,448.0,88,8,3.0,3
10700,900.0,88,6,3.0,3
10701,1.0,89,100,0.029999999329447746,3%
10702,5.0,89,10,3.0,3
10703,9.0,89,0,2.0,2
10704,10.0,89,1,7.0,7
10705,40.0,89,301,0.9696199893951416,96.962%
10706,40.0,89,302,0.815750002861023,81.575%
10707,45.0,89,303,0.9622099995613098,96.221%
10708,45.0,89,304,0.9528999924659729,95.29%
10709,45.0,89,305,0.9411799907684326,94.118%
10710,45.0,89,306,0.9263899922370911,92.639%
10711,45.0,89,307,0.9077000021934509,90.77%
10712,50.0,89,0,3.0,3
10713,50.0,89,308,0.8840299844741821,88.403%
10714,50.0,89,309,0.8539800047874451,85.398%
10715,50.0,89,310,0.815750002861023,81.575%
10716,1.0,90,100,0.03999999910593033,4%
10717,9.0,90,0,2.0,2
10718,10.0,90,0,5.0,5
10719,65.0,90,1,2.0,2
10720,1.0,91,0,5.0,5
10721,2.0,91,1,7.0,7
10722,3.0,91,3,7.0,7
10723,6.0,91,4,7.0,7
10724,25.0,91,100,0.009999999776482582,1%
10725,200.0,91,0,3.0,3
10726,600.0,91,0,5.0,5
10727,999.0,91,8,7.0,7
10728,1.0,92,100,0.05000000074505806,5%
10729,9.0,92,0,2.0,2
10730,10.0,92,7,4.0,4
10731,15.0,92,9,7.0,7
10732,30.0,92,10,7.0,7
10733,1.0,93,100,0.020999999716877937,2.1%
10734,9.0,93,0,2.0,2
10735,10.0,93,0,5.0,5
10736,1.0,94,100,0.03999999910593033,4%
10737,2.0,94,0,7.769999980926514,7.77
10738,1.0,95,2,13.0,13
10739,1.0,95,3,13.0,13
10740,1.0,95,4,13.0,13
10741,1.0,95,5,13.0,13
10742,1.0,95,6,13.0,13
10743,1.0,95,7,13.0,13
10744,1.0,95,8,13.0,13
10745,1.0,95,9,5.0,5
10746,1.0,95,10,5.0,5
10747,1.0,95,100,0.05000000074505806,5%
10748,9.0,95,0,2.0,2
10749,10.0,95,0,7.769999980926514,7.77
10750,40.0,95,1,3.0,3
10751,40.0,95,2,3.0,3
10752,45.0,95,3,3.0,3
10753,45.0,95,4,3.0,3
10754,45.0,95,7,3.0,3
