Id,Name,Quality,Type,Icon,Desc,UnlockConditions,UnlockMoney,BuffType,BuffValue,EffectaddValue,TrainTime
34,冲抢篮板,4,2,34,高阶特技，篮板成功率大幅提升。,{"9":18700},50000,7,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
35,坦克突破,5,1,35,绝技，突入禁区犹如坦克。,{"8":19200},300000,3,"[150,180,210,240,270,300,330,360,390,420,450]","[15,18,21,24,27,30,33,36,39,42,45]",259200
36,投篮预判,4,2,36,高阶特技，盖帽成功率大幅提升。,"{""3"":14300,""1"":12000}",50000,8,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
37,遮天蔽日,4,2,37,高阶特技，盖帽成功率大幅提升。,{"1":14000},50000,8,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
38,手术刀,5,1,38,绝技，再小的缝隙也能精准的传达。,"{""2"":28500,""6"":20000}",300000,2,"[150,180,210,240,270,300,330,360,390,420,450]","[15,18,21,24,27,30,33,36,39,42,45]",259200
39,闪电出击,4,2,39,高阶特技，抢断成功率大幅提升。,{"7":24000},50000,5,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
40,铁人,4,3,40,高阶特技，比赛体能消耗大幅降低。,{"10":30600},50000,10,"[100,120,140,160,180,200,220,240,260,280]","[10,12,14,16,18,20,22,24,26,28]",172800
41,干拔跳投,5,1,41,绝技，无视防守的跳投技巧。,"{""6"":25200,""1"":15000}",300000,1,"[150,180,210,240,270,300,330,360,390,420,450]","[15,18,21,24,27,30,33,36,39,42,45]",259200
42,迷踪步,5,1,42,绝技，你根本无法跟上他的节奏。,{"8":30400},300000,3,"[150,180,210,240,270,300,330,360,390,420,450]","[15,18,21,24,27,30,33,36,39,42,45]",259200
43,后仰跳投,5,1,43,绝技，难以封盖的投篮技巧。,"{""4"":24000,""8"":31500}",300000,1,"[150,180,210,240,270,300,330,360,390,420,450]","[15,18,21,24,27,30,33,36,39,42,45]",259200
