Id,TriggerId,CompareType,Condition,Action,ActionParam
226,20030,=,104010,unlockActivityGift,5002010
227,20030,=,104011,unlockActivityGift,5002011
228,20030,=,104012,unlockActivityGift,5002012
229,20030,=,104013,unlockActivityGift,5002013
230,20030,=,104014,unlockActivityGift,5002014
231,20030,=,104015,unlockActivityGift,5002015
232,20030,=,104016,unlockActivityGift,5002016
233,20030,=,104017,unlockActivityGift,5002017
234,20030,=,104018,unlockActivityGift,5002018
235,20030,=,104019,unlockActivityGift,5002019
236,20030,=,104020,unlockActivityGift,5002020
237,20030,=,104021,unlockActivityGift,5002021
238,20030,=,104022,unlockActivityGift,5002022
239,20030,=,104023,unlockActivityGift,5002023
240,20030,=,104024,unlockActivityGift,5002024
241,20030,=,104025,unlockActivityGift,5002025
242,20030,=,104026,unlockActivityGift,5002026
243,20030,=,104027,unlockActivityGift,5002027
244,20030,=,104028,unlockActivityGift,5002028
245,20030,=,104029,unlockActivityGift,5002029
246,20030,=,104030,unlockActivityGift,5002030
247,20030,=,104031,unlockActivityGift,5002026
248,20030,=,104032,unlockActivityGift,5002027
249,20030,=,104033,unlockActivityGift,5002028
250,20030,=,104034,unlockActivityGift,5002029
251,20030,=,104035,unlockActivityGift,5002030
20001,20030,=,104038,unlockActivityGift,5002031
252,30001,>=,5,unlockActivityGift,5003001
253,30001,>=,10,unlockActivityGift,5003002
254,30001,>=,15,unlockActivityGift,5003003
255,30001,>=,20,unlockActivityGift,5003004
256,30001,>=,22,unlockActivityGift,5003005
257,30001,>=,24,unlockActivityGift,5003006
258,30001,>=,26,unlockActivityGift,5003007
259,30001,>=,30,unlockActivityGift,5003008
260,30001,>=,32,unlockActivityGift,5003009
261,30001,>=,34,unlockActivityGift,5003010
262,30001,>=,36,unlockActivityGift,5003011
263,30001,>=,38,unlockActivityGift,5003012
264,30001,>=,40,unlockActivityGift,5003013
265,30001,>=,42,unlockActivityGift,5003014
266,30001,>=,44,unlockActivityGift,5003015
267,30001,>=,46,unlockActivityGift,5003016
268,30001,>=,47,unlockActivityGift,5003017
269,30001,>=,48,unlockActivityGift,5003018
270,30001,>=,49,unlockActivityGift,5003019
271,30001,>=,50,unlockActivityGift,5003020
272,30001,>=,51,unlockActivityGift,5003021
273,30001,>=,52,unlockActivityGift,5003022
274,30001,>=,53,unlockActivityGift,5003023
275,30001,>=,54,unlockActivityGift,5003024
276,30001,>=,55,unlockActivityGift,5003025
277,30001,>=,56,unlockActivityGift,5003026
278,30001,>=,57,unlockActivityGift,5003027
279,30001,>=,58,unlockActivityGift,5003028
280,30001,>=,59,unlockActivityGift,5003029
281,30001,>=,60,unlockActivityGift,5003030
282,30001,>=,61,unlockActivityGift,5003031
283,30001,>=,62,unlockActivityGift,5003032
284,30001,>=,63,unlockActivityGift,5003033
285,30001,>=,64,unlockActivityGift,5003034
286,30001,>=,65,unlockActivityGift,5003035
287,30001,>=,66,unlockActivityGift,5003036
288,30001,>=,67,unlockActivityGift,5003037
289,30001,>=,68,unlockActivityGift,5003038
290,30001,>=,69,unlockActivityGift,5003039
291,30001,>=,70,unlockActivityGift,5003040
292,30001,>=,71,unlockActivityGift,5003041
293,30001,>=,72,unlockActivityGift,5003042
294,30001,>=,73,unlockActivityGift,5003043
295,30001,>=,74,unlockActivityGift,5003044
296,30001,>=,75,unlockActivityGift,5003045
297,30001,>=,76,unlockActivityGift,5003046
298,30001,>=,77,unlockActivityGift,5003047
299,30001,>=,78,unlockActivityGift,5003048
300,30001,>=,79,unlockActivityGift,5003049
301,30001,>=,80,unlockActivityGift,5003050
302,30001,>=,81,unlockActivityGift,5003051
303,30001,>=,82,unlockActivityGift,5003052
304,30001,>=,83,unlockActivityGift,5003053
305,30001,>=,84,unlockActivityGift,5003054
306,30001,>=,85,unlockActivityGift,5003055
307,30001,>=,86,unlockActivityGift,5003056
308,30001,>=,87,unlockActivityGift,5003057
309,30001,>=,88,unlockActivityGift,5003058
310,30001,>=,89,unlockActivityGift,5003059
311,30001,>=,90,unlockActivityGift,5003060
312,30001,>=,91,unlockActivityGift,5003061
313,30001,>=,92,unlockActivityGift,5003062
314,30001,>=,93,unlockActivityGift,5003063
315,30001,>=,94,unlockActivityGift,5003064
316,30001,>=,95,unlockActivityGift,5003065
317,30001,>=,96,unlockActivityGift,5003066
318,30001,>=,97,unlockActivityGift,5003067
319,30001,>=,98,unlockActivityGift,5003068
320,30001,>=,99,unlockActivityGift,5003069
321,30001,>=,100,unlockActivityGift,5003070
322,30001,>=,101,unlockActivityGift,5003071
323,30001,>=,102,unlockActivityGift,5003072
324,30001,>=,103,unlockActivityGift,5003073
325,30001,>=,104,unlockActivityGift,5003074
326,30001,>=,105,unlockActivityGift,5003075
327,30001,>=,106,unlockActivityGift,5003076
328,30001,>=,107,unlockActivityGift,5003077
329,30001,>=,108,unlockActivityGift,5003078
330,30001,>=,109,unlockActivityGift,5003079
331,30001,>=,110,unlockActivityGift,5003080
332,30001,>=,111,unlockActivityGift,5003081
333,30001,>=,112,unlockActivityGift,5003082
334,30001,>=,113,unlockActivityGift,5003083
335,30001,>=,114,unlockActivityGift,5003084
336,30001,>=,115,unlockActivityGift,5003085
337,30001,>=,116,unlockActivityGift,5003086
338,30001,>=,117,unlockActivityGift,5003087
339,30001,>=,118,unlockActivityGift,5003088
340,30001,>=,119,unlockActivityGift,5003089
341,30001,>=,120,unlockActivityGift,5003090
342,20031,=,5002001,unlockActivityGift,5002001
343,20031,=,5002002,unlockActivityGift,5002002
344,20031,=,5002003,unlockActivityGift,5002003
345,20031,=,5002004,unlockActivityGift,5002004
346,20031,=,5002005,unlockActivityGift,5002005
347,20031,=,5002006,unlockActivityGift,5002006
348,20031,=,5002007,unlockActivityGift,5002007
349,20031,=,5002008,unlockActivityGift,5002008
350,20031,=,5002009,unlockActivityGift,5002009
351,20031,=,5002010,unlockActivityGift,5002010
352,20031,=,5002011,unlockActivityGift,5002011
353,20031,=,5002012,unlockActivityGift,5002012
354,20031,=,5002013,unlockActivityGift,5002013
355,20031,=,5002014,unlockActivityGift,5002014
356,20031,=,5002015,unlockActivityGift,5002015
357,20031,=,5002016,unlockActivityGift,5002016
358,20031,=,5002017,unlockActivityGift,5002017
359,20031,=,5002018,unlockActivityGift,5002018
360,20031,=,5002019,unlockActivityGift,5002019
361,20031,=,5002020,unlockActivityGift,5002020
362,20031,=,5002021,unlockActivityGift,5002021
363,20031,=,5002022,unlockActivityGift,5002022
364,20031,=,5002023,unlockActivityGift,5002023
365,20031,=,5002024,unlockActivityGift,5002024
366,20031,=,5002025,unlockActivityGift,5002025
367,20031,=,5002026,unlockActivityGift,5002026
368,20031,=,5002027,unlockActivityGift,5002027
369,20031,=,5002028,unlockActivityGift,5002028
370,20031,=,5002029,unlockActivityGift,5002029
371,20031,=,5002030,unlockActivityGift,5002030
372,20031,=,5002031,unlockActivityGift,5002026
373,20031,=,5002032,unlockActivityGift,5002027
374,20031,=,5002033,unlockActivityGift,5002028
375,20031,=,5002034,unlockActivityGift,5002029
376,20031,=,5002035,unlockActivityGift,5002030
20002,20031,=,5002036,unlockActivityGift,5002031
377,20031,=,5002101,unlockActivityGift,5002001
378,20031,=,5002201,unlockActivityGift,5002001
379,20031,=,5002301,unlockActivityGift,5002001
380,20031,=,5002401,unlockActivityGift,5002001
381,20031,=,5002501,unlockActivityGift,5002001
382,20031,=,5002601,unlockActivityGift,5002001
383,20031,=,5002701,unlockActivityGift,5002001
384,20031,=,5002801,unlockActivityGift,5002001
