Id,Position,Level,Cost,Ability,Quality,Talent,CardNameSuffix,CardLevel
1021,1,21,1:2:140000,"{""1"":397,""2"":302,""3"":435,""4"":435,""5"":510,""6"":378,""7"":227,""8"":265,""9"":454,""10"":378}",5,4,+1,80
1022,1,22,1:2:150000,"{""1"":416,""2"":317,""3"":455,""4"":455,""5"":535,""6"":396,""7"":238,""8"":277,""9"":475,""10"":396}",5,4,+2,84
1023,1,23,1:2:160000,"{""1"":435,""2"":331,""3"":476,""4"":476,""5"":559,""6"":414,""7"":248,""8"":290,""9"":497,""10"":414}",5,4,+3,88
1024,1,24,1:2:170000,"{""1"":454,""2"":346,""3"":497,""4"":497,""5"":583,""6"":432,""7"":259,""8"":302,""9"":518,""10"":432}",5,4,+4,92
1025,1,25,1:2:180000,"{""1"":473,""2"":360,""3"":518,""4"":518,""5"":608,""6"":450,""7"":270,""8"":315,""9"":540,""10"":450}",5,4,+5,96
1026,1,26,1:2:190000,"{""1"":491,""2"":374,""3"":538,""4"":538,""5"":632,""6"":468,""7"":281,""8"":328,""9"":562,""10"":468}",5,4,+6,100
1027,1,27,1:2:200000|2:100108:20,"{""1"":510,""2"":389,""3"":559,""4"":559,""5"":656,""6"":486,""7"":292,""8"":340,""9"":583,""10"":486}",5,4,+7,104
1028,1,28,1:2:210000,"{""1"":529,""2"":403,""3"":580,""4"":580,""5"":680,""6"":504,""7"":302,""8"":353,""9"":605,""10"":504}",6,4,,108
1029,1,29,1:2:220000,"{""1"":548,""2"":418,""3"":600,""4"":600,""5"":705,""6"":522,""7"":313,""8"":365,""9"":626,""10"":522}",6,4,+1,112
1030,1,30,1:2:230000,"{""1"":567,""2"":432,""3"":621,""4"":621,""5"":729,""6"":540,""7"":324,""8"":378,""9"":648,""10"":540}",6,4,+2,116
1031,1,31,1:2:240000,"{""1"":586,""2"":446,""3"":642,""4"":642,""5"":753,""6"":558,""7"":335,""8"":391,""9"":670,""10"":558}",6,4,+3,120
1032,1,32,1:2:250000,"{""1"":605,""2"":461,""3"":662,""4"":662,""5"":778,""6"":576,""7"":346,""8"":403,""9"":691,""10"":576}",6,4,+4,124
1033,1,33,1:2:260000,"{""1"":624,""2"":475,""3"":683,""4"":683,""5"":802,""6"":594,""7"":356,""8"":416,""9"":713,""10"":594}",6,4,+5,128
1034,1,34,1:2:270000,"{""1"":643,""2"":490,""3"":704,""4"":704,""5"":826,""6"":612,""7"":367,""8"":428,""9"":734,""10"":612}",6,4,+6,132
1035,1,35,1:2:280000,"{""1"":662,""2"":504,""3"":725,""4"":725,""5"":851,""6"":630,""7"":378,""8"":441,""9"":756,""10"":630}",6,4,+7,136
1036,1,36,1:2:290000|2:100108:30,"{""1"":680,""2"":518,""3"":745,""4"":745,""5"":875,""6"":648,""7"":389,""8"":454,""9"":778,""10"":648}",6,4,+8,140
2001,2,1,1:2:1000,"{""1"":21,""2"":14,""3"":20,""4"":21,""5"":23,""6"":18,""7"":14,""8"":9,""9"":22,""10"":18}",1,1,,0
2002,2,2,1:2:2000,"{""1"":41,""2"":29,""3"":40,""4"":41,""5"":47,""6"":36,""7"":29,""8"":18,""9"":43,""10"":36}",1,1,+1,4
2003,2,3,1:2:4000,"{""1"":62,""2"":43,""3"":59,""4"":62,""5"":70,""6"":54,""7"":43,""8"":27,""9"":65,""10"":54}",1,1,+2,8
2004,2,4,1:2:6000,"{""1"":83,""2"":58,""3"":79,""4"":83,""5"":94,""6"":72,""7"":58,""8"":36,""9"":86,""10"":72}",2,2,,12
2005,2,5,1:2:8000,"{""1"":104,""2"":72,""3"":99,""4"":104,""5"":117,""6"":90,""7"":72,""8"":45,""9"":108,""10"":90}",2,2,+1,16
2006,2,6,1:2:10000,"{""1"":124,""2"":86,""3"":119,""4"":124,""5"":140,""6"":108,""7"":86,""8"":54,""9"":130,""10"":108}",2,2,+2,20
2007,2,7,1:2:10000|2:100108:2,"{""1"":145,""2"":101,""3"":139,""4"":145,""5"":164,""6"":126,""7"":101,""8"":63,""9"":151,""10"":126}",2,2,+3,24
2008,2,8,1:2:15000,"{""1"":166,""2"":115,""3"":158,""4"":166,""5"":187,""6"":144,""7"":115,""8"":72,""9"":173,""10"":144}",3,3,,28
2009,2,9,1:2:20000,"{""1"":186,""2"":130,""3"":178,""4"":186,""5"":211,""6"":162,""7"":130,""8"":81,""9"":194,""10"":162}",3,3,+1,32
2010,2,10,1:2:30000,"{""1"":207,""2"":144,""3"":198,""4"":207,""5"":234,""6"":180,""7"":144,""8"":90,""9"":216,""10"":180}",3,3,+2,36
2011,2,11,1:2:40000,"{""1"":228,""2"":158,""3"":218,""4"":228,""5"":257,""6"":198,""7"":158,""8"":99,""9"":238,""10"":198}",3,3,+3,40
2012,2,12,1:2:50000|2:100108:6,"{""1"":248,""2"":173,""3"":238,""4"":248,""5"":281,""6"":216,""7"":173,""8"":108,""9"":259,""10"":216}",3,3,+4,44
2013,2,13,1:2:60000,"{""1"":269,""2"":187,""3"":257,""4"":269,""5"":304,""6"":234,""7"":187,""8"":117,""9"":281,""10"":234}",4,4,,48
2014,2,14,1:2:70000,"{""1"":290,""2"":202,""3"":277,""4"":290,""5"":328,""6"":252,""7"":202,""8"":126,""9"":302,""10"":252}",4,4,+1,52
2015,2,15,1:2:80000,"{""1"":311,""2"":216,""3"":297,""4"":311,""5"":351,""6"":270,""7"":216,""8"":135,""9"":324,""10"":270}",4,4,+2,56
2016,2,16,1:2:90000,"{""1"":331,""2"":230,""3"":317,""4"":331,""5"":374,""6"":288,""7"":230,""8"":144,""9"":346,""10"":288}",4,4,+3,60
2017,2,17,1:2:100000,"{""1"":352,""2"":245,""3"":337,""4"":352,""5"":398,""6"":306,""7"":245,""8"":153,""9"":367,""10"":306}",4,4,+4,64
2018,2,18,1:2:110000,"{""1"":373,""2"":259,""3"":356,""4"":373,""5"":421,""6"":324,""7"":259,""8"":162,""9"":389,""10"":324}",4,4,+5,68
2019,2,19,1:2:120000|2:100108:10,"{""1"":393,""2"":274,""3"":376,""4"":393,""5"":445,""6"":342,""7"":274,""8"":171,""9"":410,""10"":342}",4,4,+6,72
2020,2,20,1:2:130000,"{""1"":414,""2"":288,""3"":396,""4"":414,""5"":468,""6"":360,""7"":288,""8"":180,""9"":432,""10"":360}",5,4,,76
2021,2,21,1:2:140000,"{""1"":435,""2"":302,""3"":416,""4"":435,""5"":491,""6"":378,""7"":302,""8"":189,""9"":454,""10"":378}",5,4,+1,80
2022,2,22,1:2:150000,"{""1"":455,""2"":317,""3"":436,""4"":455,""5"":515,""6"":396,""7"":317,""8"":198,""9"":475,""10"":396}",5,4,+2,84
2023,2,23,1:2:160000,"{""1"":476,""2"":331,""3"":455,""4"":476,""5"":538,""6"":414,""7"":331,""8"":207,""9"":497,""10"":414}",5,4,+3,88
2024,2,24,1:2:170000,"{""1"":497,""2"":346,""3"":475,""4"":497,""5"":562,""6"":432,""7"":346,""8"":216,""9"":518,""10"":432}",5,4,+4,92
2025,2,25,1:2:180000,"{""1"":518,""2"":360,""3"":495,""4"":518,""5"":585,""6"":450,""7"":360,""8"":225,""9"":540,""10"":450}",5,4,+5,96
2026,2,26,1:2:190000,"{""1"":538,""2"":374,""3"":515,""4"":538,""5"":608,""6"":468,""7"":374,""8"":234,""9"":562,""10"":468}",5,4,+6,100
2027,2,27,1:2:200000|2:100108:20,"{""1"":559,""2"":389,""3"":535,""4"":559,""5"":632,""6"":486,""7"":389,""8"":243,""9"":583,""10"":486}",5,4,+7,104
2028,2,28,1:2:210000,"{""1"":580,""2"":403,""3"":554,""4"":580,""5"":655,""6"":504,""7"":403,""8"":252,""9"":605,""10"":504}",6,4,,108
2029,2,29,1:2:220000,"{""1"":600,""2"":418,""3"":574,""4"":600,""5"":679,""6"":522,""7"":418,""8"":261,""9"":626,""10"":522}",6,4,+1,112
2030,2,30,1:2:230000,"{""1"":621,""2"":432,""3"":594,""4"":621,""5"":702,""6"":540,""7"":432,""8"":270,""9"":648,""10"":540}",6,4,+2,116
2031,2,31,1:2:240000,"{""1"":642,""2"":446,""3"":614,""4"":642,""5"":725,""6"":558,""7"":446,""8"":279,""9"":670,""10"":558}",6,4,+3,120
2032,2,32,1:2:250000,"{""1"":662,""2"":461,""3"":634,""4"":662,""5"":749,""6"":576,""7"":461,""8"":288,""9"":691,""10"":576}",6,4,+4,124
2033,2,33,1:2:260000,"{""1"":683,""2"":475,""3"":653,""4"":683,""5"":772,""6"":594,""7"":475,""8"":297,""9"":713,""10"":594}",6,4,+5,128
2034,2,34,1:2:270000,"{""1"":704,""2"":490,""3"":673,""4"":704,""5"":796,""6"":612,""7"":490,""8"":306,""9"":734,""10"":612}",6,4,+6,132
2035,2,35,1:2:280000,"{""1"":725,""2"":504,""3"":693,""4"":725,""5"":819,""6"":630,""7"":504,""8"":315,""9"":756,""10"":630}",6,4,+7,136
2036,2,36,1:2:290000|2:100108:30,"{""1"":745,""2"":518,""3"":713,""4"":745,""5"":842,""6"":648,""7"":518,""8"":324,""9"":778,""10"":648}",6,4,+8,140
3001,3,1,1:2:1000,"{""1"":18,""2"":18,""3"":18,""4"":18,""5"":18,""6"":18,""7"":18,""8"":18,""9"":18,""10"":18}",1,1,,0
3002,3,2,1:2:2000,"{""1"":36,""2"":36,""3"":36,""4"":36,""5"":36,""6"":36,""7"":36,""8"":36,""9"":36,""10"":36}",1,1,+1,4
3003,3,3,1:2:4000,"{""1"":54,""2"":54,""3"":54,""4"":54,""5"":54,""6"":54,""7"":54,""8"":54,""9"":54,""10"":54}",1,1,+2,8
3004,3,4,1:2:6000,"{""1"":72,""2"":72,""3"":72,""4"":72,""5"":72,""6"":72,""7"":72,""8"":72,""9"":72,""10"":72}",2,2,,12
3005,3,5,1:2:8000,"{""1"":90,""2"":90,""3"":90,""4"":90,""5"":90,""6"":90,""7"":90,""8"":90,""9"":90,""10"":90}",2,2,+1,16
3006,3,6,1:2:10000,"{""1"":108,""2"":108,""3"":108,""4"":108,""5"":108,""6"":108,""7"":108,""8"":108,""9"":108,""10"":108}",2,2,+2,20
3007,3,7,1:2:10000|2:100108:2,"{""1"":126,""2"":126,""3"":126,""4"":126,""5"":126,""6"":126,""7"":126,""8"":126,""9"":126,""10"":126}",2,2,+3,24
3008,3,8,1:2:15000,"{""1"":144,""2"":144,""3"":144,""4"":144,""5"":144,""6"":144,""7"":144,""8"":144,""9"":144,""10"":144}",3,3,,28
3009,3,9,1:2:20000,"{""1"":162,""2"":162,""3"":162,""4"":162,""5"":162,""6"":162,""7"":162,""8"":162,""9"":162,""10"":162}",3,3,+1,32
3010,3,10,1:2:30000,"{""1"":180,""2"":180,""3"":180,""4"":180,""5"":180,""6"":180,""7"":180,""8"":180,""9"":180,""10"":180}",3,3,+2,36
3011,3,11,1:2:40000,"{""1"":198,""2"":198,""3"":198,""4"":198,""5"":198,""6"":198,""7"":198,""8"":198,""9"":198,""10"":198}",3,3,+3,40
3012,3,12,1:2:50000|2:100108:6,"{""1"":216,""2"":216,""3"":216,""4"":216,""5"":216,""6"":216,""7"":216,""8"":216,""9"":216,""10"":216}",3,3,+4,44
3013,3,13,1:2:60000,"{""1"":234,""2"":234,""3"":234,""4"":234,""5"":234,""6"":234,""7"":234,""8"":234,""9"":234,""10"":234}",4,4,,48
3014,3,14,1:2:70000,"{""1"":252,""2"":252,""3"":252,""4"":252,""5"":252,""6"":252,""7"":252,""8"":252,""9"":252,""10"":252}",4,4,+1,52
3015,3,15,1:2:80000,"{""1"":270,""2"":270,""3"":270,""4"":270,""5"":270,""6"":270,""7"":270,""8"":270,""9"":270,""10"":270}",4,4,+2,56
3016,3,16,1:2:90000,"{""1"":288,""2"":288,""3"":288,""4"":288,""5"":288,""6"":288,""7"":288,""8"":288,""9"":288,""10"":288}",4,4,+3,60
3017,3,17,1:2:100000,"{""1"":306,""2"":306,""3"":306,""4"":306,""5"":306,""6"":306,""7"":306,""8"":306,""9"":306,""10"":306}",4,4,+4,64
3018,3,18,1:2:110000,"{""1"":324,""2"":324,""3"":324,""4"":324,""5"":324,""6"":324,""7"":324,""8"":324,""9"":324,""10"":324}",4,4,+5,68
3019,3,19,1:2:120000|2:100108:10,"{""1"":342,""2"":342,""3"":342,""4"":342,""5"":342,""6"":342,""7"":342,""8"":342,""9"":342,""10"":342}",4,4,+6,72
3020,3,20,1:2:130000,"{""1"":360,""2"":360,""3"":360,""4"":360,""5"":360,""6"":360,""7"":360,""8"":360,""9"":360,""10"":360}",5,4,,76
3021,3,21,1:2:140000,"{""1"":378,""2"":378,""3"":378,""4"":378,""5"":378,""6"":378,""7"":378,""8"":378,""9"":378,""10"":378}",5,4,+1,80
3022,3,22,1:2:150000,"{""1"":396,""2"":396,""3"":396,""4"":396,""5"":396,""6"":396,""7"":396,""8"":396,""9"":396,""10"":396}",5,4,+2,84
3023,3,23,1:2:160000,"{""1"":414,""2"":414,""3"":414,""4"":414,""5"":414,""6"":414,""7"":414,""8"":414,""9"":414,""10"":414}",5,4,+3,88
3024,3,24,1:2:170000,"{""1"":432,""2"":432,""3"":432,""4"":432,""5"":432,""6"":432,""7"":432,""8"":432,""9"":432,""10"":432}",5,4,+4,92
3025,3,25,1:2:180000,"{""1"":450,""2"":450,""3"":450,""4"":450,""5"":450,""6"":450,""7"":450,""8"":450,""9"":450,""10"":450}",5,4,+5,96
3026,3,26,1:2:190000,"{""1"":468,""2"":468,""3"":468,""4"":468,""5"":468,""6"":468,""7"":468,""8"":468,""9"":468,""10"":468}",5,4,+6,100
3027,3,27,1:2:200000|2:100108:20,"{""1"":486,""2"":486,""3"":486,""4"":486,""5"":486,""6"":486,""7"":486,""8"":486,""9"":486,""10"":486}",5,4,+7,104
3028,3,28,1:2:210000,"{""1"":504,""2"":504,""3"":504,""4"":504,""5"":504,""6"":504,""7"":504,""8"":504,""9"":504,""10"":504}",6,4,,108
3029,3,29,1:2:220000,"{""1"":522,""2"":522,""3"":522,""4"":522,""5"":522,""6"":522,""7"":522,""8"":522,""9"":522,""10"":522}",6,4,+1,112
3030,3,30,1:2:230000,"{""1"":540,""2"":540,""3"":540,""4"":540,""5"":540,""6"":540,""7"":540,""8"":540,""9"":540,""10"":540}",6,4,+2,116
3031,3,31,1:2:240000,"{""1"":558,""2"":558,""3"":558,""4"":558,""5"":558,""6"":558,""7"":558,""8"":558,""9"":558,""10"":558}",6,4,+3,120
3032,3,32,1:2:250000,"{""1"":576,""2"":576,""3"":576,""4"":576,""5"":576,""6"":576,""7"":576,""8"":576,""9"":576,""10"":576}",6,4,+4,124
3033,3,33,1:2:260000,"{""1"":594,""2"":594,""3"":594,""4"":594,""5"":594,""6"":594,""7"":594,""8"":594,""9"":594,""10"":594}",6,4,+5,128
3034,3,34,1:2:270000,"{""1"":612,""2"":612,""3"":612,""4"":612,""5"":612,""6"":612,""7"":612,""8"":612,""9"":612,""10"":612}",6,4,+6,132
3035,3,35,1:2:280000,"{""1"":630,""2"":630,""3"":630,""4"":630,""5"":630,""6"":630,""7"":630,""8"":630,""9"":630,""10"":630}",6,4,+7,136
3036,3,36,1:2:290000|2:100108:30,"{""1"":648,""2"":648,""3"":648,""4"":648,""5"":648,""6"":648,""7"":648,""8"":648,""9"":648,""10"":648}",6,4,+8,140
4001,4,1,1:2:1000,"{""1"":16,""2"":22,""3"":16,""4"":15,""5"":12,""6"":18,""7"":23,""8"":25,""9"":14,""10"":18}",1,1,,0
4002,4,2,1:2:2000,"{""1"":32,""2"":43,""3"":32,""4"":31,""5"":23,""6"":36,""7"":47,""8"":50,""9"":29,""10"":36}",1,1,+1,4
4003,4,3,1:2:4000,"{""1"":49,""2"":65,""3"":49,""4"":46,""5"":35,""6"":54,""7"":70,""8"":76,""9"":43,""10"":54}",1,1,+2,8
4004,4,4,1:2:6000,"{""1"":65,""2"":86,""3"":65,""4"":61,""5"":47,""6"":72,""7"":94,""8"":101,""9"":58,""10"":72}",2,2,,12
4005,4,5,1:2:8000,"{""1"":81,""2"":108,""3"":81,""4"":77,""5"":59,""6"":90,""7"":117,""8"":126,""9"":72,""10"":90}",2,2,+1,16
4006,4,6,1:2:10000,"{""1"":97,""2"":130,""3"":97,""4"":92,""5"":70,""6"":108,""7"":140,""8"":151,""9"":86,""10"":108}",2,2,+2,20
4007,4,7,1:2:10000|2:100108:2,"{""1"":113,""2"":151,""3"":113,""4"":107,""5"":82,""6"":126,""7"":164,""8"":176,""9"":101,""10"":126}",2,2,+3,24
4008,4,8,1:2:15000,"{""1"":130,""2"":173,""3"":130,""4"":122,""5"":94,""6"":144,""7"":187,""8"":202,""9"":115,""10"":144}",3,3,,28
4009,4,9,1:2:20000,"{""1"":146,""2"":194,""3"":146,""4"":138,""5"":105,""6"":162,""7"":211,""8"":227,""9"":130,""10"":162}",3,3,+1,32
4010,4,10,1:2:30000,"{""1"":162,""2"":216,""3"":162,""4"":153,""5"":117,""6"":180,""7"":234,""8"":252,""9"":144,""10"":180}",3,3,+2,36
4011,4,11,1:2:40000,"{""1"":178,""2"":238,""3"":178,""4"":168,""5"":129,""6"":198,""7"":257,""8"":277,""9"":158,""10"":198}",3,3,+3,40
4012,4,12,1:2:50000|2:100108:6,"{""1"":194,""2"":259,""3"":194,""4"":184,""5"":140,""6"":216,""7"":281,""8"":302,""9"":173,""10"":216}",3,3,+4,44
4013,4,13,1:2:60000,"{""1"":211,""2"":281,""3"":211,""4"":199,""5"":152,""6"":234,""7"":304,""8"":328,""9"":187,""10"":234}",4,4,,48
4014,4,14,1:2:70000,"{""1"":227,""2"":302,""3"":227,""4"":214,""5"":164,""6"":252,""7"":328,""8"":353,""9"":202,""10"":252}",4,4,+1,52
4015,4,15,1:2:80000,"{""1"":243,""2"":324,""3"":243,""4"":230,""5"":176,""6"":270,""7"":351,""8"":378,""9"":216,""10"":270}",4,4,+2,56
4016,4,16,1:2:90000,"{""1"":259,""2"":346,""3"":259,""4"":245,""5"":187,""6"":288,""7"":374,""8"":403,""9"":230,""10"":288}",4,4,+3,60
4017,4,17,1:2:100000,"{""1"":275,""2"":367,""3"":275,""4"":260,""5"":199,""6"":306,""7"":398,""8"":428,""9"":245,""10"":306}",4,4,+4,64
4018,4,18,1:2:110000,"{""1"":292,""2"":389,""3"":292,""4"":275,""5"":211,""6"":324,""7"":421,""8"":454,""9"":259,""10"":324}",4,4,+5,68
4019,4,19,1:2:120000|2:100108:10,"{""1"":308,""2"":410,""3"":308,""4"":291,""5"":222,""6"":342,""7"":445,""8"":479,""9"":274,""10"":342}",4,4,+6,72
4020,4,20,1:2:130000,"{""1"":324,""2"":432,""3"":324,""4"":306,""5"":234,""6"":360,""7"":468,""8"":504,""9"":288,""10"":360}",5,4,,76
4021,4,21,1:2:140000,"{""1"":340,""2"":454,""3"":340,""4"":321,""5"":246,""6"":378,""7"":491,""8"":529,""9"":302,""10"":378}",5,4,+1,80
4022,4,22,1:2:150000,"{""1"":356,""2"":475,""3"":356,""4"":337,""5"":257,""6"":396,""7"":515,""8"":554,""9"":317,""10"":396}",5,4,+2,84
4023,4,23,1:2:160000,"{""1"":373,""2"":497,""3"":373,""4"":352,""5"":269,""6"":414,""7"":538,""8"":580,""9"":331,""10"":414}",5,4,+3,88
4024,4,24,1:2:170000,"{""1"":389,""2"":518,""3"":389,""4"":367,""5"":281,""6"":432,""7"":562,""8"":605,""9"":346,""10"":432}",5,4,+4,92
4025,4,25,1:2:180000,"{""1"":405,""2"":540,""3"":405,""4"":383,""5"":293,""6"":450,""7"":585,""8"":630,""9"":360,""10"":450}",5,4,+5,96
4026,4,26,1:2:190000,"{""1"":421,""2"":562,""3"":421,""4"":398,""5"":304,""6"":468,""7"":608,""8"":655,""9"":374,""10"":468}",5,4,+6,100
4027,4,27,1:2:200000|2:100108:20,"{""1"":437,""2"":583,""3"":437,""4"":413,""5"":316,""6"":486,""7"":632,""8"":680,""9"":389,""10"":486}",5,4,+7,104
4028,4,28,1:2:210000,"{""1"":454,""2"":605,""3"":454,""4"":428,""5"":328,""6"":504,""7"":655,""8"":706,""9"":403,""10"":504}",6,4,,108
4029,4,29,1:2:220000,"{""1"":470,""2"":626,""3"":470,""4"":444,""5"":339,""6"":522,""7"":679,""8"":731,""9"":418,""10"":522}",6,4,+1,112
4030,4,30,1:2:230000,"{""1"":486,""2"":648,""3"":486,""4"":459,""5"":351,""6"":540,""7"":702,""8"":756,""9"":432,""10"":540}",6,4,+2,116
4031,4,31,1:2:240000,"{""1"":502,""2"":670,""3"":502,""4"":474,""5"":363,""6"":558,""7"":725,""8"":781,""9"":446,""10"":558}",6,4,+3,120
4032,4,32,1:2:250000,"{""1"":518,""2"":691,""3"":518,""4"":490,""5"":374,""6"":576,""7"":749,""8"":806,""9"":461,""10"":576}",6,4,+4,124
4033,4,33,1:2:260000,"{""1"":535,""2"":713,""3"":535,""4"":505,""5"":386,""6"":594,""7"":772,""8"":832,""9"":475,""10"":594}",6,4,+5,128
4034,4,34,1:2:270000,"{""1"":551,""2"":734,""3"":551,""4"":520,""5"":398,""6"":612,""7"":796,""8"":857,""9"":490,""10"":612}",6,4,+6,132
4035,4,35,1:2:280000,"{""1"":567,""2"":756,""3"":567,""4"":536,""5"":410,""6"":630,""7"":819,""8"":882,""9"":504,""10"":630}",6,4,+7,136
4036,4,36,1:2:290000|2:100108:30,"{""1"":583,""2"":778,""3"":583,""4"":551,""5"":421,""6"":648,""7"":842,""8"":907,""9"":518,""10"":648}",6,4,+8,140
5001,5,1,1:2:1000,"{""1"":16,""2"":22,""3"":15,""4"":15,""5"":13,""6"":18,""7"":23,""8"":25,""9"":14,""10"":18}",1,1,,0
5002,5,2,1:2:2000,"{""1"":32,""2"":43,""3"":31,""4"":31,""5"":25,""6"":36,""7"":47,""8"":50,""9"":29,""10"":36}",1,1,+1,4
5003,5,3,1:2:4000,"{""1"":49,""2"":65,""3"":46,""4"":46,""5"":38,""6"":54,""7"":70,""8"":76,""9"":43,""10"":54}",1,1,+2,8
5004,5,4,1:2:6000,"{""1"":65,""2"":86,""3"":61,""4"":61,""5"":50,""6"":72,""7"":94,""8"":101,""9"":58,""10"":72}",2,2,,12
5005,5,5,1:2:8000,"{""1"":81,""2"":108,""3"":77,""4"":77,""5"":63,""6"":90,""7"":117,""8"":126,""9"":72,""10"":90}",2,2,+1,16
5006,5,6,1:2:10000,"{""1"":97,""2"":130,""3"":92,""4"":92,""5"":76,""6"":108,""7"":140,""8"":151,""9"":86,""10"":108}",2,2,+2,20
5007,5,7,1:2:10000|2:100108:2,"{""1"":113,""2"":151,""3"":107,""4"":107,""5"":88,""6"":126,""7"":164,""8"":176,""9"":101,""10"":126}",2,2,+3,24
5008,5,8,1:2:15000,"{""1"":130,""2"":173,""3"":122,""4"":122,""5"":101,""6"":144,""7"":187,""8"":202,""9"":115,""10"":144}",3,3,,28
5009,5,9,1:2:20000,"{""1"":146,""2"":194,""3"":138,""4"":138,""5"":113,""6"":162,""7"":211,""8"":227,""9"":130,""10"":162}",3,3,+1,32
5010,5,10,1:2:30000,"{""1"":162,""2"":216,""3"":153,""4"":153,""5"":126,""6"":180,""7"":234,""8"":252,""9"":144,""10"":180}",3,3,+2,36
5011,5,11,1:2:40000,"{""1"":178,""2"":238,""3"":168,""4"":168,""5"":139,""6"":198,""7"":257,""8"":277,""9"":158,""10"":198}",3,3,+3,40
5012,5,12,1:2:50000|2:100108:6,"{""1"":194,""2"":259,""3"":184,""4"":184,""5"":151,""6"":216,""7"":281,""8"":302,""9"":173,""10"":216}",3,3,+4,44
5013,5,13,1:2:60000,"{""1"":211,""2"":281,""3"":199,""4"":199,""5"":164,""6"":234,""7"":304,""8"":328,""9"":187,""10"":234}",4,4,,48
5014,5,14,1:2:70000,"{""1"":227,""2"":302,""3"":214,""4"":214,""5"":176,""6"":252,""7"":328,""8"":353,""9"":202,""10"":252}",4,4,+1,52
5015,5,15,1:2:80000,"{""1"":243,""2"":324,""3"":230,""4"":230,""5"":189,""6"":270,""7"":351,""8"":378,""9"":216,""10"":270}",4,4,+2,56
5016,5,16,1:2:90000,"{""1"":259,""2"":346,""3"":245,""4"":245,""5"":202,""6"":288,""7"":374,""8"":403,""9"":230,""10"":288}",4,4,+3,60
