Id,Name,Icon,Chapter,Tactics,TacticsLevels,Reward,Star3,OnBattle
4001106,[1星]易建联第6关,900106,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001107,[1星]易建联第7关,900107,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001108,[1星]易建联第8关,900108,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001109,[1星]易建联第9关,900109,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001110,[1星]易建联第10关,900110,1040011,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001301,[3星]易建联第1关,900111,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001302,[3星]易建联第2关,900112,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001303,[3星]易建联第3关,900113,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001304,[3星]易建联第4关,900114,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001305,[3星]易建联第5关,900115,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001306,[3星]易建联第6关,900116,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001307,[3星]易建联第7关,900117,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001308,[3星]易建联第8关,900118,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001309,[3星]易建联第9关,900119,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001310,[3星]易建联第10关,900120,1040013,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001501,[5星]易建联第1关,900101,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001502,[5星]易建联第2关,900102,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001503,[5星]易建联第3关,900103,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001504,[5星]易建联第4关,900104,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001505,[5星]易建联第5关,900105,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001506,[5星]易建联第6关,900106,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001507,[5星]易建联第7关,900107,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001508,[5星]易建联第8关,900108,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001509,[5星]易建联第9关,900109,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4001510,[5星]易建联第10关,900110,1040015,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,501]"
4002001,[0星]郭艾伦第1关,900111,1040020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002002,[0星]郭艾伦第2关,900112,1040020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002003,[0星]郭艾伦第3关,900113,1040020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002004,[0星]郭艾伦第4关,900114,1040020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002005,[0星]郭艾伦第5关,900115,1040020,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002101,[1星]郭艾伦第1关,900116,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002102,[1星]郭艾伦第2关,900117,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002103,[1星]郭艾伦第3关,900118,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002104,[1星]郭艾伦第4关,900119,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002105,[1星]郭艾伦第5关,900120,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002106,[1星]郭艾伦第6关,900101,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002107,[1星]郭艾伦第7关,900102,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002108,[1星]郭艾伦第8关,900103,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002109,[1星]郭艾伦第9关,900104,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002110,[1星]郭艾伦第10关,900105,1040021,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002301,[3星]郭艾伦第1关,900106,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002302,[3星]郭艾伦第2关,900107,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002303,[3星]郭艾伦第3关,900108,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002304,[3星]郭艾伦第4关,900109,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002305,[3星]郭艾伦第5关,900110,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002306,[3星]郭艾伦第6关,900111,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002307,[3星]郭艾伦第7关,900112,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002308,[3星]郭艾伦第8关,900113,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002309,[3星]郭艾伦第9关,900114,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002310,[3星]郭艾伦第10关,900115,1040023,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002501,[5星]郭艾伦第1关,900116,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002502,[5星]郭艾伦第2关,900117,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002503,[5星]郭艾伦第3关,900118,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002504,[5星]郭艾伦第4关,900119,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002505,[5星]郭艾伦第5关,900120,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002506,[5星]郭艾伦第6关,900101,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002507,[5星]郭艾伦第7关,900102,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002508,[5星]郭艾伦第8关,900103,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002509,[5星]郭艾伦第9关,900104,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4002510,[5星]郭艾伦第10关,900105,1040025,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,502]"
4003001,[0星]阿不都沙拉木第1关,900106,1040030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003002,[0星]阿不都沙拉木第2关,900107,1040030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003003,[0星]阿不都沙拉木第3关,900108,1040030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003004,[0星]阿不都沙拉木第4关,900109,1040030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003005,[0星]阿不都沙拉木第5关,900110,1040030,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003101,[1星]阿不都沙拉木第1关,900111,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003102,[1星]阿不都沙拉木第2关,900112,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003103,[1星]阿不都沙拉木第3关,900113,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003104,[1星]阿不都沙拉木第4关,900114,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003105,[1星]阿不都沙拉木第5关,900115,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003106,[1星]阿不都沙拉木第6关,900116,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003107,[1星]阿不都沙拉木第7关,900117,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003108,[1星]阿不都沙拉木第8关,900118,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003109,[1星]阿不都沙拉木第9关,900119,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003110,[1星]阿不都沙拉木第10关,900120,1040031,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003301,[3星]阿不都沙拉木第1关,900101,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003302,[3星]阿不都沙拉木第2关,900102,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003303,[3星]阿不都沙拉木第3关,900103,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003304,[3星]阿不都沙拉木第4关,900104,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003305,[3星]阿不都沙拉木第5关,900105,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003306,[3星]阿不都沙拉木第6关,900106,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003307,[3星]阿不都沙拉木第7关,900107,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003308,[3星]阿不都沙拉木第8关,900108,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003309,[3星]阿不都沙拉木第9关,900109,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003310,[3星]阿不都沙拉木第10关,900110,1040033,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003501,[5星]阿不都沙拉木第1关,900111,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003502,[5星]阿不都沙拉木第2关,900112,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003503,[5星]阿不都沙拉木第3关,900113,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003504,[5星]阿不都沙拉木第4关,900114,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003505,[5星]阿不都沙拉木第5关,900115,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003506,[5星]阿不都沙拉木第6关,900116,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003507,[5星]阿不都沙拉木第7关,900117,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003508,[5星]阿不都沙拉木第8关,900118,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003509,[5星]阿不都沙拉木第9关,900119,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4003510,[5星]阿不都沙拉木第10关,900120,1040035,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,503]"
4004001,[0星]赵继伟第1关,900101,1040040,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004002,[0星]赵继伟第2关,900102,1040040,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004003,[0星]赵继伟第3关,900103,1040040,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004004,[0星]赵继伟第4关,900104,1040040,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004005,[0星]赵继伟第5关,900105,1040040,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004101,[1星]赵继伟第1关,900106,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004102,[1星]赵继伟第2关,900107,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004103,[1星]赵继伟第3关,900108,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004104,[1星]赵继伟第4关,900109,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004105,[1星]赵继伟第5关,900110,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004106,[1星]赵继伟第6关,900111,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004107,[1星]赵继伟第7关,900112,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004108,[1星]赵继伟第8关,900113,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004109,[1星]赵继伟第9关,900114,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004110,[1星]赵继伟第10关,900115,1040041,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004301,[3星]赵继伟第1关,900116,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004302,[3星]赵继伟第2关,900117,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004303,[3星]赵继伟第3关,900118,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004304,[3星]赵继伟第4关,900119,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004305,[3星]赵继伟第5关,900120,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004306,[3星]赵继伟第6关,900101,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004307,[3星]赵继伟第7关,900102,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004308,[3星]赵继伟第8关,900103,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004309,[3星]赵继伟第9关,900104,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004310,[3星]赵继伟第10关,900105,1040043,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004501,[5星]赵继伟第1关,900106,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004502,[5星]赵继伟第2关,900107,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004503,[5星]赵继伟第3关,900108,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004504,[5星]赵继伟第4关,900109,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004505,[5星]赵继伟第5关,900110,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004506,[5星]赵继伟第6关,900111,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004507,[5星]赵继伟第7关,900112,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004508,[5星]赵继伟第8关,900113,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004509,[5星]赵继伟第9关,900114,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4004510,[5星]赵继伟第10关,900115,1040045,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,504]"
4005001,[0星]韩德君第1关,900116,1040050,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005002,[0星]韩德君第2关,900117,1040050,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005003,[0星]韩德君第3关,900118,1040050,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005004,[0星]韩德君第4关,900119,1040050,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005005,[0星]韩德君第5关,900120,1040050,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005101,[1星]韩德君第1关,900101,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005102,[1星]韩德君第2关,900102,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005103,[1星]韩德君第3关,900103,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005104,[1星]韩德君第4关,900104,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005105,[1星]韩德君第5关,900105,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005106,[1星]韩德君第6关,900106,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005107,[1星]韩德君第7关,900107,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005108,[1星]韩德君第8关,900108,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005109,[1星]韩德君第9关,900109,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005110,[1星]韩德君第10关,900110,1040051,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005301,[3星]韩德君第1关,900111,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005302,[3星]韩德君第2关,900112,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005303,[3星]韩德君第3关,900113,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005304,[3星]韩德君第4关,900114,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005305,[3星]韩德君第5关,900115,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005306,[3星]韩德君第6关,900116,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005307,[3星]韩德君第7关,900117,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005308,[3星]韩德君第8关,900118,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005309,[3星]韩德君第9关,900119,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005310,[3星]韩德君第10关,900120,1040053,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005501,[5星]韩德君第1关,900101,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005502,[5星]韩德君第2关,900102,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005503,[5星]韩德君第3关,900103,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005504,[5星]韩德君第4关,900104,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005505,[5星]韩德君第5关,900105,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005506,[5星]韩德君第6关,900106,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005507,[5星]韩德君第7关,900107,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005508,[5星]韩德君第8关,900108,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005509,[5星]韩德君第9关,900109,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4005510,[5星]韩德君第10关,900110,1040055,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,505]"
4006001,[0星]赵睿第1关,900111,1040060,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006002,[0星]赵睿第2关,900112,1040060,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006003,[0星]赵睿第3关,900113,1040060,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006004,[0星]赵睿第4关,900114,1040060,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006005,[0星]赵睿第5关,900115,1040060,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006101,[1星]赵睿第1关,900116,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006102,[1星]赵睿第2关,900117,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006103,[1星]赵睿第3关,900118,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006104,[1星]赵睿第4关,900119,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006105,[1星]赵睿第5关,900120,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006106,[1星]赵睿第6关,900101,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006107,[1星]赵睿第7关,900102,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006108,[1星]赵睿第8关,900103,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006109,[1星]赵睿第9关,900104,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006110,[1星]赵睿第10关,900105,1040061,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006301,[3星]赵睿第1关,900106,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006302,[3星]赵睿第2关,900107,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006303,[3星]赵睿第3关,900108,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006304,[3星]赵睿第4关,900109,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006305,[3星]赵睿第5关,900110,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006306,[3星]赵睿第6关,900111,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006307,[3星]赵睿第7关,900112,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006308,[3星]赵睿第8关,900113,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006309,[3星]赵睿第9关,900114,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006310,[3星]赵睿第10关,900115,1040063,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006501,[5星]赵睿第1关,900116,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006502,[5星]赵睿第2关,900117,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006503,[5星]赵睿第3关,900118,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006504,[5星]赵睿第4关,900119,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006505,[5星]赵睿第5关,900120,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006506,[5星]赵睿第6关,900101,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006507,[5星]赵睿第7关,900102,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006508,[5星]赵睿第8关,900103,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006509,[5星]赵睿第9关,900104,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4006510,[5星]赵睿第10关,900105,1040065,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,506]"
4007001,[0星]胡金秋第1关,900106,1040070,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007002,[0星]胡金秋第2关,900107,1040070,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007003,[0星]胡金秋第3关,900108,1040070,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007004,[0星]胡金秋第4关,900109,1040070,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007005,[0星]胡金秋第5关,900110,1040070,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007101,[1星]胡金秋第1关,900111,1040071,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007102,[1星]胡金秋第2关,900112,1040071,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007103,[1星]胡金秋第3关,900113,1040071,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007104,[1星]胡金秋第4关,900114,1040071,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
4007105,[1星]胡金秋第5关,900115,1040071,"[101,201]","[1,1]",1:4:100,"[1001,1002]","[5,507]"
