Id,Portrait,Star,Skills,ClubId,Name,Ability,Number,AdaptPosition,Quality,GiftIds,Power
10101023,101013,1,[0],1010102,王化东,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",32,[4],2,[0],96
10101024,20404,1,[0],1010102,孙喆,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",43,[5],2,[0],81
10101025,20405,1,[0],1010102,阿迪力·库尔班,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",0,[2],2,[0],98
10101026,103007,1,[0],1010102,黎伊扬,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",10,[3],2,[0],92
10101030,103021,1,[0],1010103,韩硕,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",33,[1],2,[0],83
10101031,103032,1,[0],1010103,景菡一,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",1,[2],2,[0],92
10101032,101007,1,[0],1010103,郭金林,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",27,[3],2,[0],82
10101033,102012,1,[0],1010103,张殿梁,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",12,[4],2,[0],86
10101034,20608,1,[0],1010103,胡林森,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",8,[5],2,[0],81
10101035,20607,1,[0],1010103,李泓翰,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",7,[1],2,[0],91
10101036,20609,1,[0],1010103,李林岳,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",24,[2],2,[0],99
10101037,103006,1,[0],1010103,袁堂文,"{""1"":15,""2"":15,""3"":15,""4"":15,""5"":15,""6"":15,""7"":15,""8"":15,""9"":15,""10"":10}",3,[3],2,[0],98
10102010,90110104,1,[0],1010201,郑奎汉,"{""1"":28,""2"":22,""3"":31,""4"":31,""5"":36,""6"":27,""7"":16,""8"":19,""9"":32,""10"":27}",12,[1],2,[0],93
10102011,90110108,1,[0],1010201,崔胜贤,"{""1"":31,""2"":22,""3"":30,""4"":31,""5"":35,""6"":27,""7"":22,""8"":14,""9"":32,""10"":27}",0,[2],2,[0],80
10102012,90110107,1,[0],1010201,全昌灿,"{""1"":27,""2"":27,""3"":27,""4"":27,""5"":27,""6"":27,""7"":27,""8"":27,""9"":27,""10"":27}",1,[3],2,[0],82
10102013,90110102,1,[0],1010201,林演锡,"{""1"":24,""2"":32,""3"":24,""4"":23,""5"":18,""6"":27,""7"":35,""8"":38,""9"":22,""10"":27}",33,[4],2,[0],92
10102014,90110105,1,[0],1010201,白政勋,"{""1"":24,""2"":32,""3"":23,""4"":23,""5"":19,""6"":27,""7"":35,""8"":38,""9"":22,""10"":27}",23,[5],2,[0],80
10102015,90110108,1,[0],1010201,公孝真,"{""1"":20,""2"":15,""3"":22,""4"":22,""5"":25,""6"":19,""7"":11,""8"":13,""9"":22,""10"":19}",10,[1],2,[0],93
10102016,90110103,1,[0],1010201,申志斌,"{""1"":22,""2"":15,""3"":21,""4"":22,""5"":25,""6"":19,""7"":15,""8"":10,""9"":22,""10"":19}",3,[2],2,[0],84
10102017,90110102,1,[0],1010201,柳东元,"{""1"":19,""2"":19,""3"":19,""4"":19,""5"":19,""6"":19,""7"":19,""8"":19,""9"":19,""10"":19}",39,[3],2,[0],87
10102018,90110104,1,[0],1010201,赵一国,"{""1"":17,""2"":22,""3"":17,""4"":16,""5"":13,""6"":19,""7"":25,""8"":27,""9"":15,""10"":19}",16,[4],2,[0],93
10102019,90110105,1,[0],1010201,裴东奎,"{""1"":17,""2"":22,""3"":16,""4"":16,""5"":13,""6"":19,""7"":25,""8"":27,""9"":15,""10"":19}",21,[5],2,[0],95
10102020,90110108,1,[0],1010202,甘时元,"{""1"":32,""2"":24,""3"":35,""4"":35,""5"":41,""6"":30,""7"":18,""8"":21,""9"":36,""10"":30}",17,[1],2,[0],94
10102021,90110106,1,[0],1010202,曹廷恩,"{""1"":35,""2"":24,""3"":33,""4"":35,""5"":39,""6"":30,""7"":24,""8"":15,""9"":36,""10"":30}",25,[2],2,[0],100
10102022,90110104,1,[0],1010202,于正哲,"{""1"":30,""2"":30,""3"":30,""4"":30,""5"":30,""6"":30,""7"":30,""8"":30,""9"":30,""10"":30}",10,[3],2,[0],87
10102023,90110103,1,[0],1010202,李昌政,"{""1"":27,""2"":36,""3"":27,""4"":26,""5"":20,""6"":30,""7"":39,""8"":42,""9"":24,""10"":30}",32,[4],2,[0],83
10102024,90110105,1,[0],1010202,刘相赫,"{""1"":27,""2"":36,""3"":26,""4"":26,""5"":21,""6"":30,""7"":39,""8"":42,""9"":24,""10"":30}",24,[5],2,[0],98
10102025,90110104,1,[0],1010202,洪基宇,"{""1"":22,""2"":17,""3"":25,""4"":25,""5"":29,""6"":21,""7"":13,""8"":15,""9"":25,""10"":21}",26,[1],2,[0],88
10102026,90110107,1,[0],1010202,高昌政,"{""1"":25,""2"":17,""3"":23,""4"":25,""5"":27,""6"":21,""7"":17,""8"":11,""9"":25,""10"":21}",1,[2],2,[0],95
10102027,90110105,1,[0],1010202,甘勇洙,"{""1"":21,""2"":21,""3"":21,""4"":21,""5"":21,""6"":21,""7"":21,""8"":21,""9"":21,""10"":21}",9,[3],2,[0],97
10102028,90110101,1,[0],1010202,权世彬,"{""1"":19,""2"":25,""3"":19,""4"":18,""5"":14,""6"":21,""7"":27,""8"":29,""9"":17,""10"":21}",7,[4],2,[0],93
10102029,90110108,1,[0],1010202,刘载相,"{""1"":19,""2"":25,""3"":18,""4"":18,""5"":15,""6"":21,""7"":27,""8"":29,""9"":17,""10"":21}",7,[5],2,[0],85
10102030,90110105,1,[0],1010203,公敏锡,"{""1"":35,""2"":26,""3"":38,""4"":38,""5"":45,""6"":33,""7"":20,""8"":23,""9"":40,""10"":33}",13,[1],2,[0],100
10102031,90110108,1,[0],1010203,姜宰锡,"{""1"":38,""2"":26,""3"":36,""4"":38,""5"":43,""6"":33,""7"":26,""8"":17,""9"":40,""10"":33}",10,[2],2,[0],82
10102032,90110107,1,[0],1010203,车政勋,"{""1"":33,""2"":33,""3"":33,""4"":33,""5"":33,""6"":33,""7"":33,""8"":33,""9"":33,""10"":33}",3,[3],2,[0],100
10102033,90110104,1,[0],1010203,洪真旭,"{""1"":30,""2"":40,""3"":30,""4"":28,""5"":21,""6"":33,""7"":43,""8"":46,""9"":26,""10"":33}",5,[4],2,[0],100
10102034,90110101,1,[0],1010203,柳宇成,"{""1"":30,""2"":40,""3"":28,""4"":28,""5"":23,""6"":33,""7"":43,""8"":46,""9"":26,""10"":33}",50,[5],2,[0],80
10102035,90110106,1,[0],1010203,安有天,"{""1"":25,""2"":18,""3"":27,""4"":27,""5"":32,""6"":23,""7"":14,""8"":16,""9"":28,""10"":23}",23,[1],2,[0],88
10102036,90110106,1,[0],1010203,吴奎汉,"{""1"":27,""2"":18,""3"":25,""4"":27,""5"":30,""6"":23,""7"":18,""8"":12,""9"":28,""10"":23}",19,[2],2,[0],99
10102037,90110104,1,[0],1010203,明成珉,"{""1"":23,""2"":23,""3"":23,""4"":23,""5"":23,""6"":23,""7"":23,""8"":23,""9"":23,""10"":23}",21,[3],2,[0],81
10102038,90110105,1,[0],1010203,闵宇,"{""1"":21,""2"":28,""3"":21,""4"":20,""5"":15,""6"":23,""7"":30,""8"":32,""9"":18,""10"":23}",14,[4],2,[0],97
10102039,90110101,1,[0],1010203,郑始璄,"{""1"":21,""2"":28,""3"":20,""4"":20,""5"":16,""6"":23,""7"":30,""8"":32,""9"":18,""10"":23}",11,[5],2,[0],100
10102040,90110102,1,[0],1010204,白演锡,"{""1"":38,""2"":29,""3"":41,""4"":41,""5"":49,""6"":36,""7"":22,""8"":25,""9"":43,""10"":36}",51,[1],2,[0],87
10102041,90110101,1,[0],1010204,叶广贤,"{""1"":41,""2"":29,""3"":40,""4"":41,""5"":47,""6"":36,""7"":29,""8"":18,""9"":43,""10"":36}",16,[2],2,[0],89
10102042,90110105,1,[0],1010204,秋敏镐,"{""1"":36,""2"":36,""3"":36,""4"":36,""5"":36,""6"":36,""7"":36,""8"":36,""9"":36,""10"":36}",5,[3],2,[0],93
10102043,90110108,1,[0],1010204,邹志昌,"{""1"":32,""2"":43,""3"":32,""4"":31,""5"":23,""6"":36,""7"":47,""8"":50,""9"":29,""10"":36}",11,[4],2,[0],95
10102044,90110108,1,[0],1010204,钱尚民,"{""1"":32,""2"":43,""3"":31,""4"":31,""5"":25,""6"":36,""7"":47,""8"":50,""9"":29,""10"":36}",3,[5],2,[0],87
10102045,90110107,1,[0],1010204,闵真旭,"{""1"":27,""2"":20,""3"":29,""4"":29,""5"":34,""6"":25,""7"":15,""8"":18,""9"":30,""10"":25}",12,[1],2,[0],93
10102046,90110101,1,[0],1010204,洪元宗,"{""1"":29,""2"":20,""3"":28,""4"":29,""5"":33,""6"":25,""7"":20,""8"":13,""9"":30,""10"":25}",8,[2],2,[0],91
10102047,90110104,1,[0],1010204,柳淳元,"{""1"":25,""2"":25,""3"":25,""4"":25,""5"":25,""6"":25,""7"":25,""8"":25,""9"":25,""10"":25}",11,[3],2,[0],85
10102048,90110105,1,[0],1010204,郑学宇,"{""1"":22,""2"":30,""3"":22,""4"":22,""5"":16,""6"":25,""7"":33,""8"":35,""9"":20,""10"":25}",19,[4],2,[0],91
10102049,90110107,1,[0],1010204,刘成浩,"{""1"":22,""2"":30,""3"":22,""4"":22,""5"":18,""6"":25,""7"":33,""8"":35,""9"":20,""10"":25}",1,[5],2,[0],89
10102050,90110107,1,[0],1010205,简俊来,"{""1"":41,""2"":31,""3"":45,""4"":45,""5"":53,""6"":39,""7"":23,""8"":27,""9"":47,""10"":39}",5,[1],2,[0],84
10102051,90110105,1,[0],1010205,邹承佑,"{""1"":45,""2"":31,""3"":43,""4"":45,""5"":51,""6"":39,""7"":31,""8"":20,""9"":47,""10"":39}",9,[2],2,[0],85
10102052,90110106,1,[0],1010205,池承佑,"{""1"":39,""2"":39,""3"":39,""4"":39,""5"":39,""6"":39,""7"":39,""8"":39,""9"":39,""10"":39}",10,[3],2,[0],94
10102053,90110104,1,[0],1010205,安智硕,"{""1"":35,""2"":47,""3"":35,""4"":33,""5"":25,""6"":39,""7"":51,""8"":55,""9"":31,""10"":39}",3,[4],2,[0],91
10102054,90110106,1,[0],1010205,柳敏赫,"{""1"":35,""2"":47,""3"":33,""4"":33,""5"":27,""6"":39,""7"":51,""8"":55,""9"":31,""10"":39}",2,[5],2,[0],87
10102055,90110103,1,[0],1010205,廉钟原,"{""1"":29,""2"":22,""3"":32,""4"":32,""5"":37,""6"":27,""7"":16,""8"":19,""9"":33,""10"":27}",20,[1],2,[0],88
10102056,90110108,1,[0],1010205,申满锡,"{""1"":32,""2"":22,""3"":30,""4"":32,""5"":36,""6"":27,""7"":22,""8"":14,""9"":33,""10"":27}",25,[2],2,[0],81
10102057,90110102,1,[0],1010205,孔镇佑,"{""1"":27,""2"":27,""3"":27,""4"":27,""5"":27,""6"":27,""7"":27,""8"":27,""9"":27,""10"":27}",22,[3],2,[0],100
10102058,90110101,1,[0],1010205,南帝熙,"{""1"":25,""2"":33,""3"":25,""4"":23,""5"":18,""6"":27,""7"":36,""8"":39,""9"":22,""10"":27}",22,[4],2,[0],84
10102059,90110101,1,[0],1010205,柳相元,"{""1"":25,""2"":33,""3"":23,""4"":23,""5"":19,""6"":27,""7"":36,""8"":39,""9"":22,""10"":27}",2,[5],2,[0],80
10103010,90110204,1,[0],1010301,倉長昭彦,"{""1"":44,""2"":34,""3"":48,""4"":48,""5"":57,""6"":42,""7"":25,""8"":29,""9"":50,""10"":42}",28,[1],2,[0],91
10103011,90110201,1,[0],1010301,紀伊元昌英,"{""1"":48,""2"":34,""3"":46,""4"":48,""5"":55,""6"":42,""7"":34,""8"":21,""9"":50,""10"":42}",35,[2],2,[0],86
10103012,90110207,1,[0],1010301,猪川温树,"{""1"":42,""2"":42,""3"":42,""4"":42,""5"":42,""6"":42,""7"":42,""8"":42,""9"":42,""10"":42}",7,[3],2,[0],94
10103013,90110202,1,[0],1010301,曽々木智,"{""1"":38,""2"":50,""3"":38,""4"":36,""5"":27,""6"":42,""7"":55,""8"":59,""9"":34,""10"":42}",33,[4],2,[0],95
10103014,90110205,1,[0],1010301,薬師隆,"{""1"":38,""2"":50,""3"":36,""4"":36,""5"":29,""6"":42,""7"":55,""8"":59,""9"":34,""10"":42}",11,[5],2,[0],81
10103015,90110208,1,[0],1010301,野平靖彦,"{""1"":31,""2"":24,""3"":34,""4"":34,""5"":40,""6"":29,""7"":18,""8"":20,""9"":35,""10"":29}",13,[1],2,[0],81
10103016,90110203,1,[0],1010301,安居院和弘,"{""1"":34,""2"":24,""3"":32,""4"":34,""5"":39,""6"":29,""7"":24,""8"":15,""9"":35,""10"":29}",12,[2],2,[0],94
10103017,90110204,1,[0],1010301,足利友幸,"{""1"":29,""2"":29,""3"":29,""4"":29,""5"":29,""6"":29,""7"":29,""8"":29,""9"":29,""10"":29}",4,[3],2,[0],80
10103018,90110204,1,[0],1010301,嶋谷政昭,"{""1"":27,""2"":35,""3"":27,""4"":25,""5"":19,""6"":29,""7"":39,""8"":41,""9"":24,""10"":29}",5,[4],2,[0],84
10103019,90110205,1,[0],1010301,西城贤治,"{""1"":27,""2"":35,""3"":25,""4"":25,""5"":20,""6"":29,""7"":39,""8"":41,""9"":24,""10"":29}",25,[5],2,[0],88
10103020,90110208,1,[0],1010302,湯沢昌一,"{""1"":47,""2"":36,""3"":52,""4"":52,""5"":61,""6"":45,""7"":27,""8"":32,""9"":54,""10"":45}",35,[1],2,[0],93
10103021,90110206,1,[0],1010302,山津繁,"{""1"":52,""2"":36,""3"":50,""4"":52,""5"":59,""6"":45,""7"":36,""8"":23,""9"":54,""10"":45}",36,[2],2,[0],95
10103022,90110205,1,[0],1010302,秋末美穂,"{""1"":45,""2"":45,""3"":45,""4"":45,""5"":45,""6"":45,""7"":45,""8"":45,""9"":45,""10"":45}",10,[3],2,[0],98
10103023,90110203,1,[0],1010302,鴫原健一,"{""1"":41,""2"":54,""3"":41,""4"":38,""5"":29,""6"":45,""7"":59,""8"":63,""9"":36,""10"":45}",2,[4],2,[0],82
10103024,90110208,1,[0],1010302,浮川嘉美,"{""1"":41,""2"":54,""3"":38,""4"":38,""5"":32,""6"":45,""7"":59,""8"":63,""9"":36,""10"":45}",6,[5],2,[0],86
10103025,90110204,1,[0],1010302,興津伸司,"{""1"":33,""2"":25,""3"":36,""4"":36,""5"":43,""6"":32,""7"":19,""8"":22,""9"":38,""10"":32}",14,[1],2,[0],89
10103026,90110207,1,[0],1010302,賀来诚治,"{""1"":36,""2"":25,""3"":35,""4"":36,""5"":41,""6"":32,""7"":25,""8"":16,""9"":38,""10"":32}",7,[2],2,[0],92
10103027,90110205,1,[0],1010302,菱谷博之,"{""1"":32,""2"":32,""3"":32,""4"":32,""5"":32,""6"":32,""7"":32,""8"":32,""9"":32,""10"":32}",3,[3],2,[0],91
10103028,90110201,1,[0],1010302,倉若保雄,"{""1"":29,""2"":38,""3"":29,""4"":27,""5"":20,""6"":32,""7"":41,""8"":44,""9"":25,""10"":32}",17,[4],2,[0],94
10103029,90110208,1,[0],1010302,浦部修一郎,"{""1"":29,""2"":38,""3"":27,""4"":27,""5"":22,""6"":32,""7"":41,""8"":44,""9"":25,""10"":32}",2,[5],2,[0],82
10103030,90110205,1,[0],1010303,六田伸治,"{""1"":50,""2"":38,""3"":55,""4"":55,""5"":65,""6"":48,""7"":29,""8"":34,""9"":58,""10"":48}",20,[1],2,[0],82
10103031,90110208,1,[0],1010303,何川昌利,"{""1"":55,""2"":38,""3"":53,""4"":55,""5"":62,""6"":48,""7"":38,""8"":24,""9"":58,""10"":48}",8,[2],2,[0],100
10103032,90110207,1,[0],1010303,荒野繁,"{""1"":48,""2"":48,""3"":48,""4"":48,""5"":48,""6"":48,""7"":48,""8"":48,""9"":48,""10"":48}",13,[3],2,[0],91
10103033,90110202,1,[0],1010303,伊良部浩,"{""1"":43,""2"":58,""3"":43,""4"":41,""5"":31,""6"":48,""7"":62,""8"":67,""9"":38,""10"":48}",25,[4],2,[0],95
10103034,90110201,1,[0],1010303,日野目诚悦,"{""1"":43,""2"":58,""3"":41,""4"":41,""5"":34,""6"":48,""7"":62,""8"":67,""9"":38,""10"":48}",16,[5],2,[0],82
10103035,90110206,1,[0],1010303,鎌谷文雄,"{""1"":35,""2"":27,""3"":39,""4"":39,""5"":46,""6"":34,""7"":20,""8"":24,""9"":41,""10"":34}",11,[1],2,[0],99
10103036,90110206,1,[0],1010303,鮓本康英,"{""1"":39,""2"":27,""3"":37,""4"":39,""5"":43,""6"":34,""7"":27,""8"":17,""9"":41,""10"":34}",0,[2],2,[0],91
10103037,90110204,1,[0],1010303,高雄隆一,"{""1"":34,""2"":34,""3"":34,""4"":34,""5"":34,""6"":34,""7"":34,""8"":34,""9"":34,""10"":34}",37,[3],2,[0],83
10103038,90110205,1,[0],1010303,谷藤优,"{""1"":30,""2"":41,""3"":30,""4"":29,""5"":22,""6"":34,""7"":43,""8"":47,""9"":27,""10"":34}",4,[4],2,[0],84
10103039,90110201,1,[0],1010303,小川博司,"{""1"":30,""2"":41,""3"":29,""4"":29,""5"":24,""6"":34,""7"":43,""8"":47,""9"":27,""10"":34}",11,[5],2,[0],81
10103040,90110202,1,[0],1010304,沢辺刚,"{""1"":54,""2"":41,""3"":59,""4"":59,""5"":69,""6"":51,""7"":31,""8"":36,""9"":61,""10"":51}",33,[1],2,[0],98
10103041,90110201,1,[0],1010304,天沼秀树,"{""1"":59,""2"":41,""3"":56,""4"":59,""5"":66,""6"":51,""7"":41,""8"":26,""9"":61,""10"":51}",9,[2],2,[0],89
10103042,90110205,1,[0],1010304,永谷利明,"{""1"":51,""2"":51,""3"":51,""4"":51,""5"":51,""6"":51,""7"":51,""8"":51,""9"":51,""10"":51}",16,[3],2,[0],82
10103043,90110205,1,[0],1010304,宇郷健,"{""1"":46,""2"":61,""3"":46,""4"":43,""5"":33,""6"":51,""7"":66,""8"":71,""9"":41,""10"":51}",20,[4],2,[0],88
10103044,90110208,1,[0],1010304,尾迫和男,"{""1"":46,""2"":61,""3"":43,""4"":43,""5"":36,""6"":51,""7"":66,""8"":71,""9"":41,""10"":51}",15,[5],2,[0],85
10103045,90110207,1,[0],1010304,長基治,"{""1"":38,""2"":29,""3"":41,""4"":41,""5"":48,""6"":36,""7"":22,""8"":25,""9"":43,""10"":36}",1,[1],2,[0],86
10103046,90110201,1,[0],1010304,朝尾敬二,"{""1"":41,""2"":29,""3"":39,""4"":41,""5"":46,""6"":36,""7"":29,""8"":18,""9"":43,""10"":36}",11,[2],2,[0],82
10103047,90110204,1,[0],1010304,堂免顺,"{""1"":36,""2"":36,""3"":36,""4"":36,""5"":36,""6"":36,""7"":36,""8"":36,""9"":36,""10"":36}",4,[3],2,[0],93
10103048,90110205,1,[0],1010304,船場薫,"{""1"":32,""2"":43,""3"":32,""4"":30,""5"":23,""6"":36,""7"":46,""8"":50,""9"":29,""10"":36}",17,[4],2,[0],81
10103049,90110207,1,[0],1010304,上森信弘,"{""1"":32,""2"":43,""3"":30,""4"":30,""5"":25,""6"":36,""7"":46,""8"":50,""9"":29,""10"":36}",21,[5],2,[0],96
10103050,90110207,1,[0],1010305,御室雅一,"{""1"":57,""2"":43,""3"":62,""4"":62,""5"":73,""6"":54,""7"":32,""8"":38,""9"":65,""10"":54}",9,[1],2,[0],100
10103051,90110205,1,[0],1010305,松登基之,"{""1"":62,""2"":43,""3"":59,""4"":62,""5"":70,""6"":54,""7"":43,""8"":27,""9"":65,""10"":54}",20,[2],2,[0],98
10103052,90110202,1,[0],1010305,富塚昌二,"{""1"":54,""2"":54,""3"":54,""4"":54,""5"":54,""6"":54,""7"":54,""8"":54,""9"":54,""10"":54}",1,[3],2,[0],87
10103053,90110204,1,[0],1010305,溝尻优二,"{""1"":49,""2"":65,""3"":49,""4"":46,""5"":35,""6"":54,""7"":70,""8"":76,""9"":43,""10"":54}",16,[4],2,[0],80
10103054,90110206,1,[0],1010305,鹿戸和成,"{""1"":49,""2"":65,""3"":46,""4"":46,""5"":38,""6"":54,""7"":70,""8"":76,""9"":43,""10"":54}",44,[5],2,[0],82
10103055,90110203,1,[0],1010305,横田秀洋,"{""1"":40,""2"":30,""3"":43,""4"":43,""5"":51,""6"":38,""7"":22,""8"":27,""9"":46,""10"":38}",23,[1],2,[0],85
10103056,90110208,1,[0],1010305,諏訪園升,"{""1"":43,""2"":30,""3"":41,""4"":43,""5"":49,""6"":38,""7"":30,""8"":19,""9"":46,""10"":38}",24,[2],2,[0],96
10103057,90110202,1,[0],1010305,朝坂良三,"{""1"":38,""2"":38,""3"":38,""4"":38,""5"":38,""6"":38,""7"":38,""8"":38,""9"":38,""10"":38}",10,[3],2,[0],91
10103058,90110201,1,[0],1010305,古杉范明,"{""1"":34,""2"":46,""3"":34,""4"":32,""5"":25,""6"":38,""7"":49,""8"":53,""9"":30,""10"":38}",7,[4],2,[0],90
10103059,90110201,1,[0],1010305,岩住诚,"{""1"":34,""2"":46,""3"":32,""4"":32,""5"":27,""6"":38,""7"":49,""8"":53,""9"":30,""10"":38}",13,[5],2,[0],92
10103060,90110201,1,[0],1010306,下飯坂健三郎,"{""1"":60,""2"":46,""3"":66,""4"":66,""5"":77,""6"":57,""7"":34,""8"":40,""9"":68,""10"":57}",3,[1],2,[0],87
10103061,90110206,1,[0],1010306,和沢学,"{""1"":66,""2"":46,""3"":63,""4"":66,""5"":74,""6"":57,""7"":46,""8"":29,""9"":68,""10"":57}",55,[2],2,[0],92
10103062,90110204,1,[0],1010306,猪城和弘,"{""1"":57,""2"":57,""3"":57,""4"":57,""5"":57,""6"":57,""7"":57,""8"":57,""9"":57,""10"":57}",7,[3],2,[0],90
10103063,90110207,1,[0],1010306,若杉実,"{""1"":51,""2"":68,""3"":51,""4"":48,""5"":37,""6"":57,""7"":74,""8"":80,""9"":46,""10"":57}",22,[4],2,[0],86
10103064,90110204,1,[0],1010306,笹川雄二,"{""1"":51,""2"":68,""3"":48,""4"":48,""5"":40,""6"":57,""7"":74,""8"":80,""9"":46,""10"":57}",1,[5],2,[0],94
10103065,90110203,1,[0],1010306,穴沢雄二,"{""1"":42,""2"":32,""3"":46,""4"":46,""5"":54,""6"":40,""7"":24,""8"":28,""9"":48,""10"":40}",36,[1],2,[0],100
10103066,90110205,1,[0],1010306,佐乃武,"{""1"":46,""2"":32,""3"":44,""4"":46,""5"":52,""6"":40,""7"":32,""8"":20,""9"":48,""10"":40}",10,[2],2,[0],98
10103067,90110202,1,[0],1010306,江上茂典,"{""1"":40,""2"":40,""3"":40,""4"":40,""5"":40,""6"":40,""7"":40,""8"":40,""9"":40,""10"":40}",35,[3],2,[0],88
10103068,90110205,1,[0],1010306,渡水稔,"{""1"":36,""2"":48,""3"":36,""4"":34,""5"":26,""6"":40,""7"":52,""8"":56,""9"":32,""10"":40}",12,[4],2,[0],93
10103069,90110207,1,[0],1010306,千足晃,"{""1"":36,""2"":48,""3"":34,""4"":34,""5"":28,""6"":40,""7"":52,""8"":56,""9"":32,""10"":40}",8,[5],2,[0],92
10103070,90110204,1,[0],1010307,貴堂浩靖,"{""1"":63,""2"":48,""3"":69,""4"":69,""5"":81,""6"":60,""7"":36,""8"":42,""9"":72,""10"":60}",7,[1],2,[0],83
