Id,TacticsId,Level,CostCard,PositionAdd,Kezhi
10508,105,8,120,"{""1"":126,""2"":102,""3"":126,""4"":102,""5"":100}",20
10509,105,9,140,"{""1"":128,""2"":102,""3"":128,""4"":102,""5"":100}",20
10510,105,10,160,"{""1"":130,""2"":102,""3"":130,""4"":102,""5"":100}",20
20101,201,1,5,"{""1"":102,""2"":102,""3"":100,""4"":112,""5"":112}",20
20102,201,2,10,"{""1"":102,""2"":102,""3"":100,""4"":114,""5"":114}",20
20103,201,3,20,"{""1"":102,""2"":102,""3"":100,""4"":116,""5"":116}",20
20104,201,4,40,"{""1"":102,""2"":102,""3"":100,""4"":118,""5"":118}",20
20105,201,5,60,"{""1"":102,""2"":102,""3"":100,""4"":120,""5"":120}",20
20106,201,6,80,"{""1"":102,""2"":102,""3"":100,""4"":122,""5"":122}",20
20107,201,7,100,"{""1"":102,""2"":102,""3"":100,""4"":124,""5"":124}",20
20108,201,8,120,"{""1"":102,""2"":102,""3"":100,""4"":126,""5"":126}",20
20109,201,9,140,"{""1"":102,""2"":102,""3"":100,""4"":128,""5"":128}",20
20110,201,10,160,"{""1"":102,""2"":102,""3"":100,""4"":130,""5"":130}",20
20201,202,1,5,"{""1"":112,""2"":112,""3"":102,""4"":102,""5"":100}",20
20202,202,2,10,"{""1"":114,""2"":114,""3"":102,""4"":102,""5"":100}",20
20203,202,3,20,"{""1"":116,""2"":116,""3"":102,""4"":102,""5"":100}",20
20204,202,4,40,"{""1"":118,""2"":118,""3"":102,""4"":102,""5"":100}",20
20205,202,5,60,"{""1"":120,""2"":120,""3"":102,""4"":102,""5"":100}",20
20206,202,6,80,"{""1"":122,""2"":122,""3"":102,""4"":102,""5"":100}",20
20207,202,7,100,"{""1"":124,""2"":124,""3"":102,""4"":102,""5"":100}",20
20208,202,8,120,"{""1"":126,""2"":126,""3"":102,""4"":102,""5"":100}",20
20209,202,9,140,"{""1"":128,""2"":128,""3"":102,""4"":102,""5"":100}",20
20210,202,10,160,"{""1"":130,""2"":130,""3"":102,""4"":102,""5"":100}",20
20301,203,1,5,"{""1"":102,""2"":102,""3"":112,""4"":100,""5"":112}",20
20302,203,2,10,"{""1"":102,""2"":102,""3"":114,""4"":100,""5"":114}",20
20303,203,3,20,"{""1"":102,""2"":102,""3"":116,""4"":100,""5"":116}",20
20304,203,4,40,"{""1"":102,""2"":102,""3"":118,""4"":100,""5"":118}",20
20305,203,5,60,"{""1"":102,""2"":102,""3"":120,""4"":100,""5"":120}",20
20306,203,6,80,"{""1"":102,""2"":102,""3"":122,""4"":100,""5"":122}",20
20307,203,7,100,"{""1"":102,""2"":102,""3"":124,""4"":100,""5"":124}",20
20308,203,8,120,"{""1"":102,""2"":102,""3"":126,""4"":100,""5"":126}",20
20309,203,9,140,"{""1"":102,""2"":102,""3"":128,""4"":100,""5"":128}",20
20310,203,10,160,"{""1"":102,""2"":102,""3"":130,""4"":100,""5"":130}",20
20401,204,1,5,"{""1"":102,""2"":112,""3"":102,""4"":112,""5"":100}",20
20402,204,2,10,"{""1"":102,""2"":114,""3"":102,""4"":114,""5"":100}",20
20403,204,3,20,"{""1"":102,""2"":116,""3"":102,""4"":116,""5"":100}",20
20404,204,4,40,"{""1"":102,""2"":118,""3"":102,""4"":118,""5"":100}",20
20405,204,5,60,"{""1"":102,""2"":120,""3"":102,""4"":120,""5"":100}",20
20406,204,6,80,"{""1"":102,""2"":122,""3"":102,""4"":122,""5"":100}",20
20407,204,7,100,"{""1"":102,""2"":124,""3"":102,""4"":124,""5"":100}",20
20408,204,8,120,"{""1"":102,""2"":126,""3"":102,""4"":126,""5"":100}",20
20409,204,9,140,"{""1"":102,""2"":128,""3"":102,""4"":128,""5"":100}",20
20410,204,10,160,"{""1"":102,""2"":130,""3"":102,""4"":130,""5"":100}",20
20501,205,1,5,"{""1"":112,""2"":102,""3"":112,""4"":102,""5"":100}",20
20502,205,2,10,"{""1"":114,""2"":102,""3"":114,""4"":102,""5"":100}",20
20503,205,3,20,"{""1"":116,""2"":102,""3"":116,""4"":102,""5"":100}",20
20504,205,4,40,"{""1"":118,""2"":102,""3"":118,""4"":102,""5"":100}",20
20505,205,5,60,"{""1"":120,""2"":102,""3"":120,""4"":102,""5"":100}",20
20506,205,6,80,"{""1"":122,""2"":102,""3"":122,""4"":102,""5"":100}",20
20507,205,7,100,"{""1"":124,""2"":102,""3"":124,""4"":102,""5"":100}",20
20508,205,8,120,"{""1"":126,""2"":102,""3"":126,""4"":102,""5"":100}",20
20509,205,9,140,"{""1"":128,""2"":102,""3"":128,""4"":102,""5"":100}",20
20510,205,10,160,"{""1"":130,""2"":102,""3"":130,""4"":102,""5"":100}",20
