Id,Exp,ExpTotal,Ability
37,14000,271200,"{""1"":117,""2"":108,""3"":108,""4"":117,""5"":108,""6"":108,""7"":117,""8"":108,""9"":108,""10"":108}"
38,14000,285200,"{""1"":117,""2"":117,""3"":108,""4"":117,""5"":117,""6"":108,""7"":117,""8"":117,""9"":108,""10"":108}"
39,13440,299200,"{""1"":117,""2"":117,""3"":117,""4"":117,""5"":117,""6"":117,""7"":117,""8"":117,""9"":117,""10"":117}"
40,13440,312640,"{""1"":126,""2"":117,""3"":117,""4"":126,""5"":117,""6"":117,""7"":126,""8"":117,""9"":117,""10"":117}"
41,13440,326080,"{""1"":126,""2"":126,""3"":117,""4"":126,""5"":126,""6"":117,""7"":126,""8"":126,""9"":117,""10"":117}"
42,13120,339520,"{""1"":126,""2"":126,""3"":126,""4"":126,""5"":126,""6"":126,""7"":126,""8"":126,""9"":126,""10"":126}"
43,18560,352640,"{""1"":135,""2"":126,""3"":126,""4"":135,""5"":126,""6"":126,""7"":135,""8"":126,""9"":126,""10"":126}"
44,18560,371200,"{""1"":135,""2"":135,""3"":126,""4"":135,""5"":135,""6"":126,""7"":135,""8"":135,""9"":126,""10"":126}"
45,14720,389760,"{""1"":135,""2"":135,""3"":135,""4"":135,""5"":135,""6"":135,""7"":135,""8"":135,""9"":135,""10"":135}"
46,48640,404480,"{""1"":144,""2"":135,""3"":135,""4"":144,""5"":135,""6"":135,""7"":144,""8"":135,""9"":135,""10"":135}"
47,48640,453120,"{""1"":144,""2"":144,""3"":135,""4"":144,""5"":144,""6"":135,""7"":144,""8"":144,""9"":135,""10"":135}"
48,48640,501760,"{""1"":144,""2"":144,""3"":144,""4"":144,""5"":144,""6"":144,""7"":144,""8"":144,""9"":144,""10"":144}"
49,48640,550400,"{""1"":153,""2"":144,""3"":144,""4"":153,""5"":144,""6"":144,""7"":153,""8"":144,""9"":144,""10"":144}"
50,48640,599040,"{""1"":153,""2"":153,""3"":144,""4"":153,""5"":153,""6"":144,""7"":153,""8"":153,""9"":144,""10"":144}"
51,48640,647680,"{""1"":153,""2"":153,""3"":153,""4"":153,""5"":153,""6"":153,""7"":153,""8"":153,""9"":153,""10"":153}"
52,48640,696320,"{""1"":162,""2"":153,""3"":153,""4"":162,""5"":153,""6"":153,""7"":162,""8"":153,""9"":153,""10"":153}"
53,48640,744960,"{""1"":162,""2"":162,""3"":153,""4"":162,""5"":162,""6"":153,""7"":162,""8"":162,""9"":153,""10"":153}"
54,48640,793600,"{""1"":162,""2"":162,""3"":162,""4"":162,""5"":162,""6"":162,""7"":162,""8"":162,""9"":162,""10"":162}"
55,48640,842240,"{""1"":171,""2"":162,""3"":162,""4"":171,""5"":162,""6"":162,""7"":171,""8"":162,""9"":162,""10"":162}"
56,95680,890880,"{""1"":171,""2"":171,""3"":162,""4"":171,""5"":171,""6"":162,""7"":171,""8"":171,""9"":162,""10"":162}"
57,60640,986560,"{""1"":171,""2"":171,""3"":171,""4"":171,""5"":171,""6"":171,""7"":171,""8"":171,""9"":171,""10"":171}"
58,60640,1047200,"{""1"":180,""2"":171,""3"":171,""4"":180,""5"":171,""6"":171,""7"":180,""8"":171,""9"":171,""10"":171}"
59,60640,1107840,"{""1"":180,""2"":180,""3"":171,""4"":180,""5"":180,""6"":171,""7"":180,""8"":180,""9"":171,""10"":171}"
60,59680,1168480,"{""1"":180,""2"":180,""3"":180,""4"":180,""5"":180,""6"":180,""7"":180,""8"":180,""9"":180,""10"":180}"
61,59680,1228160,"{""1"":189,""2"":180,""3"":180,""4"":189,""5"":180,""6"":180,""7"":189,""8"":180,""9"":180,""10"":180}"
62,59680,1287840,"{""1"":189,""2"":189,""3"":180,""4"":189,""5"":189,""6"":180,""7"":189,""8"":189,""9"":180,""10"":180}"
63,59680,1347520,"{""1"":189,""2"":189,""3"":189,""4"":189,""5"":189,""6"":189,""7"":189,""8"":189,""9"":189,""10"":189}"
64,62560,1407200,"{""1"":198,""2"":189,""3"":189,""4"":198,""5"":189,""6"":189,""7"":198,""8"":189,""9"":189,""10"":189}"
65,50240,1469760,"{""1"":198,""2"":198,""3"":189,""4"":198,""5"":198,""6"":189,""7"":198,""8"":198,""9"":189,""10"":189}"
66,94080,1520000,"{""1"":198,""2"":198,""3"":198,""4"":198,""5"":198,""6"":198,""7"":198,""8"":198,""9"":198,""10"":198}"
67,94080,1614080,"{""1"":207,""2"":198,""3"":198,""4"":207,""5"":198,""6"":198,""7"":207,""8"":198,""9"":198,""10"":198}"
68,94080,1708160,"{""1"":207,""2"":207,""3"":198,""4"":207,""5"":207,""6"":198,""7"":207,""8"":207,""9"":198,""10"":198}"
69,51840,1802240,"{""1"":207,""2"":207,""3"":207,""4"":207,""5"":207,""6"":207,""7"":207,""8"":207,""9"":207,""10"":207}"
70,80000,1854080,"{""1"":216,""2"":207,""3"":207,""4"":216,""5"":207,""6"":207,""7"":216,""8"":207,""9"":207,""10"":207}"
71,80000,1934080,"{""1"":216,""2"":216,""3"":207,""4"":216,""5"":216,""6"":207,""7"":216,""8"":216,""9"":207,""10"":207}"
72,80000,2014080,"{""1"":216,""2"":216,""3"":216,""4"":216,""5"":216,""6"":216,""7"":216,""8"":216,""9"":216,""10"":216}"
73,80000,2094080,"{""1"":225,""2"":216,""3"":216,""4"":225,""5"":216,""6"":216,""7"":225,""8"":216,""9"":216,""10"":216}"
74,80000,2174080,"{""1"":225,""2"":225,""3"":216,""4"":225,""5"":225,""6"":216,""7"":225,""8"":225,""9"":216,""10"":216}"
75,80000,2254080,"{""1"":225,""2"":225,""3"":225,""4"":225,""5"":225,""6"":225,""7"":225,""8"":225,""9"":225,""10"":225}"
76,80000,2334080,"{""1"":234,""2"":225,""3"":225,""4"":234,""5"":225,""6"":225,""7"":234,""8"":225,""9"":225,""10"":225}"
77,80000,2414080,"{""1"":234,""2"":234,""3"":225,""4"":234,""5"":234,""6"":225,""7"":234,""8"":234,""9"":225,""10"":225}"
78,80000,2494080,"{""1"":234,""2"":234,""3"":234,""4"":234,""5"":234,""6"":234,""7"":234,""8"":234,""9"":234,""10"":234}"
79,80000,2574080,"{""1"":243,""2"":234,""3"":234,""4"":243,""5"":234,""6"":234,""7"":243,""8"":234,""9"":234,""10"":234}"
80,80000,2654080,"{""1"":243,""2"":243,""3"":234,""4"":243,""5"":243,""6"":234,""7"":243,""8"":243,""9"":234,""10"":234}"
81,80000,2734080,"{""1"":243,""2"":243,""3"":243,""4"":243,""5"":243,""6"":243,""7"":243,""8"":243,""9"":243,""10"":243}"
82,80000,2814080,"{""1"":252,""2"":243,""3"":243,""4"":252,""5"":243,""6"":243,""7"":252,""8"":243,""9"":243,""10"":243}"
83,111360,2894080,"{""1"":252,""2"":252,""3"":243,""4"":252,""5"":252,""6"":243,""7"":252,""8"":252,""9"":243,""10"":243}"
84,119200,3005440,"{""1"":252,""2"":252,""3"":252,""4"":252,""5"":252,""6"":252,""7"":252,""8"":252,""9"":252,""10"":252}"
85,119200,3124640,"{""1"":261,""2"":252,""3"":252,""4"":261,""5"":252,""6"":252,""7"":261,""8"":252,""9"":252,""10"":252}"
86,119200,3243840,"{""1"":261,""2"":261,""3"":252,""4"":261,""5"":261,""6"":252,""7"":261,""8"":261,""9"":252,""10"":252}"
87,119200,3363040,"{""1"":261,""2"":261,""3"":261,""4"":261,""5"":261,""6"":261,""7"":261,""8"":261,""9"":261,""10"":261}"
88,119200,3482240,"{""1"":270,""2"":261,""3"":261,""4"":270,""5"":261,""6"":261,""7"":270,""8"":261,""9"":261,""10"":261}"
89,119200,3601440,"{""1"":270,""2"":270,""3"":261,""4"":270,""5"":270,""6"":261,""7"":270,""8"":270,""9"":261,""10"":261}"
90,119200,3720640,"{""1"":270,""2"":270,""3"":270,""4"":270,""5"":270,""6"":270,""7"":270,""8"":270,""9"":270,""10"":270}"
91,119200,3839840,"{""1"":279,""2"":270,""3"":270,""4"":279,""5"":270,""6"":270,""7"":279,""8"":270,""9"":270,""10"":270}"
92,119200,3959040,"{""1"":279,""2"":279,""3"":270,""4"":279,""5"":279,""6"":270,""7"":279,""8"":279,""9"":270,""10"":270}"
93,119200,4078240,"{""1"":279,""2"":279,""3"":279,""4"":279,""5"":279,""6"":279,""7"":279,""8"":279,""9"":279,""10"":279}"
94,119200,4197440,"{""1"":288,""2"":279,""3"":279,""4"":288,""5"":279,""6"":279,""7"":288,""8"":279,""9"":279,""10"":279}"
95,119200,4316640,"{""1"":288,""2"":288,""3"":279,""4"":288,""5"":288,""6"":279,""7"":288,""8"":288,""9"":279,""10"":279}"
96,119200,4435840,"{""1"":288,""2"":288,""3"":288,""4"":288,""5"":288,""6"":288,""7"":288,""8"":288,""9"":288,""10"":288}"
97,119200,4555040,"{""1"":297,""2"":288,""3"":288,""4"":297,""5"":288,""6"":288,""7"":297,""8"":288,""9"":288,""10"":288}"
98,119200,4674240,"{""1"":297,""2"":297,""3"":288,""4"":297,""5"":297,""6"":288,""7"":297,""8"":297,""9"":288,""10"":288}"
99,119200,4793440,"{""1"":297,""2"":297,""3"":297,""4"":297,""5"":297,""6"":297,""7"":297,""8"":297,""9"":297,""10"":297}"
100,119200,4912640,"{""1"":306,""2"":297,""3"":297,""4"":306,""5"":297,""6"":297,""7"":306,""8"":297,""9"":297,""10"":297}"
101,119200,5031840,"{""1"":306,""2"":306,""3"":297,""4"":306,""5"":306,""6"":297,""7"":306,""8"":306,""9"":297,""10"":297}"
102,119200,5151040,"{""1"":306,""2"":306,""3"":306,""4"":306,""5"":306,""6"":306,""7"":306,""8"":306,""9"":306,""10"":306}"
103,119200,5270240,"{""1"":315,""2"":306,""3"":306,""4"":315,""5"":306,""6"":306,""7"":315,""8"":306,""9"":306,""10"":306}"
104,119200,5389440,"{""1"":315,""2"":315,""3"":306,""4"":315,""5"":315,""6"":306,""7"":315,""8"":315,""9"":306,""10"":306}"
105,119200,5508640,"{""1"":315,""2"":315,""3"":315,""4"":315,""5"":315,""6"":315,""7"":315,""8"":315,""9"":315,""10"":315}"
106,119200,5627840,"{""1"":324,""2"":315,""3"":315,""4"":324,""5"":315,""6"":315,""7"":324,""8"":315,""9"":315,""10"":315}"
107,119200,5747040,"{""1"":324,""2"":324,""3"":315,""4"":324,""5"":324,""6"":315,""7"":324,""8"":324,""9"":315,""10"":315}"
108,119200,5866240,"{""1"":324,""2"":324,""3"":324,""4"":324,""5"":324,""6"":324,""7"":324,""8"":324,""9"":324,""10"":324}"
109,119200,5985440,"{""1"":333,""2"":324,""3"":324,""4"":333,""5"":324,""6"":324,""7"":333,""8"":324,""9"":324,""10"":324}"
110,119200,6104640,"{""1"":333,""2"":333,""3"":324,""4"":333,""5"":333,""6"":324,""7"":333,""8"":333,""9"":324,""10"":324}"
111,119200,6223840,"{""1"":333,""2"":333,""3"":333,""4"":333,""5"":333,""6"":333,""7"":333,""8"":333,""9"":333,""10"":333}"
112,119200,6343040,"{""1"":342,""2"":333,""3"":333,""4"":342,""5"":333,""6"":333,""7"":342,""8"":333,""9"":333,""10"":333}"
113,119200,6462240,"{""1"":342,""2"":342,""3"":333,""4"":342,""5"":342,""6"":333,""7"":342,""8"":342,""9"":333,""10"":333}"
114,119200,6581440,"{""1"":342,""2"":342,""3"":342,""4"":342,""5"":342,""6"":342,""7"":342,""8"":342,""9"":342,""10"":342}"
115,119200,6700640,"{""1"":351,""2"":342,""3"":342,""4"":351,""5"":342,""6"":342,""7"":351,""8"":342,""9"":342,""10"":342}"
116,119200,6819840,"{""1"":351,""2"":351,""3"":342,""4"":351,""5"":351,""6"":342,""7"":351,""8"":351,""9"":342,""10"":342}"
117,119200,6939040,"{""1"":351,""2"":351,""3"":351,""4"":351,""5"":351,""6"":351,""7"":351,""8"":351,""9"":351,""10"":351}"
118,119200,7058240,"{""1"":360,""2"":351,""3"":351,""4"":360,""5"":351,""6"":351,""7"":360,""8"":351,""9"":351,""10"":351}"
119,119200,7177440,"{""1"":360,""2"":360,""3"":351,""4"":360,""5"":360,""6"":351,""7"":360,""8"":360,""9"":351,""10"":351}"
120,119200,7296640,"{""1"":360,""2"":360,""3"":360,""4"":360,""5"":360,""6"":360,""7"":360,""8"":360,""9"":360,""10"":360}"
