Id,Type,Desc,NextTask,TriggerId,CompareType,Condition,Point,Reward,Way,Moduleid,Zlpoint,IsHide
100329,1,经典赛（环球挑战）通关-牙买加,100330,10005,>=,1040210,0,1:1:50,0,1100,0,0
100330,1,经典赛（环球挑战）通关-哥伦比亚,100331,10005,>=,1040310,0,1:1:50,0,1100,0,0
100331,1,经典赛（环球挑战）通关-巴拉马,100332,10005,>=,1040410,0,1:1:50,0,1100,0,0
100332,1,经典赛（环球挑战）通关-乌拉圭,100333,10005,>=,1040510,0,1:1:50,0,1100,0,0
100333,1,经典赛（环球挑战）通关-委内瑞拉,100334,10005,>=,1040610,0,1:1:50,0,1100,0,0
100334,1,经典赛（环球挑战）通关-多米尼加,100335,10005,>=,1040710,0,1:1:50,0,1100,0,0
100335,1,经典赛（环球挑战）通关-玻利维亚,100336,10005,>=,1040810,0,1:1:50,0,1100,0,0
100336,1,经典赛（环球挑战）通关-巴西,100337,10005,>=,1040910,0,1:1:50,0,1100,0,0
100337,1,经典赛（环球挑战）通关-阿根廷,100338,10005,>=,1041010,0,1:1:50,0,1100,0,0
100338,1,经典赛（环球挑战）通关-英国,100339,10005,>=,1050110,0,1:1:50,0,1100,0,0
100339,1,经典赛（环球挑战）通关-土耳其,100340,10005,>=,1050210,0,1:1:50,0,1100,0,0
100340,1,经典赛（环球挑战）通关-芬兰,100341,10005,>=,1050310,0,1:1:50,0,1100,0,0
100341,1,经典赛（环球挑战）通关-波兰,100342,10005,>=,1050410,0,1:1:50,0,1100,0,0
100342,1,经典赛（环球挑战）通关-德国,100343,10005,>=,1050510,0,1:1:50,0,1100,0,0
100343,1,经典赛（环球挑战）通关-法国,100344,10005,>=,1050610,0,1:1:50,0,1100,0,0
100344,1,经典赛（环球挑战）通关-意大利,100345,10005,>=,1050710,0,1:1:50,0,1100,0,0
100345,1,经典赛（环球挑战）通关-希腊,100346,10005,>=,1050810,0,1:1:50,0,1100,0,0
100346,1,经典赛（环球挑战）通关-瑞典,100347,10005,>=,1050910,0,1:1:50,0,1100,0,0
100347,1,经典赛（环球挑战）通关-西班牙,100348,10005,>=,1051010,0,1:1:50,0,1100,0,0
100348,1,经典赛通关(困难)-中国,100349,10005,>=,2010110,0,1:1:50,0,1100,0,0
100349,1,经典赛通关(困难)-韩国,100350,10005,>=,2010210,0,1:1:50,0,1100,0,0
100350,1,经典赛通关(困难)-日本,100351,10005,>=,2010310,0,1:1:50,0,1100,0,0
100351,1,经典赛通关(困难)-菲律宾,100352,10005,>=,2010410,0,1:1:50,0,1100,0,0
100352,1,经典赛通关(困难)-泰国,100353,10005,>=,2010510,0,1:1:50,0,1100,0,0
100353,1,经典赛通关(困难)-印度,100354,10005,>=,2010610,0,1:1:50,0,1100,0,0
100354,1,经典赛通关(困难)-伊朗,100355,10005,>=,2010710,0,1:1:50,0,1100,0,0
100355,1,经典赛通关(困难)-安哥拉,100356,10005,>=,2020110,0,1:1:50,0,1100,0,0
100356,1,经典赛通关(困难)-尼日利亚,100357,10005,>=,2020210,0,1:1:50,0,1100,0,0
100357,1,经典赛通关(困难)-塞内加尔,100358,10005,>=,2020310,0,1:1:50,0,1100,0,0
100358,1,经典赛通关(困难)-科特迪瓦,100359,10005,>=,2020410,0,1:1:50,0,1100,0,0
100359,1,经典赛通关(困难)-埃及,100360,10005,>=,2020510,0,1:1:50,0,1100,0,0
100360,1,经典赛通关(困难)-喀麦隆,0,10005,>=,2020610,0,1:1:50,0,1100,0,0
100401,1,完成1场1级联赛的比赛,100402,10006,>=,1,0,1:1:50,0,1400,0,0
100402,1,完成5场1级联赛的比赛,100403,10006,>=,5,0,1:1:50,0,1400,0,0
100403,1,完成10场1级联赛的比赛,100404,10006,>=,10,0,1:1:50,0,1400,0,0
100404,1,完成20场1级联赛的比赛,100405,10006,>=,20,0,1:1:50,0,1400,0,0
100405,1,完成30场1级联赛的比赛,100406,10006,>=,30,0,1:1:50,0,1400,0,0
100406,1,完成一次联赛结算,100407,10011,>=,20,0,1:1:50,0,1400,0,0
100407,1,完成10场2级联赛的比赛,100408,10007,>=,10,0,1:1:50,0,1400,0,0
100408,1,完成20场2级联赛的比赛,100409,10007,>=,20,0,1:1:50,0,1400,0,0
100409,1,完成30场2级联赛的比赛,100410,10007,>=,30,0,1:1:50,0,1400,0,0
100410,1,进入2级联赛前10名,100411,10012,<=,10,0,1:1:50,0,1400,0,0
100411,1,完成10场3级联赛的比赛,100412,10008,>=,10,0,1:1:50,0,1400,0,0
100412,1,完成20场3级联赛的比赛,100413,10008,>=,20,0,1:1:50,0,1400,0,0
100413,1,完成30场3级联赛的比赛,100414,10008,>=,30,0,1:1:50,0,1400,0,0
100414,1,进入3级联赛前8名,100415,10013,<=,8,0,1:1:50,0,1400,0,0
100415,1,完成10场4级联赛的比赛,100416,10009,>=,10,0,1:1:50,0,1400,0,0
100416,1,完成20场4级联赛的比赛,100417,10009,>=,20,0,1:1:50,0,1400,0,0
100417,1,完成30场4级联赛的比赛,100418,10009,>=,30,0,1:1:50,0,1400,0,0
100418,1,进入4级联赛前6名,100419,10014,<=,6,0,1:1:50,0,1400,0,0
100419,1,完成10场5级联赛的比赛,100420,10010,>=,10,0,1:1:50,0,1400,0,0
100420,1,完成20场5级联赛的比赛,100421,10010,>=,20,0,1:1:50,0,1400,0,0
100421,1,完成30场5级联赛的比赛,100422,10010,>=,30,0,1:1:50,0,1400,0,0
100422,1,进入5级联赛前4名,0,10015,<=,4,0,1:1:50,0,1400,0,0
100423,1,完成10场6级联赛的比赛,100424,10016,>=,10,0,1:1:50,0,1400,0,0
100424,1,完成20场6级联赛的比赛,100425,10016,>=,20,0,1:1:50,0,1400,0,0
100425,1,完成30场6级联赛的比赛,100426,10016,>=,30,0,1:1:50,0,1400,0,0
100426,1,进入6级联赛前3名,100427,10021,<=,3,0,1:1:50,0,1400,0,0
100427,1,完成10场7级联赛的比赛,100428,10017,>=,10,0,1:1:50,0,1400,0,0
100428,1,完成20场7级联赛的比赛,100429,10017,>=,20,0,1:1:50,0,1400,0,0
100429,1,完成30场7级联赛的比赛,100430,10017,>=,30,0,1:1:50,0,1400,0,0
100430,1,进入7级联赛前3名,100431,10022,<=,3,0,1:1:50,0,1400,0,0
100431,1,完成10场8级联赛的比赛,100432,10018,>=,10,0,1:1:50,0,1400,0,0
100432,1,完成20场8级联赛的比赛,100433,10018,>=,20,0,1:1:50,0,1400,0,0
100433,1,完成30场8级联赛的比赛,100434,10018,>=,30,0,1:1:50,0,1400,0,0
100434,1,进入8级联赛前3名,100435,10023,<=,3,0,1:1:50,0,1400,0,0
100435,1,完成10场9级联赛的比赛,100436,10019,>=,10,0,1:1:50,0,1400,0,0
100436,1,完成20场9级联赛的比赛,100437,10019,>=,20,0,1:1:50,0,1400,0,0
100437,1,完成30场9级联赛的比赛,100438,10019,>=,30,0,1:1:50,0,1400,0,0
100438,1,进入9级联赛前3名,100439,10024,<=,3,0,1:1:50,0,1400,0,0
100439,1,完成10场10级联赛的比赛,100440,10020,>=,10,0,1:1:50,0,1400,0,0
100440,1,完成20场10级联赛的比赛,100441,10020,>=,20,0,1:1:50,0,1400,0,0
100441,1,完成30场10级联赛的比赛,100442,10020,>=,30,0,1:1:50,0,1400,0,0
100442,1,进入10级联赛前3名,0,10025,<=,3,0,1:1:50,0,1400,0,0
100501,1,完成1轮杯赛比赛,100502,10016,>=,1,0,1:1:50,0,1400,0,1
100502,1,完成3轮杯赛比赛,100503,10016,>=,3,0,1:1:50,0,1400,0,1
100503,1,完成5轮杯赛比赛,100504,10016,>=,5,0,2:400205:1,0,1400,0,1
100504,1,完成7轮杯赛比赛,100505,10016,>=,7,0,1:1:50,0,1400,0,1
100505,1,完成9轮杯赛比赛,100506,10016,>=,9,0,1:1:50,0,1400,0,1
100506,1,完成11轮杯赛比赛,100507,10016,>=,11,0,1:1:50,0,1400,0,1
100507,1,完成13轮杯赛比赛,100508,10016,>=,13,0,1:1:50,0,1400,0,1
100508,1,完成15轮杯赛比赛,100509,10016,>=,15,0,2:400205:1,0,1400,0,1
100509,1,完成17轮杯赛比赛,100510,10016,>=,17,0,1:1:50,0,1400,0,1
100510,1,完成19轮杯赛比赛,100511,10016,>=,19,0,1:1:50,0,1400,0,1
100511,1,完成21轮杯赛比赛,100512,10016,>=,21,0,1:1:50,0,1400,0,1
100512,1,完成23轮杯赛比赛,100513,10016,>=,23,0,1:1:50,0,1400,0,1
100513,1,完成25轮杯赛比赛,100514,10016,>=,25,0,2:400205:1,0,1400,0,1
100514,1,完成27轮杯赛比赛,100515,10016,>=,27,0,1:1:50,0,1400,0,1
100515,1,完成29轮杯赛比赛,100516,10016,>=,29,0,1:1:50,0,1400,0,1
100516,1,完成31轮杯赛比赛,100517,10016,>=,31,0,1:1:50,0,1400,0,1
100517,1,完成33轮杯赛比赛,100518,10016,>=,33,0,1:1:50,0,1400,0,1
100518,1,完成35轮杯赛比赛,100519,10016,>=,35,0,2:400205:1,0,1400,0,1
100519,1,完成38轮杯赛比赛,100520,10016,>=,38,0,1:1:50,0,1400,0,1
100520,1,完成41轮杯赛比赛,100521,10016,>=,41,0,1:1:50,0,1400,0,1
100521,1,完成44轮杯赛比赛,100522,10016,>=,44,0,1:1:50,0,1400,0,1
100522,1,完成47轮杯赛比赛,100523,10016,>=,47,0,1:1:50,0,1400,0,1
100523,1,完成50轮杯赛比赛,100524,10016,>=,50,0,2:400205:1,0,1400,0,1
100524,1,完成53轮杯赛比赛,100525,10016,>=,53,0,1:1:50,0,1400,0,1
100525,1,完成56轮杯赛比赛,100526,10016,>=,56,0,1:1:50,0,1400,0,1
100526,1,完成59轮杯赛比赛,100527,10016,>=,59,0,1:1:50,0,1400,0,1
100527,1,完成62轮杯赛比赛,100528,10016,>=,62,0,1:1:50,0,1400,0,1
100528,1,完成65轮杯赛比赛,100529,10016,>=,65,0,2:400205:1,0,1400,0,1
100529,1,完成68轮杯赛比赛,100530,10016,>=,68,0,1:1:50,0,1400,0,1
100530,1,完成71轮杯赛比赛,100531,10016,>=,71,0,1:1:50,0,1400,0,1
100531,1,完成74轮杯赛比赛,100532,10016,>=,74,0,1:1:50,0,1400,0,1
100532,1,完成77轮杯赛比赛,100533,10016,>=,77,0,1:1:50,0,1400,0,1
100533,1,完成80轮杯赛比赛,0,10016,>=,80,0,2:400205:1,0,1400,0,1
100601,1,在冠军赛中获胜1次,100602,20025,>=,1,0,1:1:50,0,1400,0,1
100602,1,在冠军赛中获胜3次,100603,20025,>=,3,0,1:1:50,0,1400,0,1
100603,1,在冠军赛中获胜5次,100604,20025,>=,5,0,1:1:50,0,1400,0,1
100604,1,在冠军赛中获胜8次,100605,20025,>=,8,0,1:1:50,0,1400,0,1
100605,1,在冠军赛中获胜12次,100606,20025,>=,12,0,1:1:50,0,1400,0,1
100606,1,在冠军赛中获胜16次,100607,20025,>=,16,0,1:1:50,0,1400,0,1
100607,1,在冠军赛中获胜20次,100608,20025,>=,20,0,1:1:50,0,1400,0,1
100608,1,在冠军赛中获胜25次,100609,20025,>=,25,0,1:1:50,0,1400,0,1
100609,1,在冠军赛中获胜30次,100610,20025,>=,30,0,1:1:50,0,1400,0,1
100610,1,在冠军赛中获胜35次,100611,20025,>=,35,0,1:1:50,0,1400,0,1
100611,1,在冠军赛中获胜40次,100612,20025,>=,40,0,1:1:50,0,1400,0,1
100612,1,在冠军赛中获胜45次,100613,20025,>=,45,0,1:1:50,0,1400,0,1
100613,1,在冠军赛中获胜50次,100614,20025,>=,50,0,1:1:50,0,1400,0,1
100614,1,在冠军赛中获胜60次,100615,20025,>=,60,0,1:1:50,0,1400,0,1
100615,1,在冠军赛中获胜70次,100616,20025,>=,70,0,1:1:50,0,1400,0,1
100616,1,在冠军赛中获胜80次,100617,20025,>=,80,0,1:1:50,0,1400,0,1
100617,1,在冠军赛中获胜90次,100618,20025,>=,90,0,1:1:50,0,1400,0,1
100618,1,在冠军赛中获胜100次,100619,20025,>=,100,0,1:1:50,0,1400,0,1
100619,1,在冠军赛中获胜110次,100620,20025,>=,110,0,1:1:50,0,1400,0,1
100620,1,在冠军赛中获胜120次,100621,20025,>=,120,0,1:1:50,0,1400,0,1
100621,1,在冠军赛中获胜130次,100622,20025,>=,130,0,1:1:50,0,1400,0,1
100622,1,在冠军赛中获胜140次,100623,20025,>=,140,0,1:1:50,0,1400,0,1
100623,1,在冠军赛中获胜150次,100624,20025,>=,150,0,1:1:50,0,1400,0,1
100624,1,在冠军赛中获胜160次,100625,20025,>=,160,0,1:1:50,0,1400,0,1
100625,1,在冠军赛中获胜170次,100626,20025,>=,170,0,1:1:50,0,1400,0,1
100626,1,在冠军赛中获胜180次,100627,20025,>=,180,0,1:1:50,0,1400,0,1
100627,1,在冠军赛中获胜190次,100628,20025,>=,190,0,1:1:50,0,1400,0,1
100628,1,在冠军赛中获胜200次,0,20025,>=,200,0,1:1:50,0,1400,0,1
200101,2,投篮项目升级10次,0,20007,>=,10,10,,16,1500,25,0
200102,2,篮板项目升级10次,0,20006,>=,10,10,,16,1500,25,0
200103,2,传球项目升级10次,0,20003,>=,10,10,,16,1500,25,0
200104,2,控球项目升级10次,0,20009,>=,10,10,,16,1500,25,0
200105,2,抢断项目升级10次,0,20008,>=,10,10,,16,1500,25,0
200106,2,防守项目升级10次,0,20004,>=,10,10,,16,1500,25,0
200107,2,盖帽项目升级10次,0,20010,>=,10,10,,16,1500,25,0
200108,2,扣篮项目升级10次,0,20005,>=,10,10,,16,1500,25,0
200109,2,身体项目升级10次,0,20002,>=,10,10,,16,1500,25,0
200110,2,稳定项目升级10次,0,20011,>=,10,10,,16,1500,25,0
200201,2,训练升级100次,0,20001,>=,100,10,,16,1500,25,0
200301,2,强化训练1次,0,20012,>=,1,10,,17,1501,25,0
200401,2,领取离线奖励1次,0,20013,>=,1,10,,16,1500,25,0
200501,2,完成2场邀请赛,0,20014,>=,2,10,,19,1503,25,0
200601,2,超能训练1次,0,20015,>=,1,10,,18,1502,25,0
200701,2,球星招募1次,0,20016,>=,1,10,,20,2200,25,0
200801,2,碎片回收1次,0,20017,>=,1,20,,14,2501,25,0
200901,2,特技学习1次,0,20018,>=,1,10,,10,1600,25,0
201001,2,进行3次排位赛挑战,0,20029,>=,3,20,,5,1300,30,0
201101,2,篮球殿堂获得15星,0,20033,>=,15,15,,0,2900,25,0
201201,2,消费100钻石,0,20021,>=,100,20,,13,2200,25,0
201301,2,完成3次悬赏任务,0,20032,>=,3,10,,0,1703,25,0
201401,2,完成20次经典赛,0,20019,>=,20,15,,0,1100,25,0
300101,3,累计训练升级1000次,0,20001,>=,1000,10,,16,1500,70,0
300201,3,强化训练50次,0,20012,>=,50,10,,17,1501,70,0
300301,3,领取离线奖励7次,0,20013,>=,7,10,,16,1500,70,0
300401,3,超能训练10次,0,20015,>=,10,10,,18,1502,70,0
300501,3,完成14场邀请赛,0,20014,>=,14,10,,19,1503,70,0
300601,3,球星招募20次,0,20016,>=,20,10,,20,2200,85,0
300701,3,球员升星1次,0,20022,>=,1,10,,21,2100,70,0
300801,3,特技学习7次,0,20018,>=,7,10,,10,1600,70,0
300901,3,进行15次排位赛挑战,0,20029,>=,15,10,,5,1300,70,0
301001,3,联赛获胜5场,0,20023,>=,5,10,,4,1400,70,0
301101,3,联赛获胜20场,0,20023,>=,20,20,,4,1400,70,0
301201,3,冠军赛获胜20场,0,20025,>=,20,10,,0,1400,70,1
301301,3,消费1000钻石,0,20021,>=,1000,20,,13,2200,70,0
301401,3,累计获得日常活跃600点,0,20026,>=,600,10,,7,1700,70,0
301501,3,完成20次悬赏任务,0,20032,>=,20,10,,0,1703,70,0
301601,3,完成180次经典赛,0,20019,>=,180,15,,0,1100,85,0
301701,3,篮球殿堂获得120星,0,20033,>=,120,15,,0,2900,70,0
