Id,EventId,Weight,Content,GroupContent
167,354,10,{time} {1}发边线球5秒违例,
168,355,10,{time} {1}踩线失误,
169,356,10,{time} {1}运球出界,
170,357,10,{time} {1}传球失误,
171,358,10,{time} {1}出界失误,
172,359,10,{time} {1}传球出界失误,
173,360,10,{time} {1}犯规,
174,361,10,{time} {1}掩护犯规,
175,362,10,{time} {1}争抢球犯规,
176,363,10,{time} {1}进攻犯规,
177,364,10,{time} {1}犯规,
178,365,10,{time} {1}无球犯规,
179,366,10,{time} {1}犯规,
180,367,10,{time} {1}技术犯规,
181,368,10,{time} {1}违体犯规,
182,369,10,{time} {1}犯规,
183,370,10,{time} {1}2级恶意犯规,
184,371,10,{time} {1}1级犯规,
185,374,10,{time} {1}言语犯规,
186,375,10,{time} {1}进攻撞人犯规,
187,376,10,{time} {1}盖帽犯规,
188,377,10,{time} {1}个人延误犯规,
189,378,10,{time} {1}盖帽犯规,
