Id,Part,Position,Level,Cost,Ability,CardLevel
104012,1,4,12,2:600307:72,"{""1"":194,""6"":216}",42
104013,1,4,13,2:600407:78,"{""1"":211,""6"":234}",46
104014,1,4,14,2:600407:84,"{""1"":227,""6"":252}",50
104015,1,4,15,2:600407:90,"{""1"":243,""6"":270}",54
104016,1,4,16,2:600407:96,"{""1"":259,""6"":288}",58
104017,1,4,17,2:600407:102,"{""1"":275,""6"":306}",62
104018,1,4,18,2:600407:108,"{""1"":292,""6"":324}",66
104019,1,4,19,2:600407:114,"{""1"":308,""6"":342}",70
104020,1,4,20,2:600507:120,"{""1"":324,""6"":360}",74
104021,1,4,21,2:600507:126,"{""1"":340,""6"":378}",78
104022,1,4,22,2:600507:132,"{""1"":356,""6"":396}",82
104023,1,4,23,2:600507:138,"{""1"":373,""6"":414}",86
104024,1,4,24,2:600507:144,"{""1"":389,""6"":432}",90
104025,1,4,25,2:600507:150,"{""1"":405,""6"":450}",94
104026,1,4,26,2:600507:156,"{""1"":421,""6"":468}",98
104027,1,4,27,2:600507:162,"{""1"":437,""6"":486}",102
104028,1,4,28,2:600607:168,"{""1"":454,""6"":504}",106
104029,1,4,29,2:600607:174,"{""1"":470,""6"":522}",110
104030,1,4,30,2:600607:180,"{""1"":486,""6"":540}",114
104031,1,4,31,2:600607:186,"{""1"":502,""6"":558}",118
104032,1,4,32,2:600607:192,"{""1"":518,""6"":576}",122
104033,1,4,33,2:600607:198,"{""1"":535,""6"":594}",126
104034,1,4,34,2:600607:204,"{""1"":551,""6"":612}",130
104035,1,4,35,2:600607:210,"{""1"":567,""6"":630}",134
104036,1,4,36,2:600607:216,"{""1"":583,""6"":648}",138
105001,1,5,1,2:600105:7,"{""1"":16,""6"":18}",0
105002,1,5,2,2:600105:14,"{""1"":32,""6"":36}",0
105003,1,5,3,2:600105:21,"{""1"":49,""6"":54}",7
105004,1,5,4,2:600209:28,"{""1"":65,""6"":72}",11
105005,1,5,5,2:600209:35,"{""1"":81,""6"":90}",15
105006,1,5,6,2:600209:42,"{""1"":97,""6"":108}",19
105007,1,5,7,2:600209:49,"{""1"":113,""6"":126}",23
105008,1,5,8,2:600309:56,"{""1"":130,""6"":144}",27
105009,1,5,9,2:600309:63,"{""1"":146,""6"":162}",31
105010,1,5,10,2:600309:70,"{""1"":162,""6"":180}",35
105011,1,5,11,2:600309:77,"{""1"":178,""6"":198}",39
105012,1,5,12,2:600309:84,"{""1"":194,""6"":216}",43
105013,1,5,13,2:600409:91,"{""1"":211,""6"":234}",47
105014,1,5,14,2:600409:98,"{""1"":227,""6"":252}",51
105015,1,5,15,2:600409:105,"{""1"":243,""6"":270}",55
105016,1,5,16,2:600409:112,"{""1"":259,""6"":288}",59
105017,1,5,17,2:600409:119,"{""1"":275,""6"":306}",63
105018,1,5,18,2:600409:126,"{""1"":292,""6"":324}",67
105019,1,5,19,2:600409:133,"{""1"":308,""6"":342}",71
105020,1,5,20,2:600509:140,"{""1"":324,""6"":360}",75
105021,1,5,21,2:600509:147,"{""1"":340,""6"":378}",79
105022,1,5,22,2:600509:154,"{""1"":356,""6"":396}",83
105023,1,5,23,2:600509:161,"{""1"":373,""6"":414}",87
105024,1,5,24,2:600509:168,"{""1"":389,""6"":432}",91
105025,1,5,25,2:600509:175,"{""1"":405,""6"":450}",95
105026,1,5,26,2:600509:182,"{""1"":421,""6"":468}",99
105027,1,5,27,2:600509:189,"{""1"":437,""6"":486}",103
105028,1,5,28,2:600609:196,"{""1"":454,""6"":504}",107
105029,1,5,29,2:600609:203,"{""1"":470,""6"":522}",111
105030,1,5,30,2:600609:210,"{""1"":486,""6"":540}",115
105031,1,5,31,2:600609:217,"{""1"":502,""6"":558}",119
105032,1,5,32,2:600609:224,"{""1"":518,""6"":576}",123
105033,1,5,33,2:600609:231,"{""1"":535,""6"":594}",127
105034,1,5,34,2:600609:238,"{""1"":551,""6"":612}",131
105035,1,5,35,2:600609:245,"{""1"":567,""6"":630}",135
105036,1,5,36,2:600609:252,"{""1"":583,""6"":648}",139
201001,2,1,1,2:600102:3,"{""3"":21,""5"":24,""8"":13}",0
201002,2,1,2,2:600102:6,"{""3"":41,""5"":49,""8"":25}",0
201003,2,1,3,2:600102:9,"{""3"":62,""5"":73,""8"":38}",6
201004,2,1,4,2:600202:12,"{""3"":83,""5"":97,""8"":50}",10
201005,2,1,5,2:600202:15,"{""3"":104,""5"":122,""8"":63}",14
201006,2,1,6,2:600202:18,"{""3"":124,""5"":146,""8"":76}",18
201007,2,1,7,2:600202:21,"{""3"":145,""5"":170,""8"":88}",22
201008,2,1,8,2:600302:24,"{""3"":166,""5"":194,""8"":101}",26
201009,2,1,9,2:600302:27,"{""3"":186,""5"":219,""8"":113}",30
201010,2,1,10,2:600302:30,"{""3"":207,""5"":243,""8"":126}",34
201011,2,1,11,2:600302:33,"{""3"":228,""5"":267,""8"":139}",38
201012,2,1,12,2:600302:36,"{""3"":248,""5"":292,""8"":151}",42
201013,2,1,13,2:600402:39,"{""3"":269,""5"":316,""8"":164}",46
201014,2,1,14,2:600402:42,"{""3"":290,""5"":340,""8"":176}",50
201015,2,1,15,2:600402:45,"{""3"":311,""5"":365,""8"":189}",54
201016,2,1,16,2:600402:48,"{""3"":331,""5"":389,""8"":202}",58
201017,2,1,17,2:600402:51,"{""3"":352,""5"":413,""8"":214}",62
201018,2,1,18,2:600402:54,"{""3"":373,""5"":437,""8"":227}",66
201019,2,1,19,2:600402:57,"{""3"":393,""5"":462,""8"":239}",70
201020,2,1,20,2:600502:60,"{""3"":414,""5"":486,""8"":252}",74
201021,2,1,21,2:600502:63,"{""3"":435,""5"":510,""8"":265}",78
201022,2,1,22,2:600502:66,"{""3"":455,""5"":535,""8"":277}",82
201023,2,1,23,2:600502:69,"{""3"":476,""5"":559,""8"":290}",86
201024,2,1,24,2:600502:72,"{""3"":497,""5"":583,""8"":302}",90
201025,2,1,25,2:600502:75,"{""3"":518,""5"":608,""8"":315}",94
201026,2,1,26,2:600502:78,"{""3"":538,""5"":632,""8"":328}",98
201027,2,1,27,2:600502:81,"{""3"":559,""5"":656,""8"":340}",102
201028,2,1,28,2:600602:84,"{""3"":580,""5"":680,""8"":353}",106
201029,2,1,29,2:600602:87,"{""3"":600,""5"":705,""8"":365}",110
201030,2,1,30,2:600602:90,"{""3"":621,""5"":729,""8"":378}",114
201031,2,1,31,2:600602:93,"{""3"":642,""5"":753,""8"":391}",118
201032,2,1,32,2:600602:96,"{""3"":662,""5"":778,""8"":403}",122
201033,2,1,33,2:600602:99,"{""3"":683,""5"":802,""8"":416}",126
201034,2,1,34,2:600602:102,"{""3"":704,""5"":826,""8"":428}",130
201035,2,1,35,2:600602:105,"{""3"":725,""5"":851,""8"":441}",134
201036,2,1,36,2:600602:108,"{""3"":745,""5"":875,""8"":454}",138
202001,2,2,1,2:600103:6,"{""3"":20,""5"":23,""8"":9}",0
202002,2,2,2,2:600103:12,"{""3"":40,""5"":47,""8"":18}",0
202003,2,2,3,2:600103:18,"{""3"":59,""5"":70,""8"":27}",5
202004,2,2,4,2:600204:24,"{""3"":79,""5"":94,""8"":36}",9
202005,2,2,5,2:600204:30,"{""3"":99,""5"":117,""8"":45}",13
202006,2,2,6,2:600204:36,"{""3"":119,""5"":140,""8"":54}",17
202007,2,2,7,2:600204:42,"{""3"":139,""5"":164,""8"":63}",21
202008,2,2,8,2:600304:48,"{""3"":158,""5"":187,""8"":72}",25
202009,2,2,9,2:600304:54,"{""3"":178,""5"":211,""8"":81}",29
202010,2,2,10,2:600304:60,"{""3"":198,""5"":234,""8"":90}",33
202011,2,2,11,2:600304:66,"{""3"":218,""5"":257,""8"":99}",37
202012,2,2,12,2:600304:72,"{""3"":238,""5"":281,""8"":108}",41
202013,2,2,13,2:600404:78,"{""3"":257,""5"":304,""8"":117}",45
202014,2,2,14,2:600404:84,"{""3"":277,""5"":328,""8"":126}",49
202015,2,2,15,2:600404:90,"{""3"":297,""5"":351,""8"":135}",53
202016,2,2,16,2:600404:96,"{""3"":317,""5"":374,""8"":144}",57
202017,2,2,17,2:600404:102,"{""3"":337,""5"":398,""8"":153}",61
202018,2,2,18,2:600404:108,"{""3"":356,""5"":421,""8"":162}",65
202019,2,2,19,2:600404:114,"{""3"":376,""5"":445,""8"":171}",69
202020,2,2,20,2:600504:120,"{""3"":396,""5"":468,""8"":180}",73
202021,2,2,21,2:600504:126,"{""3"":416,""5"":491,""8"":189}",77
202022,2,2,22,2:600504:132,"{""3"":436,""5"":515,""8"":198}",81
202023,2,2,23,2:600504:138,"{""3"":455,""5"":538,""8"":207}",85
202024,2,2,24,2:600504:144,"{""3"":475,""5"":562,""8"":216}",89
202025,2,2,25,2:600504:150,"{""3"":495,""5"":585,""8"":225}",93
202026,2,2,26,2:600504:156,"{""3"":515,""5"":608,""8"":234}",97
202027,2,2,27,2:600504:162,"{""3"":535,""5"":632,""8"":243}",101
202028,2,2,28,2:600604:168,"{""3"":554,""5"":655,""8"":252}",105
202029,2,2,29,2:600604:174,"{""3"":574,""5"":679,""8"":261}",109
202030,2,2,30,2:600604:180,"{""3"":594,""5"":702,""8"":270}",113
202031,2,2,31,2:600604:186,"{""3"":614,""5"":725,""8"":279}",117
202032,2,2,32,2:600604:192,"{""3"":634,""5"":749,""8"":288}",121
202033,2,2,33,2:600604:198,"{""3"":653,""5"":772,""8"":297}",125
202034,2,2,34,2:600604:204,"{""3"":673,""5"":796,""8"":306}",129
202035,2,2,35,2:600604:210,"{""3"":693,""5"":819,""8"":315}",133
202036,2,2,36,2:600604:216,"{""3"":713,""5"":842,""8"":324}",137
203001,2,3,1,2:600104:5,"{""3"":18,""5"":18,""8"":18}",0
203002,2,3,2,2:600104:10,"{""3"":36,""5"":36,""8"":36}",0
203003,2,3,3,2:600104:15,"{""3"":54,""5"":54,""8"":54}",4
203004,2,3,4,2:600206:20,"{""3"":72,""5"":72,""8"":72}",8
203005,2,3,5,2:600206:25,"{""3"":90,""5"":90,""8"":90}",12
203006,2,3,6,2:600206:30,"{""3"":108,""5"":108,""8"":108}",16
203007,2,3,7,2:600206:35,"{""3"":126,""5"":126,""8"":126}",20
203008,2,3,8,2:600306:40,"{""3"":144,""5"":144,""8"":144}",24
203009,2,3,9,2:600306:45,"{""3"":162,""5"":162,""8"":162}",28
203010,2,3,10,2:600306:50,"{""3"":180,""5"":180,""8"":180}",32
203011,2,3,11,2:600306:55,"{""3"":198,""5"":198,""8"":198}",36
203012,2,3,12,2:600306:60,"{""3"":216,""5"":216,""8"":216}",40
203013,2,3,13,2:600406:65,"{""3"":234,""5"":234,""8"":234}",44
203014,2,3,14,2:600406:70,"{""3"":252,""5"":252,""8"":252}",48
203015,2,3,15,2:600406:75,"{""3"":270,""5"":270,""8"":270}",52
203016,2,3,16,2:600406:80,"{""3"":288,""5"":288,""8"":288}",56
203017,2,3,17,2:600406:85,"{""3"":306,""5"":306,""8"":306}",60
203018,2,3,18,2:600406:90,"{""3"":324,""5"":324,""8"":324}",64
203019,2,3,19,2:600406:95,"{""3"":342,""5"":342,""8"":342}",68
203020,2,3,20,2:600506:100,"{""3"":360,""5"":360,""8"":360}",72
203021,2,3,21,2:600506:105,"{""3"":378,""5"":378,""8"":378}",76
203022,2,3,22,2:600506:110,"{""3"":396,""5"":396,""8"":396}",80
203023,2,3,23,2:600506:115,"{""3"":414,""5"":414,""8"":414}",84
203024,2,3,24,2:600506:120,"{""3"":432,""5"":432,""8"":432}",88
203025,2,3,25,2:600506:125,"{""3"":450,""5"":450,""8"":450}",92
203026,2,3,26,2:600506:130,"{""3"":468,""5"":468,""8"":468}",96
203027,2,3,27,2:600506:135,"{""3"":486,""5"":486,""8"":486}",100
203028,2,3,28,2:600606:140,"{""3"":504,""5"":504,""8"":504}",104
203029,2,3,29,2:600606:145,"{""3"":522,""5"":522,""8"":522}",108
203030,2,3,30,2:600606:150,"{""3"":540,""5"":540,""8"":540}",112
203031,2,3,31,2:600606:155,"{""3"":558,""5"":558,""8"":558}",116
203032,2,3,32,2:600606:160,"{""3"":576,""5"":576,""8"":576}",120
203033,2,3,33,2:600606:165,"{""3"":594,""5"":594,""8"":594}",124
203034,2,3,34,2:600606:170,"{""3"":612,""5"":612,""8"":612}",128
203035,2,3,35,2:600606:175,"{""3"":630,""5"":630,""8"":630}",132
203036,2,3,36,2:600606:180,"{""3"":648,""5"":648,""8"":648}",136
204001,2,4,1,2:600105:7,"{""3"":16,""5"":12,""8"":25}",0
204002,2,4,2,2:600105:14,"{""3"":32,""5"":23,""8"":50}",0
204003,2,4,3,2:600105:21,"{""3"":49,""5"":35,""8"":76}",7
204004,2,4,4,2:600208:28,"{""3"":65,""5"":47,""8"":101}",11
204005,2,4,5,2:600208:35,"{""3"":81,""5"":59,""8"":126}",15
204006,2,4,6,2:600208:42,"{""3"":97,""5"":70,""8"":151}",19
204007,2,4,7,2:600208:49,"{""3"":113,""5"":82,""8"":176}",23
204008,2,4,8,2:600308:56,"{""3"":130,""5"":94,""8"":202}",27
204009,2,4,9,2:600308:63,"{""3"":146,""5"":105,""8"":227}",31
204010,2,4,10,2:600308:70,"{""3"":162,""5"":117,""8"":252}",35
204011,2,4,11,2:600308:77,"{""3"":178,""5"":129,""8"":277}",39
204012,2,4,12,2:600308:84,"{""3"":194,""5"":140,""8"":302}",43
204013,2,4,13,2:600408:91,"{""3"":211,""5"":152,""8"":328}",47
204014,2,4,14,2:600408:98,"{""3"":227,""5"":164,""8"":353}",51
204015,2,4,15,2:600408:105,"{""3"":243,""5"":176,""8"":378}",55
204016,2,4,16,2:600408:112,"{""3"":259,""5"":187,""8"":403}",59
204017,2,4,17,2:600408:119,"{""3"":275,""5"":199,""8"":428}",63
204018,2,4,18,2:600408:126,"{""3"":292,""5"":211,""8"":454}",67
204019,2,4,19,2:600408:133,"{""3"":308,""5"":222,""8"":479}",71
204020,2,4,20,2:600508:140,"{""3"":324,""5"":234,""8"":504}",75
204021,2,4,21,2:600508:147,"{""3"":340,""5"":246,""8"":529}",79
204022,2,4,22,2:600508:154,"{""3"":356,""5"":257,""8"":554}",83
204023,2,4,23,2:600508:161,"{""3"":373,""5"":269,""8"":580}",87
204024,2,4,24,2:600508:168,"{""3"":389,""5"":281,""8"":605}",91
204025,2,4,25,2:600508:175,"{""3"":405,""5"":293,""8"":630}",95
204026,2,4,26,2:600508:182,"{""3"":421,""5"":304,""8"":655}",99
204027,2,4,27,2:600508:189,"{""3"":437,""5"":316,""8"":680}",103
204028,2,4,28,2:600608:196,"{""3"":454,""5"":328,""8"":706}",107
204029,2,4,29,2:600608:203,"{""3"":470,""5"":339,""8"":731}",111
204030,2,4,30,2:600608:210,"{""3"":486,""5"":351,""8"":756}",115
204031,2,4,31,2:600608:217,"{""3"":502,""5"":363,""8"":781}",119
204032,2,4,32,2:600608:224,"{""3"":518,""5"":374,""8"":806}",123
204033,2,4,33,2:600608:231,"{""3"":535,""5"":386,""8"":832}",127
204034,2,4,34,2:600608:238,"{""3"":551,""5"":398,""8"":857}",131
204035,2,4,35,2:600608:245,"{""3"":567,""5"":410,""8"":882}",135
204036,2,4,36,2:600608:252,"{""3"":583,""5"":421,""8"":907}",139
205001,2,5,1,2:600106:4,"{""3"":15,""5"":13,""8"":25}",0
205002,2,5,2,2:600106:8,"{""3"":31,""5"":25,""8"":50}",0
205003,2,5,3,2:600106:12,"{""3"":46,""5"":38,""8"":76}",8
205004,2,5,4,2:600210:16,"{""3"":61,""5"":50,""8"":101}",12
205005,2,5,5,2:600210:20,"{""3"":77,""5"":63,""8"":126}",16
205006,2,5,6,2:600210:24,"{""3"":92,""5"":76,""8"":151}",20
205007,2,5,7,2:600210:28,"{""3"":107,""5"":88,""8"":176}",24
205008,2,5,8,2:600310:32,"{""3"":122,""5"":101,""8"":202}",28
205009,2,5,9,2:600310:36,"{""3"":138,""5"":113,""8"":227}",32
205010,2,5,10,2:600310:40,"{""3"":153,""5"":126,""8"":252}",36
205011,2,5,11,2:600310:44,"{""3"":168,""5"":139,""8"":277}",40
205012,2,5,12,2:600310:48,"{""3"":184,""5"":151,""8"":302}",44
205013,2,5,13,2:600410:52,"{""3"":199,""5"":164,""8"":328}",48
205014,2,5,14,2:600410:56,"{""3"":214,""5"":176,""8"":353}",52
205015,2,5,15,2:600410:60,"{""3"":230,""5"":189,""8"":378}",56
205016,2,5,16,2:600410:64,"{""3"":245,""5"":202,""8"":403}",60
205017,2,5,17,2:600410:68,"{""3"":260,""5"":214,""8"":428}",64
205018,2,5,18,2:600410:72,"{""3"":275,""5"":227,""8"":454}",68
205019,2,5,19,2:600410:76,"{""3"":291,""5"":239,""8"":479}",72
205020,2,5,20,2:600510:80,"{""3"":306,""5"":252,""8"":504}",76
205021,2,5,21,2:600510:84,"{""3"":321,""5"":265,""8"":529}",80
205022,2,5,22,2:600510:88,"{""3"":337,""5"":277,""8"":554}",84
205023,2,5,23,2:600510:92,"{""3"":352,""5"":290,""8"":580}",88
205024,2,5,24,2:600510:96,"{""3"":367,""5"":302,""8"":605}",92
205025,2,5,25,2:600510:100,"{""3"":383,""5"":315,""8"":630}",96
205026,2,5,26,2:600510:104,"{""3"":398,""5"":328,""8"":655}",100
205027,2,5,27,2:600510:108,"{""3"":413,""5"":340,""8"":680}",104
205028,2,5,28,2:600610:112,"{""3"":428,""5"":353,""8"":706}",108
205029,2,5,29,2:600610:116,"{""3"":444,""5"":365,""8"":731}",112
205030,2,5,30,2:600610:120,"{""3"":459,""5"":378,""8"":756}",116
205031,2,5,31,2:600610:124,"{""3"":474,""5"":391,""8"":781}",120
205032,2,5,32,2:600610:128,"{""3"":490,""5"":403,""8"":806}",124
205033,2,5,33,2:600610:132,"{""3"":505,""5"":416,""8"":832}",128
205034,2,5,34,2:600610:136,"{""3"":520,""5"":428,""8"":857}",132
205035,2,5,35,2:600610:140,"{""3"":536,""5"":441,""8"":882}",136
205036,2,5,36,2:600610:144,"{""3"":551,""5"":454,""8"":907}",140
301001,3,1,1,2:600104:7,"{""2"":14,""7"":18}",0
301002,3,1,2,2:600104:14,"{""2"":29,""7"":36}",0
301003,3,1,3,2:600104:21,"{""2"":43,""7"":54}",7
301004,3,1,4,2:600204:28,"{""2"":58,""7"":72}",11
301005,3,1,5,2:600204:35,"{""2"":72,""7"":90}",15
301006,3,1,6,2:600204:42,"{""2"":86,""7"":108}",19
301007,3,1,7,2:600204:49,"{""2"":101,""7"":126}",23
301008,3,1,8,2:600304:56,"{""2"":115,""7"":144}",27
301009,3,1,9,2:600304:63,"{""2"":130,""7"":162}",31
301010,3,1,10,2:600304:70,"{""2"":144,""7"":180}",35
301011,3,1,11,2:600304:77,"{""2"":158,""7"":198}",39
301012,3,1,12,2:600304:84,"{""2"":173,""7"":216}",43
301013,3,1,13,2:600404:91,"{""2"":187,""7"":234}",47
301014,3,1,14,2:600404:98,"{""2"":202,""7"":252}",51
301015,3,1,15,2:600404:105,"{""2"":216,""7"":270}",55
301016,3,1,16,2:600404:112,"{""2"":230,""7"":288}",59
301017,3,1,17,2:600404:119,"{""2"":245,""7"":306}",63
301018,3,1,18,2:600404:126,"{""2"":259,""7"":324}",67
301019,3,1,19,2:600404:133,"{""2"":274,""7"":342}",71
301020,3,1,20,2:600504:140,"{""2"":288,""7"":360}",75
301021,3,1,21,2:600504:147,"{""2"":302,""7"":378}",79
301022,3,1,22,2:600504:154,"{""2"":317,""7"":396}",83
301023,3,1,23,2:600504:161,"{""2"":331,""7"":414}",87
301024,3,1,24,2:600504:168,"{""2"":346,""7"":432}",91
301025,3,1,25,2:600504:175,"{""2"":360,""7"":450}",95
301026,3,1,26,2:600504:182,"{""2"":374,""7"":468}",99
301027,3,1,27,2:600504:189,"{""2"":389,""7"":486}",103
301028,3,1,28,2:600604:196,"{""2"":403,""7"":504}",107
301029,3,1,29,2:600604:203,"{""2"":418,""7"":522}",111
