Id,BoxId,Group,RewardType,RewardId,RewardNum,Weight
68,200119,1,1,2,5000,100
69,200119,2,2,200120,1,100
70,200119,3,2,400103,10,100
71,200119,4,2,100108,20,100
72,200120,1,1,2,5000,100
73,200120,2,2,400103,30,100
74,200120,3,2,100108,20,100
75,200201,1,3,104009,1,50
76,200201,1,3,104011,1,50
77,200201,1,3,104012,1,50
78,200201,1,3,104015,1,100
79,200201,1,3,104017,1,100
80,200201,1,3,104018,1,100
81,200201,1,3,104019,1,100
82,200201,1,3,104020,1,100
83,200201,1,3,104023,1,100
84,200201,1,3,104025,1,100
85,200201,1,3,104026,1,100
86,200201,1,3,104027,1,100
87,200201,1,3,104028,1,100
88,200201,1,3,104030,1,100
89,200202,1,3,104012,1,50
90,200202,1,3,104017,1,50
91,200202,1,3,104018,1,100
92,200202,1,3,104020,1,100
93,200202,1,3,104023,1,100
94,200202,1,3,104025,1,100
95,200203,1,3,104026,1,50
96,200203,1,3,104028,1,100
97,200203,1,3,104030,1,100
98,200204,1,3,104009,1,100
99,200204,1,3,104011,1,100
100,200204,1,3,104015,1,100
101,200204,1,3,104019,1,100
102,200211,1,3,103001,1,100
103,200211,1,3,103002,1,100
104,200211,1,3,103003,1,100
105,200211,1,3,103004,1,100
106,200211,1,3,103005,1,100
107,200211,1,3,103006,1,100
108,200211,1,3,103007,1,100
109,200211,1,3,103008,1,100
110,200211,1,3,103009,1,100
111,200211,1,3,103010,1,100
112,200211,1,3,103011,1,100
113,200211,1,3,103012,1,100
114,200211,1,3,103013,1,100
115,200211,1,3,103014,1,100
116,200211,1,3,103015,1,100
117,200211,1,3,103016,1,100
118,200211,1,3,103017,1,100
119,200211,1,3,103018,1,100
120,200211,1,3,103019,1,100
121,200211,1,3,103020,1,100
122,200211,1,3,103021,1,100
123,200211,1,3,103022,1,100
124,200211,1,3,103023,1,100
125,200211,1,3,103024,1,100
126,200211,1,3,103025,1,100
127,200211,1,3,103026,1,100
128,200211,1,3,103027,1,100
129,200211,1,3,103028,1,100
130,200211,1,3,103029,1,100
131,200211,1,3,103030,1,100
132,200211,1,3,103031,1,100
133,200211,1,3,103032,1,100
134,200211,1,3,103033,1,100
135,200211,1,3,103034,1,100
136,200211,1,3,103035,1,100
137,200211,1,3,103036,1,100
138,200211,1,3,103037,1,100
139,200211,1,3,103038,1,100
140,200211,1,3,103039,1,100
141,200211,1,3,103040,1,100
142,200211,1,3,103041,1,100
143,200211,1,3,103042,1,100
144,200212,1,3,103004,1,100
145,200212,1,3,103005,1,100
146,200212,1,3,103006,1,100
147,200212,1,3,103007,1,100
148,200212,1,3,103008,1,100
149,200212,1,3,103010,1,100
150,200212,1,3,103016,1,100
151,200212,1,3,103019,1,100
152,200212,1,3,103021,1,100
153,200212,1,3,103024,1,100
154,200212,1,3,103026,1,100
155,200212,1,3,103028,1,100
156,200212,1,3,103030,1,100
157,200212,1,3,103032,1,100
158,200212,1,3,103038,1,100
159,200212,1,3,103040,1,100
160,200212,1,3,103041,1,100
161,200212,1,3,103042,1,100
162,200212,1,3,102005,1,100
163,200213,1,3,103002,1,100
164,200213,1,3,103011,1,100
165,200213,1,3,103013,1,100
166,200213,1,3,103014,1,100
167,200213,1,3,103015,1,100
168,200213,1,3,103020,1,100
169,200213,1,3,103022,1,100
170,200213,1,3,103025,1,100
171,200213,1,3,103027,1,100
172,200213,1,3,103029,1,100
173,200213,1,3,103031,1,100
174,200213,1,3,103033,1,100
175,200213,1,3,103034,1,100
176,200213,1,3,103035,1,100
177,200213,1,3,103036,1,100
178,200213,1,3,103037,1,100
179,200213,1,3,103039,1,100
180,200213,1,3,102005,1,100
181,200214,1,3,103001,1,100
182,200214,1,3,103003,1,100
183,200214,1,3,103009,1,100
184,200214,1,3,103012,1,100
185,200214,1,3,103017,1,100
186,200214,1,3,103018,1,100
187,200214,1,3,103023,1,100
188,200215,1,2,600101,1,100
189,200215,1,2,600102,1,100
190,200215,1,2,600103,1,100
191,200215,1,2,600104,1,100
192,200215,1,2,600105,1,100
193,200215,1,2,600106,1,100
194,200215,1,2,600107,1,100
195,200215,1,2,600108,1,100
196,200215,1,2,600109,1,100
197,200215,1,2,600110,1,100
198,200216,1,2,600201,1,100
199,200216,1,2,600202,1,100
200,200216,1,2,600203,1,100
201,200216,1,2,600204,1,100
202,200216,1,2,600205,1,100
203,200216,1,2,600206,1,100
204,200216,1,2,600207,1,100
205,200216,1,2,600208,1,100
206,200216,1,2,600209,1,100
207,200216,1,2,600210,1,100
208,200217,1,2,600301,1,100
209,200217,1,2,600302,1,100
210,200217,1,2,600303,1,100
211,200217,1,2,600304,1,100
212,200217,1,2,600305,1,100
213,200217,1,2,600306,1,100
214,200217,1,2,600307,1,100
215,200217,1,2,600308,1,100
216,200217,1,2,600309,1,100
217,200217,1,2,600310,1,100
218,200218,1,2,600401,1,100
219,200218,1,2,600402,1,100
220,200218,1,2,600403,1,100
221,200218,1,2,600404,1,100
222,200218,1,2,600405,1,100
223,200218,1,2,600406,1,100
224,200218,1,2,600407,1,100
225,200218,1,2,600408,1,100
226,200218,1,2,600409,1,100
227,200218,1,2,600410,1,100
228,200219,1,2,600501,1,100
229,200219,1,2,600502,1,100
230,200219,1,2,600503,1,100
231,200219,1,2,600504,1,100
232,200219,1,2,600505,1,100
233,200219,1,2,600506,1,100
234,200219,1,2,600507,1,100
235,200219,1,2,600508,1,100
236,200219,1,2,600509,1,100
237,200219,1,2,600510,1,100
238,200220,1,2,600601,1,100
239,200220,1,2,600602,1,100
240,200220,1,2,600603,1,100
241,200220,1,2,600604,1,100
242,200220,1,2,600605,1,100
243,200220,1,2,600606,1,100
244,200220,1,2,600607,1,100
245,200220,1,2,600608,1,100
246,200220,1,2,600609,1,100
247,200220,1,2,600610,1,100
248,200229,1,3,102001,1,100
249,200229,1,3,102002,1,100
250,200229,1,3,102003,1,100
251,200229,1,3,102004,1,100
252,200229,1,3,102005,1,100
253,200229,1,3,102006,1,100
254,200229,1,3,102007,1,100
255,200229,1,3,102008,1,100
256,200229,1,3,102009,1,100
257,200229,1,3,102010,1,100
258,200229,1,3,102011,1,100
259,200229,1,3,102012,1,100
260,200229,1,3,102013,1,100
261,200229,1,3,102014,1,100
262,200229,1,3,102015,1,100
263,200251,1,1,1,300,100
264,200251,2,1,2,5000,100
265,200251,3,2,100105,10,100
266,200251,4,2,200216,10,100
267,200252,1,1,1,100,100
268,200252,2,2,400201,1,100
269,200252,3,2,100105,10,100
270,200252,4,2,200216,10,100
271,200253,1,2,400206,1,100
272,200253,2,2,400202,1,100
273,200253,3,2,400203,1,100
274,200253,4,2,400204,1,100
275,200254,1,1,1,300,100
276,200254,2,2,200107,5,100
277,200254,3,2,100105,1,100
278,200254,4,2,200216,10,100
279,200255,1,2,303001,1,25
280,200255,1,2,303002,1,25
281,200255,1,2,303003,1,25
282,200255,1,2,303004,1,25
283,200255,1,2,303005,1,25
284,200255,1,2,303006,1,25
285,200255,1,2,303007,1,25
286,200255,1,2,303008,1,25
287,200255,1,2,303009,1,25
288,200255,1,2,303010,1,25
289,200255,1,2,303011,1,25
290,200255,1,2,303012,1,25
291,200255,1,2,303013,1,25
292,200255,1,2,303014,1,25
293,200255,1,2,303015,1,25
294,200255,1,2,303016,1,25
295,200255,1,2,303017,1,25
296,200255,1,2,303018,1,25
297,200255,1,2,303019,1,25
298,200255,1,2,303020,1,25
299,200255,1,2,303021,1,25
300,200255,1,2,303022,1,25
301,200255,1,2,303023,1,25
302,200255,1,2,303024,1,25
303,200255,1,2,303025,1,25
304,200255,1,2,303026,1,25
305,200255,1,2,303027,1,25
306,200255,1,2,303028,1,25
307,200255,1,2,303029,1,25
308,200255,1,2,303030,1,25
309,200255,1,2,303031,1,25
310,200255,1,2,303032,1,25
311,200255,1,2,303033,1,25
312,200255,1,2,303034,1,25
313,200255,1,2,303035,1,25
314,200255,1,2,303036,1,25
315,200255,1,2,303037,1,25
316,200255,1,2,303038,1,25
317,200255,1,2,303039,1,25
318,200255,1,2,303040,1,25
319,200255,1,2,302001,1,1000
320,200255,1,2,302002,1,1000
321,200255,1,2,302003,1,1000
322,200255,1,2,302004,1,1000
323,200255,1,2,302005,1,1000
324,200255,1,2,302006,1,1000
325,200255,1,2,302007,1,1000
326,200255,1,2,302008,1,1000
327,200255,1,2,302009,1,1000
328,200255,1,2,302010,1,1000
329,200255,1,2,302011,1,1000
330,200255,1,2,302012,1,1000
331,200255,1,2,302013,1,1000
332,200255,1,2,302014,1,1000
333,200255,1,2,302015,1,1000
334,200255,1,2,301001,1,5600
335,200255,1,2,301002,1,5600
336,200255,1,2,301003,1,5600
337,200255,1,2,301004,1,5600
338,200255,1,2,301005,1,5600
339,200255,1,2,301006,1,5600
340,200255,1,2,301007,1,5600
341,200255,1,2,301008,1,5600
342,200255,1,2,301009,1,5600
343,200255,1,2,301010,1,5600
344,200255,1,2,301011,1,5600
345,200255,1,2,301012,1,5600
346,200255,1,2,301013,1,5600
347,200255,1,2,301014,1,5600
348,200255,1,2,301015,1,5600
349,200256,1,2,400202,1,750
350,200256,1,2,400204,1,700
351,200256,1,2,400206,1,700
352,200256,1,2,400207,1,350
353,200256,1,2,400208,1,350
354,200256,1,2,400209,1,350
355,200257,1,2,501001,1,9500
356,200257,1,2,501001,10,300
357,200257,1,1,1,1000,100
358,200257,1,2,200201,1,30
359,200257,1,2,200202,1,30
360,200258,1,1,1,2023,5
361,200258,1,1,2,88888,15
362,200258,1,2,501001,5,20
363,200258,1,2,400102,5,35
364,200258,1,1,2,18888,200
365,200258,1,1,1,288,130
366,200258,1,2,400103,5,200
367,200258,1,2,501011,5,200
368,200258,1,1,2,6888,610
369,200258,1,1,1,68,485
370,200258,1,2,400207,1,700
371,200258,1,2,400208,1,700
372,200258,1,2,400209,1,700
373,200259,1,1,1,2023,5
374,200259,1,1,2,88888,145
375,200259,1,2,501001,5,150
376,200259,1,2,400102,5,200
377,200259,1,1,2,18888,600
378,200259,1,1,1,288,550
379,200259,1,2,400103,5,550
380,200259,1,2,501011,5,550
381,200259,1,1,2,6888,250
382,200259,1,1,1,68,400
383,200259,1,2,400207,1,200
384,200259,1,2,400208,1,200
385,200259,1,2,400209,1,200
386,200260,1,1,1,2023,100
387,200261,1,1,2,888,8000000
388,200261,1,1,2,6666,10000
389,200261,1,1,2,8888,8000
390,200261,1,1,2,66666,1000
391,200261,1,1,2,88888,300
392,200261,1,1,1,10,1000000
393,200261,1,1,1,18,600000
394,200261,1,1,1,28,50000
395,200261,1,1,1,38,20000
396,200261,1,1,1,66,10000
397,200261,1,1,1,88,8000
398,200261,1,1,1,188,2000
399,200261,1,1,1,666,800
400,200261,1,1,1,888,350
401,200261,1,1,1,2024,200
402,200261,1,2,100106,66,50
403,200261,1,2,100107,8,50
404,200261,1,2,400207,1,2000
405,200261,1,2,400208,1,2000
406,200261,1,2,400209,1,2000
407,200261,1,2,400102,1,300
408,200261,1,2,400102,3,100
409,200261,1,2,200231,3,50
410,200261,1,2,400151,1,180
411,200261,1,2,400201,1,300
412,200261,1,2,400201,10,50
413,200261,1,2,200201,1,50
414,200262,1,2,400207,1,100
415,200262,1,2,400208,1,100
416,200262,1,2,400209,1,100
417,200263,1,2,304003,1,100
418,200263,1,2,304038,1,100
419,200263,1,2,304010,1,100
420,200263,1,2,304006,1,100
421,200263,1,2,304004,1,100
422,200263,1,2,304026,1,100
423,200263,1,2,304032,1,100
424,200263,1,2,304023,1,100
425,200263,1,2,304035,1,100
426,200263,1,2,304007,1,100
427,200263,1,2,304031,1,100
428,200263,1,2,304014,1,100
429,200263,1,2,304012,1,100
430,200263,1,2,304027,1,100
431,200263,1,2,304008,1,100
432,200263,1,2,304034,1,100
433,200263,1,2,304009,1,100
434,200263,1,2,304016,1,100
435,200263,1,2,304033,1,100
436,200263,1,2,304040,1,100
437,200263,1,2,304041,1,100
438,200263,1,2,304042,1,100
439,200263,1,2,304043,1,100
440,200263,1,2,304044,1,100
441,200263,1,2,304045,1,100
442,200263,1,2,304046,1,100
443,200263,1,2,304047,1,100
444,200264,1,3,104003,1,100
445,200264,1,3,104038,1,100
446,200264,1,3,104010,1,100
447,200264,1,3,104006,1,100
448,200264,1,3,104004,1,100
449,200264,1,3,104026,1,100
450,200264,1,3,104032,1,100
451,200264,1,3,104023,1,100
452,200264,1,3,104035,1,100
453,200264,1,3,104007,1,100
454,200264,1,3,104031,1,100
455,200264,1,3,104014,1,100
456,200264,1,3,104012,1,100
457,200264,1,3,104027,1,100
458,200264,1,3,104008,1,100
459,200264,1,3,104034,1,100
460,200264,1,3,104009,1,100
461,200264,1,3,104016,1,100
462,200264,1,3,104033,1,100
463,200264,1,3,104040,1,100
464,200264,1,3,104041,1,100
465,200264,1,3,104042,1,100
466,200264,1,3,104043,1,100
467,200264,1,3,104044,1,100
468,200264,1,3,104045,1,100
469,200264,1,3,104046,1,100
470,200264,1,3,104047,1,100
471,200265,1,3,104003,1,100
472,200265,1,3,104038,1,100
473,200265,1,3,104010,1,100
474,200265,1,3,104006,1,100
475,200265,1,3,104004,1,100
476,200265,1,3,104026,1,100
477,200265,1,3,104032,1,100
478,200265,1,3,104023,1,100
479,200265,1,3,104035,1,100
480,200265,1,3,104007,1,100
481,200265,1,3,104031,1,100
482,200265,1,3,104014,1,100
483,200265,1,3,104012,1,100
484,200265,1,3,104027,1,100
485,200265,1,3,104008,1,100
486,200265,1,3,104034,1,100
487,200265,1,3,104009,1,100
488,200265,1,3,104016,1,100
489,200265,1,3,104033,1,100
490,200265,1,3,104040,1,100
491,200265,1,3,104041,1,100
492,200265,1,3,104042,1,100
493,200265,1,3,104043,1,100
494,200265,1,3,104044,1,100
495,200265,1,3,104045,1,100
496,200265,1,3,104046,1,100
497,200265,1,3,104047,1,100
498,200266,1,2,400202,1,1000
499,200266,1,2,400204,1,1000
500,200266,1,2,400206,1,1000
501,200267,1,2,400207,1,1000
502,200267,1,2,400208,1,1000
503,200267,1,2,400209,1,1000
504,200268,1,2,200260,1,300
505,200268,1,2,501001,1,500
506,200268,1,2,400101,1,150
507,200268,1,2,400102,1,300
508,200268,1,1,2,10000,900
