Id,Name,Des,UserLevel,Level,Map,LevelTxt,Number,Star1,Reward1,Star2,Reward2,Star3,Reward3,Unlock,Icon,NodeName
10507,意大利,欧洲普通联赛,42,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10506,144,chNode44
10508,希腊,欧洲普通联赛,43,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10507,145,chNode45
10509,瑞典,欧洲普通联赛,45,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10508,146,chNode46
10510,西班牙,欧洲普通联赛,45,1,105,普通,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10509,147,chNode47
20101,中国,亚洲困难联赛,46,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,10510,101,chNode1
20102,韩国,亚洲困难联赛,46,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20101,102,chNode2
20103,日本,亚洲困难联赛,47,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20102,103,chNode3
20104,菲律宾,亚洲困难联赛,47,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20103,104,chNode4
20105,泰国,亚洲困难联赛,48,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20104,105,chNode5
20106,印度,亚洲困难联赛,48,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20105,106,chNode6
20107,伊朗,亚洲困难联赛,49,2,201,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20106,107,chNode7
20201,安哥拉,非洲困难联赛,49,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20107,108,chNode8
20202,尼日利亚,非洲困难联赛,50,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20201,109,chNode9
20203,塞内加尔,非洲困难联赛,50,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20202,110,chNode10
20204,科特迪瓦,非洲困难联赛,51,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20203,111,chNode11
20205,埃及,非洲困难联赛,51,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20204,112,chNode12
20206,喀麦隆,非洲困难联赛,52,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20205,113,chNode13
20207,摩洛哥,非洲困难联赛,52,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20206,114,chNode14
20208,中非,非洲困难联赛,53,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20207,115,chNode15
20209,突尼西亚,非洲困难联赛,53,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20208,116,chNode16
20210,刚果,非洲困难联赛,54,2,202,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20209,117,chNode17
20301,印第安纳州,北美困难联赛,54,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20210,118,chNode18
20302,蒙大拿州,北美困难联赛,54,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20301,119,chNode19
20303,加利福尼亚州,北美困难联赛,55,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20302,120,chNode20
20304,北卡罗来纳州,北美困难联赛,55,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20303,121,chNode21
20305,康涅狄格州,北美困难联赛,55,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20304,122,chNode22
20306,宾夕法尼亚州,北美困难联赛,56,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20305,123,chNode23
20307,堪萨斯州,北美困难联赛,56,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20306,124,chNode24
20308,加拿大,北美困难联赛,57,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20307,125,chNode25
20309,古巴,北美困难联赛,57,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20308,126,chNode26
20310,墨西哥,北美困难联赛,57,2,203,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20309,127,chNode27
20401,维京群岛,南美困难联赛,58,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20310,128,chNode28
20402,牙买加,南美困难联赛,58,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20401,129,chNode29
20403,哥伦比亚,南美困难联赛,59,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20402,130,chNode30
20404,巴拉马,南美困难联赛,59,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20403,131,chNode31
20405,乌拉圭,南美困难联赛,60,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20404,132,chNode32
20406,委内瑞拉,南美困难联赛,60,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20405,133,chNode33
20407,多米尼加,南美困难联赛,60,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20406,134,chNode34
20408,玻利维亚,南美困难联赛,61,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20407,135,chNode35
20409,巴西,南美困难联赛,61,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20408,136,chNode36
20410,阿根廷,南美困难联赛,61,2,204,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20409,137,chNode37
20501,英国,欧洲困难联赛,62,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20410,138,chNode38
20502,土耳其,欧洲困难联赛,62,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20501,139,chNode39
20503,芬兰,欧洲困难联赛,62,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20502,140,chNode40
20504,波兰,欧洲困难联赛,63,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20503,141,chNode41
20505,德国,欧洲困难联赛,63,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20504,142,chNode42
20506,法国,欧洲困难联赛,64,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20505,143,chNode43
20507,意大利,欧洲困难联赛,64,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20506,144,chNode44
20508,希腊,欧洲困难联赛,65,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20507,145,chNode45
20509,瑞典,欧洲困难联赛,65,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20508,146,chNode46
20510,西班牙,欧洲困难联赛,65,2,205,困难,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20509,147,chNode47
30101,中国,亚洲挑战联赛,66,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,20510,101,chNode1
30102,韩国,亚洲挑战联赛,66,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30101,102,chNode2
30103,日本,亚洲挑战联赛,66,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30102,103,chNode3
30104,菲律宾,亚洲挑战联赛,67,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30103,104,chNode4
30105,泰国,亚洲挑战联赛,67,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30104,105,chNode5
30106,印度,亚洲挑战联赛,67,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30105,106,chNode6
30107,伊朗,亚洲挑战联赛,67,3,301,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30106,107,chNode7
30201,安哥拉,非洲挑战联赛,68,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30107,108,chNode8
30202,尼日利亚,非洲挑战联赛,68,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30201,109,chNode9
30203,塞内加尔,非洲挑战联赛,68,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30202,110,chNode10
30204,科特迪瓦,非洲挑战联赛,68,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30203,111,chNode11
30205,埃及,非洲挑战联赛,69,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30204,112,chNode12
30206,喀麦隆,非洲挑战联赛,69,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30205,113,chNode13
30207,摩洛哥,非洲挑战联赛,69,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30206,114,chNode14
30208,中非,非洲挑战联赛,70,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30207,115,chNode15
30209,突尼西亚,非洲挑战联赛,70,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30208,116,chNode16
30210,刚果,非洲挑战联赛,70,3,302,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30209,117,chNode17
30301,印第安纳州,北美挑战联赛,70,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30210,118,chNode18
30302,蒙大拿州,北美挑战联赛,71,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30301,119,chNode19
30303,加利福尼亚州,北美挑战联赛,71,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30302,120,chNode20
30304,北卡罗来纳州,北美挑战联赛,71,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30303,121,chNode21
30305,康涅狄格州,北美挑战联赛,72,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30304,122,chNode22
30306,宾夕法尼亚州,北美挑战联赛,72,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30305,123,chNode23
30307,堪萨斯州,北美挑战联赛,72,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30306,124,chNode24
30308,加拿大,北美挑战联赛,73,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30307,125,chNode25
30309,古巴,北美挑战联赛,73,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30308,126,chNode26
30310,墨西哥,北美挑战联赛,73,3,303,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30309,127,chNode27
30401,维京群岛,南美挑战联赛,74,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30310,128,chNode28
30402,牙买加,南美挑战联赛,74,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30401,129,chNode29
30403,哥伦比亚,南美挑战联赛,74,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30402,130,chNode30
30404,巴拉马,南美挑战联赛,75,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30403,131,chNode31
30405,乌拉圭,南美挑战联赛,75,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30404,132,chNode32
30406,委内瑞拉,南美挑战联赛,75,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30405,133,chNode33
30407,多米尼加,南美挑战联赛,76,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30406,134,chNode34
30408,玻利维亚,南美挑战联赛,76,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30407,135,chNode35
30409,巴西,南美挑战联赛,77,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30408,136,chNode36
30410,阿根廷,南美挑战联赛,78,3,304,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30409,137,chNode37
30501,英国,欧洲挑战联赛,79,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30410,138,chNode38
30502,土耳其,欧洲挑战联赛,80,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30501,139,chNode39
30503,芬兰,欧洲挑战联赛,81,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30502,140,chNode40
30504,波兰,欧洲挑战联赛,82,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30503,141,chNode41
30505,德国,欧洲挑战联赛,83,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30504,142,chNode42
30506,法国,欧洲挑战联赛,84,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30505,143,chNode43
30507,意大利,欧洲挑战联赛,85,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30506,144,chNode44
30508,希腊,欧洲挑战联赛,86,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30507,145,chNode45
30509,瑞典,欧洲挑战联赛,87,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30508,146,chNode46
30510,西班牙,欧洲挑战联赛,88,3,305,挑战,10,10,1:2:3000,20,1:1:300,30,2:400201:2,30509,147,chNode47
