Id,CardId,Quality,Star,AbilityAdd,Sklv,AbilityRatio,Power
104001500,104001,5,0,"{""1"":549,""2"":785,""3"":391,""4"":453,""5"":311,""6"":528,""7"":694,""8"":770,""9"":502,""10"":611}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":186,""2"":209,""3"":154,""4"":172,""5"":162,""6"":186,""7"":172,""8"":190,""9"":189,""10"":186}",559
104001501,104001,5,1,"{""1"":599,""2"":857,""3"":427,""4"":495,""5"":339,""6"":576,""7"":757,""8"":840,""9"":547,""10"":666}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":206,""2"":209,""3"":174,""4"":172,""5"":182,""6"":186,""7"":192,""8"":190,""9"":209,""10"":186}",610
104001502,104001,5,2,"{""1"":699,""2"":1000,""3"":498,""4"":577,""5"":396,""6"":672,""7"":883,""8"":980,""9"":638,""10"":777}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":206,""2"":229,""3"":174,""4"":192,""5"":182,""6"":206,""7"":192,""8"":210,""9"":209,""10"":206}",712
104001503,104001,5,3,"{""1"":799,""2"":1142,""3"":569,""4"":660,""5"":452,""6"":768,""7"":1009,""8"":1120,""9"":730,""10"":888}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":226,""2"":249,""3"":174,""4"":192,""5"":202,""6"":226,""7"":192,""8"":210,""9"":209,""10"":226}",814
104001504,104001,5,4,"{""1"":899,""2"":1285,""3"":640,""4"":742,""5"":509,""6"":864,""7"":1135,""8"":1260,""9"":821,""10"":999}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":226,""2"":249,""3"":194,""4"":212,""5"":202,""6"":226,""7"":212,""8"":230,""9"":229,""10"":226}",915
104001505,104001,5,5,"{""1"":999,""2"":1428,""3"":711,""4"":825,""5"":566,""6"":960,""7"":1261,""8"":1400,""9"":912,""10"":1110}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":226,""2"":249,""3"":194,""4"":232,""5"":222,""6"":246,""7"":212,""8"":250,""9"":249,""10"":226}",1017
104001506,104001,5,6,"{""1"":1099,""2"":1571,""3"":782,""4"":907,""5"":622,""6"":1056,""7"":1387,""8"":1540,""9"":1003,""10"":1221}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":246,""2"":269,""3"":214,""4"":232,""5"":222,""6"":246,""7"":232,""8"":250,""9"":249,""10"":246}",1119
104001507,104001,5,7,"{""1"":1199,""2"":1714,""3"":853,""4"":989,""5"":679,""6"":1152,""7"":1513,""8"":1680,""9"":1094,""10"":1332}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":266,""2"":269,""3"":234,""4"":232,""5"":242,""6"":246,""7"":252,""8"":250,""9"":269,""10"":246}",1221
104001508,104001,5,8,"{""1"":1299,""2"":1856,""3"":924,""4"":1072,""5"":735,""6"":1248,""7"":1639,""8"":1820,""9"":1186,""10"":1443}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":266,""2"":289,""3"":234,""4"":252,""5"":242,""6"":266,""7"":252,""8"":270,""9"":269,""10"":266}",1322
104001509,104001,5,9,"{""1"":1399,""2"":1999,""3"":995,""4"":1154,""5"":792,""6"":1344,""7"":1765,""8"":1960,""9"":1277,""10"":1554}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":286,""2"":309,""3"":234,""4"":252,""5"":262,""6"":286,""7"":252,""8"":270,""9"":269,""10"":286}",1424
104001510,104001,5,10,"{""1"":1499,""2"":2142,""3"":1067,""4"":1237,""5"":848,""6"":1440,""7"":1892,""8"":2100,""9"":1368,""10"":1665}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":286,""2"":309,""3"":254,""4"":272,""5"":262,""6"":286,""7"":272,""8"":290,""9"":289,""10"":286}",1526
104002401,104002,4,1,"{""1"":63,""2"":37,""3"":66,""4"":66,""5"":65,""6"":46,""7"":23,""8"":34,""9"":64,""10"":54}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":135,""2"":92,""3"":129,""4"":114,""5"":111,""6"":91,""7"":93,""8"":96,""9"":121,""10"":107}",52
104002402,104002,4,2,"{""1"":126,""2"":74,""3"":131,""4"":131,""5"":130,""6"":91,""7"":47,""8"":67,""9"":127,""10"":107}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":135,""2"":107,""3"":129,""4"":129,""5"":111,""6"":106,""7"":93,""8"":111,""9"":121,""10"":122}",103
104002403,104002,4,3,"{""1"":189,""2"":110,""3"":197,""4"":197,""5"":194,""6"":137,""7"":70,""8"":101,""9"":191,""10"":161}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":150,""2"":122,""3"":129,""4"":129,""5"":126,""6"":121,""7"":93,""8"":111,""9"":121,""10"":137}",155
104002404,104002,4,4,"{""1"":252,""2"":147,""3"":262,""4"":262,""5"":259,""6"":182,""7"":94,""8"":134,""9"":254,""10"":214}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":150,""2"":122,""3"":144,""4"":144,""5"":126,""6"":121,""7"":108,""8"":126,""9"":136,""10"":137}",206
104002405,104002,4,5,"{""1"":315,""2"":184,""3"":328,""4"":328,""5"":324,""6"":228,""7"":117,""8"":168,""9"":318,""10"":268}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":150,""2"":122,""3"":144,""4"":159,""5"":141,""6"":136,""7"":108,""8"":141,""9"":151,""10"":137}",258
104002406,104002,4,6,"{""1"":378,""2"":221,""3"":393,""4"":393,""5"":389,""6"":273,""7"":140,""8"":202,""9"":382,""10"":321}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":165,""2"":137,""3"":159,""4"":159,""5"":141,""6"":136,""7"":123,""8"":141,""9"":151,""10"":152}",309
104002407,104002,4,7,"{""1"":441,""2"":258,""3"":459,""4"":459,""5"":454,""6"":319,""7"":164,""8"":235,""9"":445,""10"":375}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":180,""2"":137,""3"":174,""4"":159,""5"":156,""6"":136,""7"":138,""8"":141,""9"":166,""10"":152}",361
104002408,104002,4,8,"{""1"":504,""2"":294,""3"":524,""4"":524,""5"":518,""6"":364,""7"":187,""8"":269,""9"":509,""10"":428}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":180,""2"":152,""3"":174,""4"":174,""5"":156,""6"":151,""7"":138,""8"":156,""9"":166,""10"":167}",412
104002409,104002,4,9,"{""1"":567,""2"":331,""3"":590,""4"":590,""5"":583,""6"":410,""7"":211,""8"":302,""9"":572,""10"":482}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":195,""2"":167,""3"":174,""4"":174,""5"":171,""6"":166,""7"":138,""8"":156,""9"":166,""10"":182}",464
104002410,104002,4,10,"{""1"":630,""2"":368,""3"":656,""4"":656,""5"":648,""6"":455,""7"":234,""8"":336,""9"":636,""10"":535}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":195,""2"":167,""3"":189,""4"":189,""5"":171,""6"":166,""7"":153,""8"":171,""9"":181,""10"":182}",515
104002500,104002,5,0,"{""1"":693,""2"":405,""3"":721,""4"":721,""5"":713,""6"":501,""7"":257,""8"":370,""9"":700,""10"":589}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":195,""2"":167,""3"":204,""4"":204,""5"":186,""6"":166,""7"":153,""8"":171,""9"":181,""10"":182}",567
104002501,104002,5,1,"{""1"":756,""2"":442,""3"":787,""4"":787,""5"":778,""6"":546,""7"":281,""8"":403,""9"":763,""10"":642}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":215,""2"":167,""3"":224,""4"":204,""5"":206,""6"":166,""7"":173,""8"":171,""9"":201,""10"":182}",619
104002502,104002,5,2,"{""1"":882,""2"":515,""3"":918,""4"":918,""5"":907,""6"":637,""7"":328,""8"":470,""9"":890,""10"":749}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":215,""2"":187,""3"":224,""4"":224,""5"":206,""6"":186,""7"":173,""8"":191,""9"":201,""10"":202}",721
104002503,104002,5,3,"{""1"":1008,""2"":589,""3"":1049,""4"":1049,""5"":1037,""6"":728,""7"":374,""8"":538,""9"":1018,""10"":856}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":235,""2"":207,""3"":224,""4"":224,""5"":226,""6"":206,""7"":173,""8"":191,""9"":201,""10"":222}",825
104002504,104002,5,4,"{""1"":1134,""2"":662,""3"":1180,""4"":1180,""5"":1166,""6"":819,""7"":421,""8"":605,""9"":1145,""10"":963}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":235,""2"":207,""3"":244,""4"":244,""5"":226,""6"":206,""7"":193,""8"":211,""9"":221,""10"":222}",928
104002505,104002,5,5,"{""1"":1260,""2"":736,""3"":1311,""4"":1311,""5"":1296,""6"":910,""7"":468,""8"":672,""9"":1272,""10"":1070}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":235,""2"":207,""3"":244,""4"":264,""5"":246,""6"":226,""7"":193,""8"":231,""9"":241,""10"":222}",1031
104002506,104002,5,6,"{""1"":1386,""2"":810,""3"":1442,""4"":1442,""5"":1426,""6"":1001,""7"":515,""8"":739,""9"":1399,""10"":1177}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":255,""2"":227,""3"":264,""4"":264,""5"":246,""6"":226,""7"":213,""8"":231,""9"":241,""10"":242}",1134
104002507,104002,5,7,"{""1"":1512,""2"":883,""3"":1573,""4"":1573,""5"":1555,""6"":1092,""7"":562,""8"":806,""9"":1526,""10"":1284}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":275,""2"":227,""3"":284,""4"":264,""5"":266,""6"":226,""7"":233,""8"":231,""9"":261,""10"":242}",1237
104002508,104002,5,8,"{""1"":1638,""2"":957,""3"":1704,""4"":1704,""5"":1685,""6"":1183,""7"":608,""8"":874,""9"":1654,""10"":1391}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":275,""2"":247,""3"":284,""4"":284,""5"":266,""6"":246,""7"":233,""8"":251,""9"":261,""10"":262}",1340
104002509,104002,5,9,"{""1"":1764,""2"":1030,""3"":1835,""4"":1835,""5"":1814,""6"":1274,""7"":655,""8"":941,""9"":1781,""10"":1498}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":295,""2"":267,""3"":284,""4"":284,""5"":286,""6"":266,""7"":233,""8"":251,""9"":261,""10"":282}",1443
104002510,104002,5,10,"{""1"":1890,""2"":1104,""3"":1967,""4"":1967,""5"":1944,""6"":1365,""7"":702,""8"":1008,""9"":1908,""10"":1605}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":295,""2"":267,""3"":304,""4"":304,""5"":286,""6"":266,""7"":253,""8"":271,""9"":281,""10"":282}",1546
104003401,104003,4,1,"{""1"":62,""2"":51,""3"":47,""4"":53,""5"":46,""6"":49,""7"":49,""8"":51,""9"":54,""10"":55}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":138,""2"":102,""3"":109,""4"":105,""5"":107,""6"":98,""7"":112,""8"":102,""9"":122,""10"":110}",52
104003402,104003,4,2,"{""1"":123,""2"":102,""3"":94,""4"":105,""5"":92,""6"":98,""7"":97,""8"":102,""9"":107,""10"":110}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":138,""2"":117,""3"":109,""4"":120,""5"":107,""6"":113,""7"":112,""8"":117,""9"":122,""10"":125}",103
104003403,104003,4,3,"{""1"":185,""2"":153,""3"":141,""4"":158,""5"":138,""6"":147,""7"":146,""8"":153,""9"":161,""10"":165}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":153,""2"":132,""3"":109,""4"":120,""5"":122,""6"":128,""7"":112,""8"":117,""9"":122,""10"":140}",155
104003404,104003,4,4,"{""1"":246,""2"":204,""3"":188,""4"":210,""5"":184,""6"":196,""7"":194,""8"":204,""9"":214,""10"":220}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":153,""2"":132,""3"":124,""4"":135,""5"":122,""6"":128,""7"":127,""8"":132,""9"":137,""10"":140}",206
104003405,104003,4,5,"{""1"":308,""2"":255,""3"":235,""4"":263,""5"":230,""6"":245,""7"":243,""8"":255,""9"":268,""10"":275}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":153,""2"":132,""3"":124,""4"":150,""5"":137,""6"":143,""7"":127,""8"":147,""9"":152,""10"":140}",258
104003406,104003,4,6,"{""1"":369,""2"":306,""3"":282,""4"":315,""5"":276,""6"":294,""7"":291,""8"":306,""9"":321,""10"":330}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":168,""2"":147,""3"":139,""4"":150,""5"":137,""6"":143,""7"":142,""8"":147,""9"":152,""10"":155}",309
104003407,104003,4,7,"{""1"":431,""2"":357,""3"":329,""4"":368,""5"":322,""6"":343,""7"":340,""8"":357,""9"":375,""10"":385}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":183,""2"":147,""3"":154,""4"":150,""5"":152,""6"":143,""7"":157,""8"":147,""9"":167,""10"":155}",361
104003408,104003,4,8,"{""1"":492,""2"":408,""3"":376,""4"":420,""5"":368,""6"":392,""7"":388,""8"":408,""9"":428,""10"":440}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":183,""2"":162,""3"":154,""4"":165,""5"":152,""6"":158,""7"":157,""8"":162,""9"":167,""10"":170}",412
104003409,104003,4,9,"{""1"":554,""2"":459,""3"":423,""4"":473,""5"":414,""6"":441,""7"":437,""8"":459,""9"":482,""10"":495}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":198,""2"":177,""3"":154,""4"":165,""5"":167,""6"":173,""7"":157,""8"":162,""9"":167,""10"":185}",464
104003410,104003,4,10,"{""1"":615,""2"":510,""3"":470,""4"":525,""5"":460,""6"":490,""7"":485,""8"":510,""9"":535,""10"":550}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":198,""2"":177,""3"":169,""4"":180,""5"":167,""6"":173,""7"":172,""8"":177,""9"":182,""10"":185}",515
104003500,104003,5,0,"{""1"":677,""2"":561,""3"":517,""4"":578,""5"":506,""6"":539,""7"":534,""8"":561,""9"":589,""10"":605}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":213,""2"":177,""3"":169,""4"":180,""5"":182,""6"":173,""7"":172,""8"":177,""9"":182,""10"":200}",567
104003501,104003,5,1,"{""1"":738,""2"":612,""3"":564,""4"":630,""5"":552,""6"":588,""7"":582,""8"":612,""9"":642,""10"":660}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":233,""2"":177,""3"":189,""4"":180,""5"":202,""6"":173,""7"":192,""8"":177,""9"":202,""10"":200}",618
104003502,104003,5,2,"{""1"":861,""2"":714,""3"":658,""4"":735,""5"":644,""6"":686,""7"":679,""8"":714,""9"":749,""10"":770}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":233,""2"":197,""3"":189,""4"":200,""5"":202,""6"":193,""7"":192,""8"":197,""9"":202,""10"":220}",721
104003503,104003,5,3,"{""1"":984,""2"":816,""3"":752,""4"":840,""5"":736,""6"":784,""7"":776,""8"":816,""9"":856,""10"":880}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":253,""2"":217,""3"":189,""4"":200,""5"":222,""6"":213,""7"":192,""8"":197,""9"":202,""10"":240}",824
104003504,104003,5,4,"{""1"":1107,""2"":918,""3"":846,""4"":945,""5"":828,""6"":882,""7"":873,""8"":918,""9"":963,""10"":990}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":253,""2"":217,""3"":209,""4"":220,""5"":222,""6"":213,""7"":212,""8"":217,""9"":222,""10"":240}",927
104003505,104003,5,5,"{""1"":1230,""2"":1020,""3"":940,""4"":1050,""5"":920,""6"":980,""7"":970,""8"":1020,""9"":1070,""10"":1100}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":253,""2"":217,""3"":209,""4"":240,""5"":242,""6"":233,""7"":212,""8"":237,""9"":242,""10"":240}",1030
104003506,104003,5,6,"{""1"":1353,""2"":1122,""3"":1034,""4"":1155,""5"":1012,""6"":1078,""7"":1067,""8"":1122,""9"":1177,""10"":1210}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":273,""2"":237,""3"":229,""4"":240,""5"":242,""6"":233,""7"":232,""8"":237,""9"":242,""10"":260}",1133
104003507,104003,5,7,"{""1"":1476,""2"":1224,""3"":1128,""4"":1260,""5"":1104,""6"":1176,""7"":1164,""8"":1224,""9"":1284,""10"":1320}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":293,""2"":237,""3"":249,""4"":240,""5"":262,""6"":233,""7"":252,""8"":237,""9"":262,""10"":260}",1236
104003508,104003,5,8,"{""1"":1599,""2"":1326,""3"":1222,""4"":1365,""5"":1196,""6"":1274,""7"":1261,""8"":1326,""9"":1391,""10"":1430}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":293,""2"":257,""3"":249,""4"":260,""5"":262,""6"":253,""7"":252,""8"":257,""9"":262,""10"":280}",1339
104003509,104003,5,9,"{""1"":1722,""2"":1428,""3"":1316,""4"":1470,""5"":1288,""6"":1372,""7"":1358,""8"":1428,""9"":1498,""10"":1540}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":313,""2"":277,""3"":249,""4"":260,""5"":282,""6"":273,""7"":252,""8"":257,""9"":262,""10"":300}",1442
104003510,104003,5,10,"{""1"":1845,""2"":1530,""3"":1410,""4"":1575,""5"":1380,""6"":1470,""7"":1455,""8"":1530,""9"":1605,""10"":1650}","{""1"":6,""2"":6,""3"":6,""4"":6}","{""1"":313,""2"":277,""3"":269,""4"":280,""5"":282,""6"":273,""7"":272,""8"":277,""9"":282,""10"":300}",1545
104004401,104004,4,1,"{""1"":56,""2"":34,""3"":69,""4"":66,""5"":80,""6"":55,""7"":23,""8"":28,""9"":64,""10"":54}","{""1"":1,""2"":1,""3"":1,""4"":1}","{""1"":122,""2"":85,""3"":135,""4"":114,""5"":133,""6"":110,""7"":93,""8"":79,""9"":122,""10"":107}",53
104004402,104004,4,2,"{""1"":112,""2"":68,""3"":138,""4"":131,""5"":159,""6"":110,""7"":47,""8"":55,""9"":128,""10"":107}","{""1"":2,""2"":1,""3"":1,""4"":1}","{""1"":122,""2"":100,""3"":135,""4"":129,""5"":133,""6"":125,""7"":93,""8"":94,""9"":122,""10"":122}",106
104004403,104004,4,3,"{""1"":169,""2"":102,""3"":207,""4"":197,""5"":239,""6"":165,""7"":70,""8"":83,""9"":193,""10"":161}","{""1"":2,""2"":2,""3"":1,""4"":1}","{""1"":137,""2"":115,""3"":135,""4"":129,""5"":148,""6"":140,""7"":93,""8"":94,""9"":122,""10"":137}",159
104004404,104004,4,4,"{""1"":225,""2"":136,""3"":276,""4"":262,""5"":319,""6"":220,""7"":94,""8"":111,""9"":257,""10"":214}","{""1"":2,""2"":2,""3"":2,""4"":1}","{""1"":137,""2"":115,""3"":150,""4"":144,""5"":148,""6"":140,""7"":108,""8"":109,""9"":137,""10"":137}",211
104004405,104004,4,5,"{""1"":281,""2"":170,""3"":345,""4"":328,""5"":398,""6"":275,""7"":117,""8"":138,""9"":321,""10"":268}","{""1"":2,""2"":2,""3"":2,""4"":2}","{""1"":137,""2"":115,""3"":150,""4"":159,""5"":163,""6"":155,""7"":108,""8"":124,""9"":152,""10"":137}",264
104004406,104004,4,6,"{""1"":337,""2"":204,""3"":414,""4"":393,""5"":478,""6"":330,""7"":140,""8"":166,""9"":385,""10"":321}","{""1"":3,""2"":2,""3"":2,""4"":2}","{""1"":152,""2"":130,""3"":165,""4"":159,""5"":163,""6"":155,""7"":123,""8"":124,""9"":152,""10"":152}",317
104004407,104004,4,7,"{""1"":393,""2"":238,""3"":483,""4"":459,""5"":558,""6"":385,""7"":164,""8"":194,""9"":449,""10"":375}","{""1"":3,""2"":3,""3"":2,""4"":2}","{""1"":167,""2"":130,""3"":180,""4"":159,""5"":178,""6"":155,""7"":138,""8"":124,""9"":167,""10"":152}",370
104004408,104004,4,8,"{""1"":449,""2"":272,""3"":552,""4"":524,""5"":637,""6"":440,""7"":187,""8"":221,""9"":514,""10"":428}","{""1"":3,""2"":3,""3"":3,""4"":2}","{""1"":167,""2"":145,""3"":180,""4"":174,""5"":178,""6"":170,""7"":138,""8"":139,""9"":167,""10"":167}",422
104004409,104004,4,9,"{""1"":506,""2"":306,""3"":621,""4"":590,""5"":717,""6"":495,""7"":211,""8"":249,""9"":578,""10"":482}","{""1"":3,""2"":3,""3"":3,""4"":3}","{""1"":182,""2"":160,""3"":180,""4"":174,""5"":193,""6"":185,""7"":138,""8"":139,""9"":167,""10"":182}",476
104004410,104004,4,10,"{""1"":562,""2"":340,""3"":690,""4"":656,""5"":797,""6"":550,""7"":234,""8"":277,""9"":642,""10"":535}","{""1"":4,""2"":3,""3"":3,""4"":3}","{""1"":182,""2"":160,""3"":195,""4"":189,""5"":193,""6"":185,""7"":153,""8"":154,""9"":182,""10"":182}",528
104004500,104004,5,0,"{""1"":618,""2"":374,""3"":759,""4"":721,""5"":876,""6"":605,""7"":257,""8"":304,""9"":706,""10"":589}","{""1"":4,""2"":4,""3"":3,""4"":3}","{""1"":182,""2"":160,""3"":210,""4"":204,""5"":208,""6"":185,""7"":153,""8"":154,""9"":182,""10"":182}",581
104004501,104004,5,1,"{""1"":674,""2"":408,""3"":828,""4"":787,""5"":956,""6"":660,""7"":281,""8"":332,""9"":770,""10"":642}","{""1"":4,""2"":4,""3"":4,""4"":3}","{""1"":202,""2"":160,""3"":230,""4"":204,""5"":228,""6"":185,""7"":173,""8"":154,""9"":202,""10"":182}",634
104004502,104004,5,2,"{""1"":786,""2"":476,""3"":966,""4"":918,""5"":1115,""6"":770,""7"":328,""8"":387,""9"":899,""10"":749}","{""1"":4,""2"":4,""3"":4,""4"":4}","{""1"":202,""2"":180,""3"":230,""4"":224,""5"":228,""6"":205,""7"":173,""8"":174,""9"":202,""10"":202}",739
104004503,104004,5,3,"{""1"":899,""2"":544,""3"":1104,""4"":1049,""5"":1274,""6"":880,""7"":374,""8"":442,""9"":1027,""10"":856}","{""1"":5,""2"":4,""3"":4,""4"":4}","{""1"":222,""2"":200,""3"":230,""4"":224,""5"":248,""6"":225,""7"":173,""8"":174,""9"":202,""10"":222}",845
104004504,104004,5,4,"{""1"":1011,""2"":612,""3"":1242,""4"":1180,""5"":1434,""6"":990,""7"":421,""8"":498,""9"":1156,""10"":963}","{""1"":5,""2"":5,""3"":4,""4"":4}","{""1"":222,""2"":200,""3"":250,""4"":244,""5"":248,""6"":225,""7"":193,""8"":194,""9"":222,""10"":222}",951
104004505,104004,5,5,"{""1"":1124,""2"":680,""3"":1380,""4"":1311,""5"":1593,""6"":1100,""7"":468,""8"":553,""9"":1284,""10"":1070}","{""1"":5,""2"":5,""3"":5,""4"":4}","{""1"":222,""2"":200,""3"":250,""4"":264,""5"":268,""6"":245,""7"":193,""8"":214,""9"":242,""10"":222}",1056
104004506,104004,5,6,"{""1"":1236,""2"":748,""3"":1518,""4"":1442,""5"":1752,""6"":1210,""7"":515,""8"":608,""9"":1412,""10"":1177}","{""1"":5,""2"":5,""3"":5,""4"":5}","{""1"":242,""2"":220,""3"":270,""4"":264,""5"":268,""6"":245,""7"":213,""8"":214,""9"":242,""10"":242}",1162
104004507,104004,5,7,"{""1"":1348,""2"":816,""3"":1656,""4"":1573,""5"":1912,""6"":1320,""7"":562,""8"":664,""9"":1541,""10"":1284}","{""1"":6,""2"":5,""3"":5,""4"":5}","{""1"":262,""2"":220,""3"":290,""4"":264,""5"":288,""6"":245,""7"":233,""8"":214,""9"":262,""10"":242}",1268
104004508,104004,5,8,"{""1"":1461,""2"":884,""3"":1794,""4"":1704,""5"":2071,""6"":1430,""7"":608,""8"":719,""9"":1669,""10"":1391}","{""1"":6,""2"":6,""3"":5,""4"":5}","{""1"":262,""2"":240,""3"":290,""4"":284,""5"":288,""6"":265,""7"":233,""8"":234,""9"":262,""10"":262}",1373
104004509,104004,5,9,"{""1"":1573,""2"":952,""3"":1932,""4"":1835,""5"":2230,""6"":1540,""7"":655,""8"":774,""9"":1798,""10"":1498}","{""1"":6,""2"":6,""3"":6,""4"":5}","{""1"":282,""2"":260,""3"":290,""4"":284,""5"":308,""6"":285,""7"":233,""8"":234,""9"":262,""10"":282}",1479
