Id,CardId,Star,ClubId,Ability,Position
10204,103023,2,102,"{""1"":39,""2"":65,""3"":34,""4"":42,""5"":32,""6"":54,""7"":72,""8"":80,""9"":46,""10"":57}",5
10205,103028,2,102,"{""1"":51,""2"":36,""3"":63,""4"":69,""5"":67,""6"":48,""7"":24,""8"":31,""9"":67,""10"":52}",1
10206,104020,2,102,"{""1"":78,""2"":42,""3"":63,""4"":77,""5"":85,""6"":64,""7"":44,""8"":31,""9"":73,""10"":64}",2
10207,101005,2,102,"{""1"":32,""2"":36,""3"":33,""4"":39,""5"":38,""6"":37,""7"":29,""8"":38,""9"":38,""10"":41}",3
10208,102012,2,102,"{""1"":41,""2"":53,""3"":32,""4"":38,""5"":23,""6"":36,""7"":46,""8"":53,""9"":39,""10"":49}",4
10209,104005,2,102,"{""1"":55,""2"":89,""3"":45,""4"":49,""5"":39,""6"":63,""7"":83,""8"":92,""9"":55,""10"":71}",5
10300,103024,2,103,"{""1"":50,""2"":35,""3"":55,""4"":66,""5"":82,""6"":58,""7"":27,""8"":29,""9"":64,""10"":51}",1
10301,104016,2,103,"{""1"":81,""2"":42,""3"":73,""4"":75,""5"":72,""6"":53,""7"":37,""8"":29,""9"":76,""10"":63}",2
10302,103037,2,103,"{""1"":50,""2"":49,""3"":41,""4"":55,""5"":47,""6"":51,""7"":51,""8"":53,""9"":54,""10"":56}",3
10303,101013,2,103,"{""1"":26,""2"":37,""3"":26,""4"":32,""5"":19,""6"":29,""7"":37,""8"":50,""9"":33,""10"":43}",4
10304,103001,2,103,"{""1"":48,""2"":70,""3"":34,""4"":42,""5"":32,""6"":56,""7"":76,""8"":79,""9"":46,""10"":58}",5
10305,104006,2,103,"{""1"":67,""2"":47,""3"":79,""4"":77,""5"":90,""6"":64,""7"":31,""8"":41,""9"":78,""10"":65}",1
10306,102006,2,103,"{""1"":50,""2"":28,""3"":47,""4"":56,""5"":58,""6"":41,""7"":27,""8"":18,""9"":58,""10"":46}",2
10307,102015,2,103,"{""1"":43,""2"":40,""3"":37,""4"":46,""5"":42,""6"":41,""7"":36,""8"":45,""9"":47,""10"":47}",3
10308,103036,2,103,"{""1"":45,""2"":66,""3"":39,""4"":43,""5"":28,""6"":45,""7"":59,""8"":68,""9"":46,""10"":56}",4
10309,103003,2,103,"{""1"":45,""2"":68,""3"":36,""4"":42,""5"":34,""6"":56,""7"":72,""8"":76,""9"":44,""10"":56}",5
10400,103007,2,104,"{""1"":49,""2"":38,""3"":69,""4"":65,""5"":75,""6"":53,""7"":24,""8"":29,""9"":67,""10"":52}",1
10401,104024,2,104,"{""1"":79,""2"":45,""3"":75,""4"":76,""5"":78,""6"":58,""7"":38,""8"":24,""9"":80,""10"":61}",2
10402,104028,2,104,"{""1"":69,""2"":59,""3"":52,""4"":64,""5"":61,""6"":59,""7"":48,""8"":53,""9"":65,""10"":66}",3
10403,102009,2,104,"{""1"":36,""2"":54,""3"":31,""4"":38,""5"":25,""6"":41,""7"":54,""8"":67,""9"":39,""10"":50}",4
10404,103017,2,104,"{""1"":42,""2"":63,""3"":34,""4"":42,""5"":30,""6"":54,""7"":73,""8"":71,""9"":50,""10"":60}",5
10405,103026,2,104,"{""1"":57,""2"":35,""3"":63,""4"":67,""5"":64,""6"":44,""7"":24,""8"":29,""9"":64,""10"":53}",1
10406,101014,2,104,"{""1"":33,""2"":24,""3"":35,""4"":47,""5"":41,""6"":30,""7"":23,""8"":17,""9"":48,""10"":36}",2
10407,104030,2,104,"{""1"":67,""2"":56,""3"":55,""4"":64,""5"":58,""6"":58,""7"":53,""8"":56,""9"":67,""10"":68}",3
10408,101001,2,104,"{""1"":31,""2"":43,""3"":27,""4"":32,""5"":21,""6"":34,""7"":44,""8"":56,""9"":31,""10"":41}",4
10409,104026,2,104,"{""1"":54,""2"":80,""3"":41,""4"":49,""5"":40,""6"":70,""7"":91,""8"":92,""9"":58,""10"":67}",5
10500,104004,2,105,"{""1"":67,""2"":41,""3"":83,""4"":79,""5"":96,""6"":66,""7"":28,""8"":33,""9"":77,""10"":64}",1
10501,101011,2,105,"{""1"":36,""2"":23,""3"":36,""4"":47,""5"":43,""6"":31,""7"":23,""8"":14,""9"":49,""10"":38}",2
10502,101007,2,105,"{""1"":32,""2"":32,""3"":32,""4"":39,""5"":31,""6"":31,""7"":29,""8"":35,""9"":41,""10"":40}",3
10503,102009,2,105,"{""1"":36,""2"":54,""3"":31,""4"":38,""5"":25,""6"":41,""7"":54,""8"":67,""9"":39,""10"":50}",4
10504,103023,2,105,"{""1"":39,""2"":65,""3"":34,""4"":42,""5"":32,""6"":54,""7"":72,""8"":80,""9"":46,""10"":57}",5
10505,103021,2,105,"{""1"":55,""2"":38,""3"":61,""4"":68,""5"":69,""6"":49,""7"":24,""8"":29,""9"":66,""10"":54}",1
10506,101011,2,105,"{""1"":36,""2"":23,""3"":36,""4"":47,""5"":43,""6"":31,""7"":23,""8"":14,""9"":49,""10"":38}",2
10507,101012,2,105,"{""1"":30,""2"":34,""3"":31,""4"":40,""5"":35,""6"":35,""7"":31,""8"":36,""9"":39,""10"":38}",3
10508,104001,2,105,"{""1"":60,""2"":86,""3"":43,""4"":49,""5"":34,""6"":58,""7"":76,""8"":84,""9"":55,""10"":67}",4
10509,104019,2,105,"{""1"":61,""2"":76,""3"":47,""4"":49,""5"":44,""6"":62,""7"":73,""8"":75,""9"":54,""10"":68}",5
10600,102002,2,106,"{""1"":47,""2"":29,""3"":55,""4"":58,""5"":49,""6"":34,""7"":21,""8"":24,""9"":55,""10"":45}",1
10601,104017,2,106,"{""1"":77,""2"":44,""3"":69,""4"":76,""5"":89,""6"":68,""7"":47,""8"":24,""9"":75,""10"":64}",2
10602,102004,2,106,"{""1"":44,""2"":43,""3"":38,""4"":46,""5"":40,""6"":38,""7"":34,""8"":41,""9"":50,""10"":47}",3
10603,103014,2,106,"{""1"":48,""2"":62,""3"":38,""4"":43,""5"":29,""6"":53,""7"":72,""8"":72,""9"":42,""10"":55}",4
10604,104019,2,106,"{""1"":61,""2"":76,""3"":47,""4"":49,""5"":44,""6"":62,""7"":73,""8"":75,""9"":54,""10"":68}",5
10605,104002,2,106,"{""1"":76,""2"":44,""3"":79,""4"":79,""5"":78,""6"":55,""7"":28,""8"":40,""9"":76,""10"":64}",1
10606,103019,2,106,"{""1"":66,""2"":35,""3"":54,""4"":64,""5"":61,""6"":44,""7"":32,""8"":23,""9"":64,""10"":55}",2
10607,104003,2,106,"{""1"":74,""2"":61,""3"":56,""4"":63,""5"":55,""6"":59,""7"":58,""8"":61,""9"":64,""10"":66}",3
10608,102003,2,106,"{""1"":38,""2"":53,""3"":31,""4"":38,""5"":30,""6"":44,""7"":44,""8"":60,""9"":37,""10"":46}",4
10609,104009,2,106,"{""1"":59,""2"":82,""3"":46,""4"":49,""5"":41,""6"":74,""7"":96,""8"":98,""9"":54,""10"":73}",5
10700,103006,2,107,"{""1"":84,""2"":71,""3"":142,""4"":138,""5"":167,""6"":114,""7"":48,""8"":58,""9"":130,""10"":102}",1
10701,104020,2,107,"{""1"":156,""2"":84,""3"":127,""4"":153,""5"":170,""6"":128,""7"":88,""8"":61,""9"":145,""10"":128}",2
10702,102004,2,107,"{""1"":89,""2"":85,""3"":76,""4"":92,""5"":79,""6"":77,""7"":68,""8"":83,""9"":100,""10"":95}",3
10703,101013,2,107,"{""1"":52,""2"":75,""3"":52,""4"":63,""5"":37,""6"":58,""7"":75,""8"":99,""9"":66,""10"":86}",4
10704,103023,2,107,"{""1"":78,""2"":130,""3"":67,""4"":84,""5"":65,""6"":108,""7"":144,""8"":160,""9"":91,""10"":114}",5
10705,104002,2,107,"{""1"":151,""2"":88,""3"":157,""4"":157,""5"":156,""6"":109,""7"":56,""8"":81,""9"":153,""10"":128}",1
10706,101011,2,107,"{""1"":72,""2"":46,""3"":73,""4"":94,""5"":86,""6"":62,""7"":46,""8"":29,""9"":98,""10"":76}",2
10707,104013,2,107,"{""1"":126,""2"":112,""3"":112,""4"":126,""5"":116,""6"":120,""7"":113,""8"":115,""9"":131,""10"":132}",3
10708,103039,2,107,"{""1"":93,""2"":120,""3"":78,""4"":87,""5"":61,""6"":96,""7"":122,""8"":129,""9"":88,""10"":112}",4
10709,104022,2,107,"{""1"":118,""2"":157,""3"":94,""4"":99,""5"":67,""6"":107,""7"":150,""8"":156,""9"":109,""10"":138}",5
10800,103026,2,108,"{""1"":115,""2"":70,""3"":126,""4"":134,""5"":128,""6"":89,""7"":48,""8"":59,""9"":128,""10"":107}",1
10801,103019,2,108,"{""1"":132,""2"":69,""3"":108,""4"":128,""5"":122,""6"":89,""7"":63,""8"":45,""9"":128,""10"":109}",2
10802,104010,2,108,"{""1"":128,""2"":113,""3"":100,""4"":126,""5"":125,""6"":120,""7"":101,""8"":148,""9"":131,""10"":127}",3
10803,103035,2,108,"{""1"":80,""2"":121,""3"":75,""4"":91,""5"":61,""6"":103,""7"":137,""8"":150,""9"":88,""10"":106}",4
10804,103003,2,108,"{""1"":90,""2"":135,""3"":72,""4"":84,""5"":69,""6"":112,""7"":144,""8"":153,""9"":88,""10"":112}",5
10805,103024,2,108,"{""1"":100,""2"":70,""3"":109,""4"":132,""5"":164,""6"":116,""7"":53,""8"":59,""9"":128,""10"":102}",1
10806,102005,2,108,"{""1"":110,""2"":57,""3"":78,""4"":112,""5"":94,""6"":70,""7"":55,""8"":35,""9"":112,""10"":94}",2
10807,104029,2,108,"{""1"":136,""2"":107,""3"":104,""4"":127,""5"":115,""6"":112,""7"":101,""8"":121,""9"":128,""10"":126}",3
10808,103015,2,108,"{""1"":98,""2"":121,""3"":76,""4"":87,""5"":69,""6"":107,""7"":123,""8"":151,""9"":87,""10"":108}",4
10809,103003,2,108,"{""1"":90,""2"":135,""3"":72,""4"":84,""5"":69,""6"":112,""7"":144,""8"":153,""9"":88,""10"":112}",5
10900,103021,2,109,"{""1"":166,""2"":114,""3"":184,""4"":205,""5"":207,""6"":146,""7"":71,""8"":87,""9"":197,""10"":162}",1
10901,104014,2,109,"{""1"":217,""2"":127,""3"":202,""4"":230,""5"":204,""6"":160,""7"":127,""8"":87,""9"":225,""10"":193}",2
10902,104013,2,109,"{""1"":189,""2"":167,""3"":167,""4"":189,""5"":175,""6"":180,""7"":169,""8"":173,""9"":196,""10"":198}",3
10903,101008,2,109,"{""1"":84,""2"":134,""3"":78,""4"":95,""5"":56,""6"":86,""7"":117,""8"":159,""9"":94,""10"":121}",4
10904,103018,2,109,"{""1"":134,""2"":186,""3"":103,""4"":125,""5"":102,""6"":160,""7"":201,""8"":227,""9"":140,""10"":171}",5
10905,103007,2,109,"{""1"":147,""2"":114,""3"":207,""4"":195,""5"":226,""6"":158,""7"":71,""8"":88,""9"":201,""10"":155}",1
10906,104020,2,109,"{""1"":234,""2"":125,""3"":190,""4"":230,""5"":255,""6"":193,""7"":132,""8"":92,""9"":218,""10"":193}",2
10907,103031,2,109,"{""1"":164,""2"":131,""3"":133,""4"":160,""5"":133,""6"":142,""7"":142,""8"":166,""9"":162,""10"":162}",3
10908,101001,2,109,"{""1"":92,""2"":130,""3"":81,""4"":95,""5"":62,""6"":101,""7"":133,""8"":169,""9"":92,""10"":122}",4
10909,103009,2,109,"{""1"":126,""2"":197,""3"":110,""4"":125,""5"":105,""6"":169,""7"":215,""8"":186,""9"":148,""10"":169}",5
11000,104033,2,110,"{""1"":200,""2"":138,""3"":230,""4"":236,""5"":267,""6"":191,""7"":94,""8"":121,""9"":238,""10"":191}",1
11001,103038,2,110,"{""1"":170,""2"":108,""3"":168,""4"":195,""5"":197,""6"":151,""7"":111,""8"":64,""9"":192,""10"":162}",2
11002,104028,2,110,"{""1"":207,""2"":176,""3"":157,""4"":191,""5"":184,""6"":176,""7"":144,""8"":158,""9"":196,""10"":198}",3
11003,104007,2,110,"{""1"":194,""2"":229,""3"":126,""4"":155,""5"":99,""6"":167,""7"":227,""8"":277,""9"":158,""10"":221}",4
11004,104026,2,110,"{""1"":162,""2"":240,""3"":124,""4"":148,""5"":121,""6"":211,""7"":274,""8"":277,""9"":173,""10"":200}",5
11005,103026,2,110,"{""1"":172,""2"":105,""3"":188,""4"":201,""5"":192,""6"":133,""7"":71,""8"":88,""9"":192,""10"":160}",1
11006,104017,2,110,"{""1"":230,""2"":131,""3"":206,""4"":228,""5"":267,""6"":205,""7"":141,""8"":73,""9"":225,""10"":193}",2
11007,101012,2,110,"{""1"":90,""2"":101,""3"":92,""4"":119,""5"":106,""6"":104,""7"":92,""8"":108,""9"":117,""10"":115}",3
11008,103039,2,110,"{""1"":139,""2"":179,""3"":117,""4"":130,""5"":91,""6"":144,""7"":183,""8"":194,""9"":132,""10"":167}",4
11009,104026,2,110,"{""1"":162,""2"":240,""3"":124,""4"":148,""5"":121,""6"":211,""7"":274,""8"":277,""9"":173,""10"":200}",5
20100,104004,2,201,"{""1"":135,""2"":82,""3"":166,""4"":157,""5"":191,""6"":132,""7"":56,""8"":66,""9"":154,""10"":128}",1
20101,102008,2,201,"{""1"":105,""2"":67,""3"":75,""4"":112,""5"":112,""6"":83,""7"":55,""8"":40,""9"":115,""10"":94}",2
20102,104029,2,201,"{""1"":136,""2"":107,""3"":104,""4"":127,""5"":115,""6"":112,""7"":101,""8"":121,""9"":128,""10"":126}",3
20103,102003,2,201,"{""1"":77,""2"":105,""3"":62,""4"":75,""5"":59,""6"":88,""7"":89,""8"":121,""9"":75,""10"":92}",4
20104,104019,2,201,"{""1"":122,""2"":151,""3"":95,""4"":99,""5"":87,""6"":125,""7"":145,""8"":150,""9"":108,""10"":136}",5
20105,102002,2,201,"{""1"":93,""2"":58,""3"":110,""4"":116,""5"":99,""6"":68,""7"":41,""8"":48,""9"":111,""10"":90}",1
20106,104016,2,201,"{""1"":161,""2"":84,""3"":145,""4"":150,""5"":144,""6"":106,""7"":75,""8"":58,""9"":153,""10"":126}",2
20107,104003,2,201,"{""1"":148,""2"":122,""3"":113,""4"":126,""5"":110,""6"":118,""7"":116,""8"":122,""9"":128,""10"":132}",3
20108,103022,2,201,"{""1"":81,""2"":127,""3"":73,""4"":87,""5"":60,""6"":108,""7"":144,""8"":166,""9"":90,""10"":113}",4
20109,103001,2,201,"{""1"":95,""2"":140,""3"":67,""4"":84,""5"":63,""6"":113,""7"":151,""8"":158,""9"":92,""10"":116}",5
20200,102010,2,202,"{""1"":93,""2"":59,""3"":105,""4"":115,""5"":109,""6"":78,""7"":41,""8"":48,""9"":118,""10"":91}",1
20201,102008,2,202,"{""1"":105,""2"":67,""3"":75,""4"":112,""5"":112,""6"":83,""7"":55,""8"":40,""9"":115,""10"":94}",2
20202,104010,2,202,"{""1"":128,""2"":113,""3"":100,""4"":126,""5"":125,""6"":120,""7"":101,""8"":148,""9"":131,""10"":127}",3
20203,102013,2,202,"{""1"":71,""2"":109,""3"":63,""4"":77,""5"":44,""6"":73,""7"":105,""8"":128,""9"":77,""10"":91}",4
20204,103023,2,202,"{""1"":78,""2"":130,""3"":67,""4"":84,""5"":65,""6"":108,""7"":144,""8"":160,""9"":91,""10"":114}",5
20205,102010,2,202,"{""1"":93,""2"":59,""3"":105,""4"":115,""5"":109,""6"":78,""7"":41,""8"":48,""9"":118,""10"":91}",1
20206,104017,2,202,"{""1"":153,""2"":87,""3"":137,""4"":152,""5"":178,""6"":137,""7"":94,""8"":49,""9"":150,""10"":128}",2
20207,101002,2,202,"{""1"":68,""2"":67,""3"":61,""4"":79,""5"":67,""6"":76,""7"":77,""8"":68,""9"":84,""10"":76}",3
20208,103020,2,202,"{""1"":93,""2"":122,""3"":72,""4"":90,""5"":62,""6"":101,""7"":129,""8"":139,""9"":91,""10"":107}",4
20209,104015,2,202,"{""1"":129,""2"":157,""3"":86,""4"":99,""5"":66,""6"":126,""7"":178,""8"":176,""9"":106,""10"":142}",5
20300,104033,2,203,"{""1"":134,""2"":92,""3"":153,""4"":157,""5"":178,""6"":127,""7"":63,""8"":81,""9"":158,""10"":127}",1
20301,103032,2,203,"{""1"":121,""2"":76,""3"":104,""4"":130,""5"":129,""6"":100,""7"":72,""8"":43,""9"":135,""10"":109}",2
20302,102004,2,203,"{""1"":89,""2"":85,""3"":76,""4"":92,""5"":79,""6"":77,""7"":68,""8"":83,""9"":100,""10"":95}",3
20303,102013,2,203,"{""1"":71,""2"":109,""3"":63,""4"":77,""5"":44,""6"":73,""7"":105,""8"":128,""9"":77,""10"":91}",4
20304,103003,2,203,"{""1"":90,""2"":135,""3"":72,""4"":84,""5"":69,""6"":112,""7"":144,""8"":153,""9"":88,""10"":112}",5
20305,103008,2,203,"{""1"":84,""2"":72,""3"":132,""4"":137,""5"":168,""6"":116,""7"":49,""8"":57,""9"":127,""10"":100}",1
20306,104014,2,203,"{""1"":145,""2"":84,""3"":135,""4"":153,""5"":136,""6"":107,""7"":84,""8"":58,""9"":150,""10"":128}",2
20307,104003,2,203,"{""1"":148,""2"":122,""3"":113,""4"":126,""5"":110,""6"":118,""7"":116,""8"":122,""9"":128,""10"":132}",3
20308,103002,2,203,"{""1"":84,""2"":124,""3"":91,""4"":87,""5"":75,""6"":116,""7"":131,""8"":124,""9"":99,""10"":108}",4
20309,103018,2,203,"{""1"":90,""2"":124,""3"":68,""4"":84,""5"":68,""6"":107,""7"":134,""8"":151,""9"":93,""10"":114}",5
20400,103006,2,204,"{""1"":84,""2"":71,""3"":142,""4"":138,""5"":167,""6"":114,""7"":48,""8"":58,""9"":130,""10"":102}",1
20401,102008,2,204,"{""1"":105,""2"":67,""3"":75,""4"":112,""5"":112,""6"":83,""7"":55,""8"":40,""9"":115,""10"":94}",2
20402,103011,2,204,"{""1"":107,""2"":89,""3"":82,""4"":110,""5"":92,""6"":92,""7"":86,""8"":103,""9"":119,""10"":109}",3
20403,101013,2,204,"{""1"":52,""2"":75,""3"":52,""4"":63,""5"":37,""6"":58,""7"":75,""8"":99,""9"":66,""10"":86}",4
20404,103009,2,204,"{""1"":84,""2"":131,""3"":73,""4"":84,""5"":70,""6"":113,""7"":144,""8"":124,""9"":99,""10"":113}",5
20405,102002,2,204,"{""1"":93,""2"":58,""3"":110,""4"":116,""5"":99,""6"":68,""7"":41,""8"":48,""9"":111,""10"":90}",1
20406,104027,2,204,"{""1"":152,""2"":92,""3"":127,""4"":153,""5"":170,""6"":122,""7"":75,""8"":59,""9"":166,""10"":131}",2
20407,104013,2,204,"{""1"":126,""2"":112,""3"":112,""4"":126,""5"":116,""6"":120,""7"":113,""8"":115,""9"":131,""10"":132}",3
20408,104001,2,204,"{""1"":120,""2"":171,""3"":85,""4"":99,""5"":68,""6"":115,""7"":151,""8"":168,""9"":109,""10"":133}",4
20409,103001,2,204,"{""1"":95,""2"":140,""3"":67,""4"":84,""5"":63,""6"":113,""7"":151,""8"":158,""9"":92,""10"":116}",5
20500,104002,2,205,"{""1"":151,""2"":88,""3"":157,""4"":157,""5"":156,""6"":109,""7"":56,""8"":81,""9"":153,""10"":128}",1
20501,104017,2,205,"{""1"":153,""2"":87,""3"":137,""4"":152,""5"":178,""6"":137,""7"":94,""8"":49,""9"":150,""10"":128}",2
20502,101015,2,205,"{""1"":58,""2"":62,""3"":74,""4"":78,""5"":58,""6"":58,""7"":59,""8"":72,""9"":78,""10"":72}",3
20503,101003,2,205,"{""1"":60,""2"":75,""3"":53,""4"":65,""5"":44,""6"":70,""7"":87,""8"":104,""9"":67,""10"":82}",4
20504,103017,2,205,"{""1"":84,""2"":127,""3"":67,""4"":84,""5"":60,""6"":108,""7"":147,""8"":143,""9"":100,""10"":120}",5
20505,103005,2,205,"{""1"":100,""2"":79,""3"":141,""4"":131,""5"":157,""6"":110,""7"":48,""8"":62,""9"":135,""10"":101}",1
20506,102005,2,205,"{""1"":110,""2"":57,""3"":78,""4"":112,""5"":94,""6"":70,""7"":55,""8"":35,""9"":112,""10"":94}",2
20507,103031,2,205,"{""1"":109,""2"":88,""3"":89,""4"":107,""5"":89,""6"":95,""7"":95,""8"":110,""9"":108,""10"":108}",3
20508,103039,2,205,"{""1"":93,""2"":120,""3"":78,""4"":87,""5"":61,""6"":96,""7"":122,""8"":129,""9"":88,""10"":112}",4
20509,103009,2,205,"{""1"":84,""2"":131,""3"":73,""4"":84,""5"":70,""6"":113,""7"":144,""8"":124,""9"":99,""10"":113}",5
20600,102002,2,206,"{""1"":93,""2"":58,""3"":110,""4"":116,""5"":99,""6"":68,""7"":41,""8"":48,""9"":111,""10"":90}",1
20601,102006,2,206,"{""1"":101,""2"":57,""3"":94,""4"":112,""5"":115,""6"":83,""7"":55,""8"":37,""9"":115,""10"":92}",2
20602,104010,2,206,"{""1"":128,""2"":113,""3"":100,""4"":126,""5"":125,""6"":120,""7"":101,""8"":148,""9"":131,""10"":127}",3
20603,101008,2,206,"{""1"":56,""2"":89,""3"":52,""4"":63,""5"":37,""6"":58,""7"":78,""8"":106,""9"":62,""10"":80}",4
20604,104015,2,206,"{""1"":129,""2"":157,""3"":86,""4"":99,""5"":66,""6"":126,""7"":178,""8"":176,""9"":106,""10"":142}",5
20605,103008,2,206,"{""1"":84,""2"":72,""3"":132,""4"":137,""5"":168,""6"":116,""7"":49,""8"":57,""9"":127,""10"":100}",1
20606,103038,2,206,"{""1"":113,""2"":72,""3"":112,""4"":130,""5"":131,""6"":101,""7"":74,""8"":43,""9"":128,""10"":108}",2
20607,101012,2,206,"{""1"":60,""2"":67,""3"":61,""4"":79,""5"":71,""6"":70,""7"":61,""8"":72,""9"":78,""10"":77}",3
20608,103035,2,206,"{""1"":80,""2"":121,""3"":75,""4"":91,""5"":61,""6"":103,""7"":137,""8"":150,""9"":88,""10"":106}",4
20609,104015,2,206,"{""1"":129,""2"":157,""3"":86,""4"":99,""5"":66,""6"":126,""7"":178,""8"":176,""9"":106,""10"":142}",5
20700,103006,2,207,"{""1"":127,""2"":107,""3"":213,""4"":207,""5"":250,""6"":171,""7"":71,""8"":87,""9"":194,""10"":153}",1
20701,104016,2,207,"{""1"":242,""2"":125,""3"":218,""4"":226,""5"":215,""6"":158,""7"":112,""8"":86,""9"":229,""10"":189}",2
20702,103031,2,207,"{""1"":164,""2"":131,""3"":133,""4"":160,""5"":133,""6"":142,""7"":142,""8"":166,""9"":162,""10"":162}",3
20703,103020,2,207,"{""1"":139,""2"":184,""3"":109,""4"":135,""5"":92,""6"":151,""7"":194,""8"":209,""9"":137,""10"":160}",4
20704,103023,2,207,"{""1"":117,""2"":194,""3"":101,""4"":125,""5"":97,""6"":162,""7"":215,""8"":239,""9"":137,""10"":171}",5
20705,104012,2,207,"{""1"":214,""2"":127,""3"":255,""4"":234,""5"":275,""6"":196,""7"":95,""8"":121,""9"":227,""10"":191}",1
20706,103038,2,207,"{""1"":170,""2"":108,""3"":168,""4"":195,""5"":197,""6"":151,""7"":111,""8"":64,""9"":192,""10"":162}",2
20707,104013,2,207,"{""1"":189,""2"":167,""3"":167,""4"":189,""5"":175,""6"":180,""7"":169,""8"":173,""9"":196,""10"":198}",3
20708,102009,2,207,"{""1"":107,""2"":162,""3"":92,""4"":113,""5"":74,""6"":122,""7"":161,""8"":202,""9"":117,""10"":151}",4
20709,104015,2,207,"{""1"":193,""2"":235,""3"":129,""4"":148,""5"":98,""6"":189,""7"":267,""8"":265,""9"":158,""10"":212}",5
20800,101010,2,208,"{""1"":104,""2"":75,""3"":122,""4"":149,""5"":124,""6"":88,""7"":52,""8"":67,""9"":138,""10"":110}",1
20801,103032,2,208,"{""1"":182,""2"":114,""3"":156,""4"":195,""5"":194,""6"":149,""7"":108,""8"":65,""9"":203,""10"":164}",2
20802,102011,2,208,"{""1"":137,""2"":117,""3"":110,""4"":137,""5"":106,""6"":108,""7"":106,""8"":126,""9"":144,""10"":135}",3
20803,103039,2,208,"{""1"":139,""2"":179,""3"":117,""4"":130,""5"":91,""6"":144,""7"":183,""8"":194,""9"":132,""10"":167}",4
20804,103018,2,208,"{""1"":134,""2"":186,""3"":103,""4"":125,""5"":102,""6"":160,""7"":201,""8"":227,""9"":140,""10"":171}",5
20805,102002,2,208,"{""1"":140,""2"":86,""3"":166,""4"":174,""5"":148,""6"":103,""7"":62,""8"":72,""9"":166,""10"":135}",1
20806,104024,2,208,"{""1"":236,""2"":134,""3"":226,""4"":228,""5"":234,""6"":173,""7"":115,""8"":71,""9"":240,""10"":182}",2
20807,103027,2,208,"{""1"":160,""2"":139,""3"":122,""4"":166,""5"":160,""6"":155,""7"":126,""8"":135,""9"":167,""10"":162}",3
20808,101013,2,208,"{""1"":78,""2"":112,""3"":78,""4"":95,""5"":56,""6"":86,""7"":112,""8"":149,""9"":99,""10"":130}",4
20809,104019,2,208,"{""1"":183,""2"":227,""3"":142,""4"":148,""5"":131,""6"":187,""7"":218,""8"":224,""9"":163,""10"":203}",5
20900,102002,2,209,"{""1"":186,""2"":115,""3"":221,""4"":232,""5"":198,""6"":137,""7"":82,""8"":96,""9"":222,""10"":180}",1
20901,104016,2,209,"{""1"":323,""2"":167,""3"":290,""4"":301,""5"":287,""6"":211,""7"":150,""8"":115,""9"":305,""10"":252}",2
20902,104010,2,209,"{""1"":257,""2"":226,""3"":199,""4"":252,""5"":250,""6"":240,""7"":202,""8"":295,""9"":262,""10"":254}",3
20903,102007,2,209,"{""1"":156,""2"":210,""3"":123,""4"":153,""5"":106,""6"":158,""7"":184,""8"":255,""9"":161,""10"":185}",4
20904,104022,2,209,"{""1"":235,""2"":314,""3"":188,""4"":198,""5"":134,""6"":214,""7"":300,""8"":312,""9"":219,""10"":276}",5
20905,101004,2,209,"{""1"":129,""2"":96,""3"":155,""4"":204,""5"":207,""6"":144,""7"":71,""8"":99,""9"":190,""10"":154}",1
