Id,Name,Icon,Time,Hero,OnBattle,Rewards,Desc,Option
47,篮球圣堂,100104,1800,5,"[152,41]",1:2:8000|2:400401:2,选派5名球员参与篮球圣堂纪念碑剪彩。,橙色球员至少2人|大前锋至少1人
48,篮球梦1+1公益计划,100104,1800,5,"[153,42]",1:2:8000|2:400401:2,选派5名球员参与篮球梦1+1公益计划。,橙色球员至少3人|大前锋至少2人
49,芭莎公益慈善,100104,1800,5,"[143,51]",1:2:8000|2:400401:2,选派5名球员参与芭莎公益慈善。,紫色球员至少3人|中锋至少1人
50,One team公益慈善活动,100104,1800,5,"[144,52]",1:2:8000|2:400401:2,选派5名球员参与One team公益慈善活动。,紫色球员至少4人|中锋至少2人
51,欧罗巴篮球公益活动,100104,1800,5,"[151,12]",1:2:12000|2:400401:2,选派5名球员参与欧罗巴篮球公益活动。,橙色球员至少1人|控球后卫至少2人
52,欧冠中国行,100104,1800,5,"[152,13]",1:2:12000|2:400401:2,选派5名球员参与欧冠中国行。,橙色球员至少2人|控球后卫至少3人
53,塞尔维亚篮球公开赛,100104,1800,5,"[153,22]",1:2:12000|2:400401:2,选派5名球员参与塞尔维亚篮球公开赛。,橙色球员至少3人|得分后卫至少2人
54,希腊篮球行,100104,1800,5,"[143,23]",1:2:12000|2:400401:2,选派5名球员参与希腊篮球行。,紫色球员至少3人|得分后卫至少3人
55,西班牙男篮慈善赛,100104,1800,5,"[144,32]",1:2:12000|2:400401:2,选派5名球员观摩西班牙男篮慈善赛。,紫色球员至少4人|小前锋至少2人
56,德国男篮慈善赛,100104,1800,5,"[151,33]",1:2:12000|2:400401:2,选派5名球员参与德国男篮慈善赛。,橙色球员至少1人|小前锋至少3人
57,冰桶挑战赛,100104,1800,5,"[152,41]",1:2:12000|2:400401:2,选派5名球员参与冰桶挑战赛。,橙色球员至少2人|大前锋至少1人
58,北美篮球慈善赛,100104,1800,5,"[153,42]",1:2:12000|2:400401:2,选派5名球员参与北美篮球慈善赛。,橙色球员至少3人|大前锋至少2人
59,法国男篮慈善赛,100104,1800,5,"[143,51]",1:2:12000|2:400401:2,选派5名球员参与法国男篮慈善赛。,紫色球员至少3人|中锋至少1人
60,阿根廷男篮慈善赛,100104,1800,5,"[144,52]",1:2:12000|2:400401:2,选派5名球员参与阿根廷男篮慈善赛。,紫色球员至少4人|中锋至少2人
