Id,Name,Icon,Tactics,TacticsLevels,Formation,Strength,RankStage,Score
707,飞跃,275993122,"[101,201]","[1,1]",1,57008,7,6760
708,单纯男队,273809408,"[101,201]","[1,1]",1,59858,7,6840
709,枭雄贾队,275993122,"[101,201]","[1,1]",1,63350,7,6880
710,竹青磬队,273809408,"[101,201]","[1,1]",1,69147,7,6975
801,消消乐队,275993122,"[101,201]","[1,1]",1,65866,8,7015
802,海屿荒队,273809408,"[101,201]","[1,1]",1,62076,8,7040
803,暴君队,275993122,"[101,201]","[1,1]",1,66778,8,7335
804,心迷路队,273809408,"[101,201]","[1,1]",1,67358,8,7390
805,叶茗秋队,275993122,"[101,201]","[1,1]",1,63836,8,7595
806,酥甜队,273809408,"[101,201]","[1,1]",1,64753,8,7630
807,迈克队,275993122,"[101,201]","[1,1]",1,74785,8,7740
808,风之彩,273809408,"[101,201]","[1,1]",1,65181,8,7840
809,巨人队,275993122,"[101,201]","[1,1]",1,77178,8,7960
810,秃鸡队,273809408,"[101,201]","[1,1]",1,75502,8,7985
901,给力,275993122,"[101,201]","[1,1]",1,95893,9,8010
902,秃鸡队,273809408,"[101,201]","[1,1]",1,109621,9,8035
903,自渡队,275993122,"[101,201]","[1,1]",1,108538,9,8060
904,世俗队,273809408,"[101,201]","[1,1]",1,102006,9,8085
905,见一面队,275993122,"[101,201]","[1,1]",1,105121,9,8110
906,狱王队,273809408,"[101,201]","[1,1]",1,111367,9,8135
907,火热队,275993122,"[101,201]","[1,1]",1,104597,9,8160
908,失眠队,273809408,"[101,201]","[1,1]",1,119062,9,8185
909,唇中甜队,275993122,"[101,201]","[1,1]",1,123714,9,8210
910,花葬队,273809408,"[101,201]","[1,1]",1,102542,9,8235
