Id,ActivityId,Min,Max,Rewards
300611,3006,11,50,2:400103:10|2:400104:20
300612,3006,51,9999,2:400103:10|2:400104:10
300701,3007,1,1,2:200231:100|2:200232:40|2:200233:10|2:200234:10
300702,3007,2,2,2:200231:70|2:200232:40|2:200233:10|2:200234:10
300703,3007,3,3,2:200231:40|2:200232:40|2:200233:10|2:200234:10
300704,3007,4,4,2:200232:40|2:200233:10|2:200234:10
300705,3007,5,5,2:200232:35|2:200233:10|2:200234:10
300706,3007,6,6,2:200232:30|2:200233:10|2:200234:10
300707,3007,7,7,2:200232:25|2:200233:10|2:200234:10
300708,3007,8,8,2:200232:20|2:200233:10|2:200234:10
300709,3007,9,9,2:200232:15|2:200233:10|2:200234:10
300710,3007,10,10,2:200232:10|2:200233:10|2:200234:10
300711,3007,11,50,2:200233:10|2:200234:10
300712,3007,51,9999,2:200234:10
300801,3008,1,1,2:200218:50|2:200217:50|2:200216:50|1:2:10000
300802,3008,2,2,2:200218:30|2:200217:30|2:200216:30|1:2:5000
300803,3008,3,3,2:200218:20|2:200217:20|2:200216:20|1:2:2000
300804,3008,4,4,2:200218:12|2:200217:12|2:200216:12|1:2:1000
300805,3008,5,5,2:200218:11|2:200217:11|2:200216:11|1:2:1000
300806,3008,6,6,2:200218:10|2:200217:10|2:200216:10|1:2:1000
300807,3008,7,7,2:200218:8|2:200217:8|2:200216:8|1:2:1000
300808,3008,8,8,2:200218:7|2:200217:7|2:200216:7|1:2:1000
300809,3008,9,9,2:200218:6|2:200217:6|2:200216:6|1:2:1000
300810,3008,10,10,2:200218:5|2:200217:5|2:200216:5|1:2:1000
300811,3008,11,50,2:200218:1|2:200217:1|2:200216:1|1:2:1000
300812,3008,51,9999,1:2:1000
300901,3009,1,1,2:400102:25|2:400103:25|2:400104:25
300902,3009,2,2,2:400102:15|2:400103:25|2:400104:25
300903,3009,3,3,2:400102:5|2:400103:25|2:400104:25
300904,3009,4,4,2:400103:15|2:400104:15
300905,3009,5,5,2:400103:14|2:400104:14
300906,3009,6,6,2:400103:13|2:400104:13
300907,3009,7,7,2:400103:12|2:400104:12
300908,3009,8,8,2:400103:11|2:400104:11
300909,3009,9,9,2:400103:10|2:400104:10
300910,3009,10,10,2:400103:10|2:400104:10
300911,3009,11,50,2:400103:5|2:400104:10
300912,3009,51,9999,2:400103:1|2:400104:1
301001,3010,1,1,2:400102:25|2:400103:25|2:400104:25
301002,3010,2,2,2:400102:15|2:400103:25|2:400104:25
301003,3010,3,3,2:400102:5|2:400103:25|2:400104:25
301004,3010,4,4,2:400103:15|2:400104:15
301005,3010,5,5,2:400103:14|2:400104:14
301006,3010,6,6,2:400103:13|2:400104:13
301007,3010,7,7,2:400103:12|2:400104:12
301008,3010,8,8,2:400103:11|2:400104:11
301009,3010,9,9,2:400103:10|2:400104:10
301010,3010,10,10,2:400103:10|2:400104:10
301011,3010,11,50,2:400103:5|2:400104:10
301012,3010,51,9999,2:400103:1|2:400104:1
301101,3011,1,1,2:400102:25|2:400103:25|2:400104:25
301102,3011,2,2,2:400102:15|2:400103:25|2:400104:25
301103,3011,3,3,2:400102:5|2:400103:25|2:400104:25
301104,3011,4,4,2:400103:15|2:400104:15
301105,3011,5,5,2:400103:14|2:400104:14
301106,3011,6,6,2:400103:13|2:400104:13
301107,3011,7,7,2:400103:12|2:400104:12
301108,3011,8,8,2:400103:11|2:400104:11
301109,3011,9,9,2:400103:10|2:400104:10
301110,3011,10,10,2:400103:10|2:400104:10
301111,3011,11,50,2:400103:5|2:400104:10
301112,3011,51,9999,2:400103:1|2:400104:1
301201,3012,1,1,2:400102:25|2:400103:25|2:400104:25
301202,3012,2,2,2:400102:15|2:400103:25|2:400104:25
301203,3012,3,3,2:400102:5|2:400103:25|2:400104:25
301204,3012,4,4,2:400103:15|2:400104:15
301205,3012,5,5,2:400103:14|2:400104:14
301206,3012,6,6,2:400103:13|2:400104:13
301207,3012,7,7,2:400103:12|2:400104:12
301208,3012,8,8,2:400103:11|2:400104:11
301209,3012,9,9,2:400103:10|2:400104:10
301210,3012,10,10,2:400103:10|2:400104:10
301211,3012,11,50,2:400103:5|2:400104:10
301212,3012,51,9999,2:400103:1|2:400104:1
301301,3013,1,1,2:400102:25|2:400103:25|2:400104:25
301302,3013,2,2,2:400102:15|2:400103:25|2:400104:25
301303,3013,3,3,2:400102:5|2:400103:25|2:400104:25
301304,3013,4,4,2:400103:15|2:400104:15
301305,3013,5,5,2:400103:14|2:400104:14
301306,3013,6,6,2:400103:13|2:400104:13
301307,3013,7,7,2:400103:12|2:400104:12
301308,3013,8,8,2:400103:11|2:400104:11
301309,3013,9,9,2:400103:10|2:400104:10
301310,3013,10,10,2:400103:10|2:400104:10
301311,3013,11,50,2:400103:5|2:400104:10
301312,3013,51,9999,2:400103:1|2:400104:1
301401,3014,1,1,2:200231:15|2:200232:10|2:200233:10|2:200234:10
301402,3014,2,2,2:200231:10|2:200232:10|2:200233:10|2:200234:10
301403,3014,3,3,2:200231:5|2:200232:10|2:200233:10|2:200234:10
301404,3014,4,4,2:200232:10|2:200233:10|2:200234:10
301405,3014,5,5,2:200232:9|2:200233:9|2:200234:9
301406,3014,6,6,2:200232:8|2:200233:8|2:200234:8
301407,3014,7,7,2:200232:7|2:200233:7|2:200234:7
301408,3014,8,8,2:200232:6|2:200233:6|2:200234:6
301409,3014,9,9,2:200232:5|2:200233:5|2:200234:5
301410,3014,10,10,2:200232:5|2:200233:5|2:200234:5
301411,3014,11,50,2:200233:5|2:200234:5
301412,3014,51,9999,2:200234:5
